Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-27,MIN,,SEA,W (+5),30:33,8,3,6,4,4,0,1,1,3,15,kayla
2025-05-30,MIN,@,PHO,W (+3),35:21,11,3,7,9,9,0,3,3,4,20,kayla
2025-06-01,MIN,@,GSV,W (+11),32:52,10,2,3,2,3,0,6,6,3,16,kayla
2025-06-03,MIN,,PHO,W (+23),25:13,8,3,5,0,0,0,4,4,7,13,kayla
2025-06-08,MIN,@,DAL,W (+16),34:34,10,6,10,3,3,0,3,3,3,21,kayla
2025-06-11,MIN,@,SEA,L (-10),36:31,15,5,11,0,0,1,3,4,6,19,kayla
2025-06-14,MIN,,LAS,W (+23),21:10,10,0,7,0,0,0,1,1,3,4,kayla
2025-06-17,MIN,,LVA,W (+14),35:32,12,0,5,2,2,1,0,1,2,8,kayla
2025-06-21,MIN,,LAS,W (+16),30:03,13,5,7,6,6,0,1,1,1,29,kayla
2025-06-24,MIN,@,WAS,L (-4),37:22,9,0,7,5,5,0,2,2,3,7,kayla
2025-06-27,MIN,@,ATL,W (+4),37:58,11,2,6,6,6,0,3,3,3,18,kayla
2025-06-29,MIN,,CON,W (+39),28:48,10,5,9,3,3,0,0,0,5,20,kayla
2025-07-03,MIN,,WAS,W (+17),28:15,7,2,4,2,2,0,3,3,1,10,kayla
2025-07-05,MIN,,GSV,W (+11),30:28,10,2,6,4,4,0,0,0,3,12,kayla
2025-07-06,MIN,,CHI,W (+5),32:56,13,1,5,2,4,0,3,3,5,11,kayla
2025-07-09,MIN,@,PHO,L (-8),32:34,8,2,5,0,0,0,2,2,0,6,kayla
2025-07-10,MIN,@,LAS,W (+9),26:53,11,1,9,0,0,0,1,1,2,5,kayla
2025-07-12,MIN,@,CHI,L (-6),32:40,17,5,12,0,0,0,0,0,1,17,kayla
2025-07-14,MIN,@,CHI,W (+13),31:02,13,3,8,0,0,0,5,5,4,17,kayla
2025-07-16,MIN,,PHO,W (+13),31:33,11,2,6,6,6,1,4,5,5,18,kayla
2025-07-22,MIN,,CHI,W (+23),29:16,14,3,7,0,0,1,4,5,3,19,kayla
2025-07-25,MIN,,LVA,W (+31),28:07,12,3,7,2,2,0,3,3,3,13,kayla
2025-07-27,MIN,,ATL,L (-4),34:29,9,0,3,0,0,0,1,1,3,4,kayla
2025-07-30,MIN,,NYL,W (+7),36:25,14,5,9,3,4,2,1,3,5,24,kayla
2025-08-02,MIN,@,LVA,W (+53),22:49,11,8,10,0,0,0,2,2,5,24,kayla
2025-08-05,MIN,@,SEA,W (+4),31:50,9,1,5,9,9,0,2,2,6,14,kayla
2025-08-08,MIN,,WAS,W (+4),31:37,8,0,3,5,6,0,1,1,4,11,kayla
2025-08-10,MIN,@,NYL,W (+12),33:37,12,4,7,2,2,0,1,1,2,18,kayla
2025-08-16,MIN,,NYL,W (+6),33:32,14,2,7,9,13,1,3,4,2,17,kayla
2025-08-19,MIN,@,NYL,L (-10),31:49,9,1,6,1,1,0,2,2,3,6,kayla
2025-08-21,MIN,@,ATL,L (-2),33:07,12,3,5,0,0,0,0,0,4,15,kayla
2025-08-22,MIN,@,IND,W (+5),32:53,19,4,8,5,5,0,2,2,6,29,kayla
2025-08-24,MIN,,IND,W (+13),31:23,4,3,3,2,2,0,4,4,4,13,kayla
2025-08-28,MIN,,SEA,L (-14),34:42,13,5,8,1,2,1,2,3,2,20,kayla
2025-08-30,MIN,@,CON,W (+24),27:23,9,5,9,0,0,0,0,0,6,15,kayla
2025-09-04,MIN,@,LVA,L (-10),28:29,11,2,7,0,0,1,2,3,6,10,kayla
2025-09-06,MIN,@,GSV,W (+6),31:49,11,0,5,2,2,0,1,1,3,4,kayla
2025-09-09,MIN,@,IND,L (-11),23:50,8,0,5,0,0,0,0,0,2,4,kayla
2025-09-11,MIN,,GSV,W (+19),30:05,12,2,9,0,0,1,3,4,4,8,kayla
