Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,MIN,@,LAL,"L, 103-110",20:13,7,0,5,3,3,2,2,4,2,5,11,7,9,6,mike
2024-10-24,MIN,@,SAC,"W, 117-115",27:20,9,2,7,0,0,1,1,2,4,6,12,10,8,6,mike
2024-10-26,MIN,,TOR,"W, 112-101",25:57,9,2,6,4,4,1,2,3,6,10,19,16,13,9,mike
2024-10-29,MIN,,DAL,"L, 114-120",21:35,6,2,4,3,3,1,3,4,6,9,19,15,13,10,mike
2024-11-01,MIN,,DEN,"W, 119-116",26:19,7,2,5,3,4,0,0,0,5,9,14,14,9,5,mike
2024-11-02,MIN,@,SAS,"L, 103-113",20:53,4,1,3,0,0,1,2,3,3,5,11,8,8,6,mike
2024-11-04,MIN,,CHO,"W, 114-93",23:20,8,3,5,0,0,1,4,5,4,11,20,15,16,9,mike
2024-11-07,MIN,@,CHI,"W, 135-119",26:15,9,3,6,1,1,0,2,2,11,14,27,25,16,13,mike
2024-11-08,MIN,,POR,"W, 127-102",18:18,7,0,4,0,0,0,1,1,2,2,5,4,3,3,mike
2024-11-10,MIN,,MIA,"L, 94-95",24:03,9,0,5,0,0,1,4,5,3,4,12,7,9,8,mike
2024-11-12,MIN,@,POR,"L, 108-122",24:17,5,2,5,0,0,0,4,4,6,6,16,12,10,10,mike
2024-11-15,MIN,@,SAC,"W, 130-126 (OT)",36:45,12,4,9,2,3,0,4,4,7,14,25,21,18,11,mike
2024-11-17,MIN,,PHO,"W, 120-117",30:05,2,1,1,0,1,0,4,4,3,3,10,6,7,7,mike
2024-11-27,MIN,,SAC,"L, 104-115",31:58,11,3,8,5,5,0,1,1,4,16,21,20,17,5,mike
2024-11-29,MIN,,LAC,"W, 93-92",33:04,7,3,5,4,4,0,2,2,3,13,18,16,15,5,mike
2024-12-02,MIN,,LAL,"W, 109-80",22:26,7,3,6,0,0,0,3,3,6,9,18,15,12,9,mike
