Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-16,MIN,@,DAL,W (+15),31:52,21,2,3,8,8,1,3,4,4,34,napheesa
2025-05-18,MIN,@,LAS,W (+14),33:10,18,2,3,1,1,3,3,6,1,23,napheesa
2025-05-21,MIN,,DAL,W (+4),36:50,13,0,3,12,12,3,5,8,2,28,napheesa
2025-05-23,MIN,,CON,W (+6),38:02,21,3,4,8,10,4,7,11,3,33,napheesa
2025-05-27,MIN,,SEA,W (+5),36:40,18,0,3,2,2,4,6,10,5,16,napheesa
2025-06-01,MIN,@,GSV,W (+11),36:47,18,2,4,6,7,2,9,11,4,24,napheesa
2025-06-03,MIN,,PHO,W (+23),31:07,13,0,2,2,3,2,9,11,5,18,napheesa
2025-06-08,MIN,@,DAL,W (+16),36:43,19,3,6,5,5,1,9,10,4,28,napheesa
2025-06-11,MIN,@,SEA,L (-10),37:43,23,1,4,6,6,2,7,9,5,25,napheesa
2025-06-14,MIN,,LAS,W (+23),31:19,16,3,4,3,3,2,6,8,6,32,napheesa
2025-06-17,MIN,,LVA,W (+14),18:58,9,0,2,1,1,1,5,6,1,7,napheesa
2025-06-27,MIN,@,ATL,W (+4),40:16,18,2,6,8,8,2,5,7,6,26,napheesa
2025-06-29,MIN,,CON,W (+39),26:41,14,1,4,4,4,3,6,9,2,23,napheesa
2025-07-03,MIN,,WAS,W (+17),30:57,21,1,5,5,5,1,4,5,4,28,napheesa
2025-07-05,MIN,,GSV,W (+11),35:09,11,1,1,5,5,2,4,6,1,22,napheesa
2025-07-06,MIN,,CHI,W (+5),31:53,16,0,5,7,7,1,6,7,0,21,napheesa
2025-07-09,MIN,@,PHO,L (-8),36:04,15,0,3,2,2,2,5,7,2,18,napheesa
2025-07-10,MIN,@,LAS,W (+9),32:03,19,0,6,1,1,5,3,8,5,17,napheesa
2025-07-12,MIN,@,CHI,L (-6),36:16,18,1,3,7,8,2,6,8,5,26,napheesa
2025-07-14,MIN,@,CHI,W (+13),35:59,14,4,7,11,11,1,2,3,5,29,napheesa
2025-07-16,MIN,,PHO,W (+13),26:01,9,1,1,1,2,0,5,5,0,10,napheesa
2025-07-22,MIN,,CHI,W (+23),29:51,16,1,4,2,2,2,6,8,4,19,napheesa
2025-07-25,MIN,,LVA,W (+31),25:58,12,1,2,10,13,2,7,9,2,25,napheesa
2025-07-27,MIN,,ATL,L (-4),36:56,18,2,3,2,3,1,7,8,7,32,napheesa
2025-07-30,MIN,,NYL,W (+7),34:32,16,2,4,6,9,2,7,9,2,30,napheesa
2025-08-02,MIN,@,LVA,W (+53),26:12,11,2,3,4,4,0,3,3,5,18,napheesa
2025-08-24,MIN,,IND,W (+13),31:18,16,2,3,8,9,1,8,9,2,32,napheesa
2025-08-28,MIN,,SEA,L (-14),35:03,23,0,5,4,5,2,7,9,2,18,napheesa
2025-08-30,MIN,@,CON,W (+24),27:22,13,1,2,2,2,4,5,9,3,17,napheesa
2025-09-01,MIN,,DAL,W (+25),23:23,10,4,4,7,7,1,2,3,1,25,napheesa
2025-09-04,MIN,@,LVA,L (-10),29:32,13,1,3,1,2,1,5,6,3,12,napheesa
2025-09-06,MIN,@,GSV,W (+6),36:11,16,4,8,4,4,0,5,5,2,20,napheesa
2025-09-11,MIN,,GSV,W (+19),27:49,10,3,4,0,0,2,2,4,2,19,napheesa
