Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-16,MIN,@,DAL,W (+15),16:35,5,0,3,2,2,0,1,1,2,4,natisha
2025-05-18,MIN,@,LAS,W (+14),12:42,5,0,1,2,2,0,1,1,3,8,natisha
2025-05-21,MIN,,DAL,W (+4),26:57,6,2,4,2,6,0,2,2,8,10,natisha
2025-05-23,MIN,,CON,W (+6),29:38,6,1,2,2,4,0,3,3,2,11,natisha
2025-05-27,MIN,,SEA,W (+5),10:52,0,0,0,2,2,0,1,1,0,2,natisha
2025-05-30,MIN,@,PHO,W (+3),22:12,6,1,2,2,2,0,5,5,2,9,natisha
2025-06-01,MIN,@,GSV,W (+11),15:24,6,1,2,1,1,0,0,0,4,8,natisha
2025-06-03,MIN,,PHO,W (+23),23:32,10,2,4,2,2,0,3,3,1,18,natisha
2025-06-08,MIN,@,DAL,W (+16),20:24,8,1,4,0,0,0,2,2,1,9,natisha
2025-06-11,MIN,@,SEA,L (-10),21:44,5,1,1,0,0,0,1,1,5,7,natisha
2025-06-14,MIN,,LAS,W (+23),24:47,11,2,6,0,0,0,0,0,5,14,natisha
2025-06-17,MIN,,LVA,W (+14),24:44,12,0,3,2,2,1,5,6,3,12,natisha
2025-06-21,MIN,,LAS,W (+16),16:50,6,0,2,0,0,0,2,2,6,4,natisha
2025-06-24,MIN,@,WAS,L (-4),16:01,3,0,1,1,2,0,4,4,1,1,natisha
2025-06-27,MIN,@,ATL,W (+4),11:25,6,0,3,3,4,0,1,1,2,5,natisha
2025-06-29,MIN,,CON,W (+39),21:49,11,0,5,2,2,1,3,4,7,10,natisha
2025-07-03,MIN,,WAS,W (+17),20:33,5,0,3,0,0,0,1,1,4,4,natisha
2025-07-05,MIN,,GSV,W (+11),16:24,5,1,3,0,0,0,3,3,3,5,natisha
2025-07-06,MIN,,CHI,W (+5),13:20,4,0,1,0,0,0,0,0,2,0,natisha
2025-07-09,MIN,@,PHO,L (-8),13:02,5,1,2,1,1,0,3,3,3,6,natisha
2025-07-10,MIN,@,LAS,W (+9),18:49,12,2,6,2,2,0,1,1,2,18,natisha
2025-07-12,MIN,@,CHI,L (-6),7:55,3,1,1,0,0,0,0,0,0,3,natisha
2025-07-14,MIN,@,CHI,W (+13),16:21,7,0,2,0,0,0,0,0,2,6,natisha
2025-07-16,MIN,,PHO,W (+13),18:22,6,0,1,0,1,1,1,2,2,4,natisha
2025-07-22,MIN,,CHI,W (+23),15:01,5,0,2,0,0,0,0,0,3,4,natisha
2025-07-25,MIN,,LVA,W (+31),16:21,6,0,3,2,2,0,4,4,3,6,natisha
2025-07-27,MIN,,ATL,L (-4),13:57,6,2,3,0,0,0,0,0,3,10,natisha
2025-07-30,MIN,,NYL,W (+7),11:25,7,2,4,0,0,2,0,2,1,10,natisha
2025-08-02,MIN,@,LVA,W (+53),23:27,10,3,4,0,0,0,3,3,4,17,natisha
2025-08-05,MIN,@,SEA,W (+4),16:20,3,0,0,1,2,0,1,1,2,5,natisha
2025-08-08,MIN,,WAS,W (+4),17:06,5,1,1,0,0,0,0,0,2,7,natisha
2025-08-10,MIN,@,NYL,W (+12),14:51,11,1,2,0,0,0,0,0,1,13,natisha
2025-08-16,MIN,,NYL,W (+6),18:51,4,1,2,0,0,0,2,2,4,5,natisha
2025-08-19,MIN,@,NYL,L (-10),22:01,10,2,4,2,2,0,1,1,0,16,natisha
2025-08-21,MIN,@,ATL,L (-2),14:19,6,0,2,0,0,1,0,1,0,4,natisha
2025-08-22,MIN,@,IND,W (+5),26:31,10,2,2,3,3,0,2,2,0,17,natisha
2025-08-24,MIN,,IND,W (+13),12:51,7,1,4,0,0,0,3,3,3,5,natisha
2025-08-28,MIN,,SEA,L (-14),14:49,3,0,1,2,4,0,2,2,2,4,natisha
2025-08-30,MIN,@,CON,W (+24),18:11,6,0,2,1,2,1,0,1,3,5,natisha
2025-09-01,MIN,,DAL,W (+25),30:26,13,4,5,2,2,0,3,3,10,20,natisha
2025-09-04,MIN,@,LVA,L (-10),28:12,10,2,3,4,5,2,4,6,5,22,natisha
2025-09-06,MIN,@,GSV,W (+6),28:05,10,6,10,6,7,0,1,1,2,24,natisha
2025-09-09,MIN,@,IND,L (-11),25:01,9,0,3,0,1,1,1,2,4,6,natisha
2025-09-11,MIN,,GSV,W (+19),24:25,12,3,5,2,2,1,1,2,1,21,natisha
