Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,MIN,@,LAL,"L, 103-110",26:21,8,2,4,4,4,1,3,4,1,12,17,13,16,5,naz
2024-10-24,MIN,@,SAC,"W, 117-115",26:31,10,4,7,3,3,0,13,13,3,19,35,22,32,16,naz
2024-10-26,MIN,,TOR,"W, 112-101",21:11,7,0,2,4,4,1,3,4,1,10,15,11,14,5,naz
2024-10-29,MIN,,DAL,"L, 114-120",25:40,8,2,5,2,2,0,9,9,2,14,25,16,23,11,naz
2024-11-01,MIN,,DEN,"W, 119-116",23:29,10,1,3,1,1,1,2,3,2,16,21,18,19,5,naz
2024-11-02,MIN,@,SAS,"L, 103-113",26:15,8,2,5,1,2,0,4,4,2,11,17,13,15,6,naz
2024-11-04,MIN,,CHO,"W, 114-93",25:59,13,5,7,2,2,2,7,9,2,25,36,27,34,11,naz
2024-11-07,MIN,@,CHI,"W, 135-119",17:41,7,0,3,0,0,1,1,2,1,4,7,5,6,3,naz
2024-11-08,MIN,,POR,"W, 127-102",22:05,11,3,5,0,0,0,4,4,1,15,20,16,19,5,naz
2024-11-10,MIN,,MIA,"L, 94-95",22:31,11,4,7,1,1,1,2,3,2,15,20,17,18,5,naz
2024-11-12,MIN,@,POR,"L, 108-122",33:58,17,4,8,4,4,0,6,6,1,28,35,29,34,7,naz
2024-11-13,MIN,@,POR,"L, 98-106",28:10,12,2,8,3,4,1,2,3,2,15,20,17,18,5,naz
2024-11-15,MIN,@,SAC,"W, 130-126 (OT)",23:45,12,2,4,0,0,1,4,5,2,16,23,18,21,7,naz
2024-11-17,MIN,,PHO,"W, 120-117",22:28,10,1,6,4,5,2,2,4,1,13,18,14,17,5,naz
2024-11-21,MIN,@,TOR,"L, 105-110",21:52,8,0,3,0,0,2,2,4,1,2,7,3,6,5,naz
2024-11-24,MIN,@,BOS,"L, 105-107",25:43,9,1,6,0,0,0,5,5,2,5,12,7,10,7,naz
2024-11-26,MIN,,HOU,"L, 111-117 (OT)",26:59,14,3,7,2,2,1,6,7,0,19,26,19,26,7,naz
2024-11-27,MIN,,SAC,"L, 104-115",23:34,7,0,3,1,2,0,3,3,1,7,11,8,10,4,naz
2024-11-29,MIN,,LAC,"W, 93-92",22:59,9,1,6,1,1,0,6,6,1,8,15,9,14,7,naz
2024-12-02,MIN,,LAL,"W, 109-80",27:36,11,2,5,1,1,0,2,2,2,15,19,17,17,4,naz
2024-12-04,MIN,@,LAC,"W, 108-80",20:34,4,0,2,2,2,0,4,4,1,4,9,5,8,5,naz
2024-12-06,MIN,@,GSW,"W, 107-90",32:16,10,1,5,0,0,1,9,10,4,9,23,13,19,14,naz
2024-12-08,MIN,@,GSW,"L, 106-114",20:51,8,1,6,3,5,0,6,6,2,10,18,12,16,8,naz
2024-12-13,MIN,,LAL,"W, 97-87",25:32,10,2,2,2,2,1,4,5,0,10,15,10,15,5,naz
2024-12-15,MIN,@,SAS,"W, 106-92",26:45,10,0,4,1,1,0,8,8,3,3,14,6,11,11,naz
2024-12-19,MIN,,NYK,"L, 107-133",15:38,7,1,4,0,0,0,2,2,2,3,7,5,5,4,naz
2024-12-21,MIN,,GSW,"L, 103-113",24:40,11,4,7,0,0,1,3,4,2,16,22,18,20,6,naz
2024-12-23,MIN,@,ATL,"L, 104-117",28:48,19,3,10,0,0,2,1,3,3,23,29,26,26,6,naz
2024-12-25,MIN,@,DAL,"W, 105-99",21:57,6,0,0,0,0,0,2,2,2,6,10,8,8,4,naz
2024-12-27,MIN,@,HOU,"W, 113-112",24:26,12,1,5,1,3,2,1,3,1,14,18,15,17,4,naz
2024-12-29,MIN,,SAS,"W, 112-110",20:32,11,1,4,0,2,0,4,4,2,11,17,13,15,6,naz
2024-12-31,MIN,@,OKC,"L, 105-113",32:55,14,1,5,2,2,2,6,8,1,19,28,20,27,9,naz
2025-01-02,MIN,,BOS,"L, 115-118",25:33,11,4,5,4,4,3,2,5,3,20,28,23,25,8,naz
2025-01-04,MIN,@,DET,"L, 105-119",25:29,7,2,4,3,4,0,3,3,1,9,13,10,12,4,naz
2025-01-06,MIN,,LAC,"W, 108-106",31:14,14,1,5,1,3,1,6,7,3,18,28,21,25,10,naz
