Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,MIN,@,LAL,"L, 103-110",35:20,8,0,0,3,4,3,11,14,2,13,29,15,27,16,rudy
2024-10-24,MIN,@,SAC,"W, 117-115",34:38,2,0,0,1,2,1,10,11,1,3,15,4,14,12,rudy
2024-10-26,MIN,,TOR,"W, 112-101",38:59,8,0,0,3,4,2,10,12,1,15,28,16,27,13,rudy
2024-10-29,MIN,,DAL,"L, 114-120",31:11,5,0,0,3,5,4,4,8,1,7,16,8,15,9,rudy
2024-11-01,MIN,,DEN,"W, 119-116",35:58,10,0,0,3,4,4,10,14,3,17,34,20,31,17,rudy
2024-11-02,MIN,@,SAS,"L, 103-113",23:06,8,0,0,4,4,1,2,3,1,10,14,11,13,4,rudy
2024-11-04,MIN,,CHO,"W, 114-93",29:51,5,0,0,0,0,2,6,8,4,8,20,12,16,12,rudy
2024-11-07,MIN,@,CHI,"W, 135-119",31:47,11,0,0,3,3,3,6,9,3,21,33,24,30,12,rudy
2024-11-08,MIN,,POR,"W, 127-102",22:32,5,0,0,0,0,4,11,15,2,8,25,10,23,17,rudy
2024-11-10,MIN,,MIA,"L, 94-95",32:30,4,0,0,3,3,6,7,13,1,7,21,8,20,14,rudy
2024-11-12,MIN,@,POR,"L, 108-122",32:47,3,0,0,5,6,0,8,8,4,9,21,13,17,12,rudy
2024-11-13,MIN,@,POR,"L, 98-106",33:32,8,0,0,4,5,7,3,10,0,12,22,12,22,10,rudy
2024-11-15,MIN,@,SAC,"W, 130-126 (OT)",40:59,7,0,0,1,1,3,8,11,2,11,24,13,22,13,rudy
2024-11-17,MIN,,PHO,"W, 120-117",36:48,8,0,0,3,4,4,6,10,2,11,23,13,21,12,rudy
2024-11-21,MIN,@,TOR,"L, 105-110",35:42,5,0,0,5,6,4,7,11,2,13,26,15,24,13,rudy
2024-11-24,MIN,@,BOS,"L, 105-107",34:29,5,0,0,2,2,8,12,20,0,10,30,10,30,20,rudy
2024-11-26,MIN,,HOU,"L, 111-117 (OT)",43:49,3,0,0,1,2,3,13,16,2,5,23,7,21,18,rudy
2024-11-27,MIN,,SAC,"L, 104-115",36:55,2,0,0,5,6,2,5,7,3,9,19,12,16,10,rudy
2024-11-29,MIN,,LAC,"W, 93-92",42:45,7,0,0,2,4,4,8,12,3,8,23,11,20,15,rudy
2024-12-02,MIN,,LAL,"W, 109-80",32:11,8,0,0,3,4,6,6,12,0,17,29,17,29,12,rudy
2024-12-04,MIN,@,LAC,"W, 108-80",29:28,4,0,0,2,2,1,8,9,7,8,24,15,17,16,rudy
2024-12-06,MIN,@,GSW,"W, 107-90",35:12,10,0,0,5,5,2,9,11,1,17,29,18,28,12,rudy
2024-12-08,MIN,@,GSW,"L, 106-114",37:53,3,0,0,2,4,1,8,9,1,4,14,5,13,10,rudy
2024-12-13,MIN,,LAL,"W, 97-87",37:48,8,0,0,2,4,5,8,13,2,12,27,14,25,15,rudy
2024-12-15,MIN,@,SAS,"W, 106-92",34:45,11,0,0,0,1,4,5,9,2,10,21,12,19,11,rudy
2024-12-19,MIN,,NYK,"L, 107-133",22:18,1,0,0,1,4,1,3,4,0,3,7,3,7,4,rudy
2024-12-21,MIN,,GSW,"L, 103-113",36:50,8,0,0,4,7,2,10,12,2,18,32,20,30,14,rudy
2024-12-23,MIN,@,ATL,"L, 104-117",28:19,4,0,0,0,0,2,4,6,0,2,8,2,8,6,rudy
2024-12-25,MIN,@,DAL,"W, 105-99",39:26,7,0,0,2,2,2,8,10,0,14,24,14,24,10,rudy
2024-12-27,MIN,@,HOU,"W, 113-112",28:37,5,0,0,1,6,5,4,9,0,7,16,7,16,9,rudy
2024-12-29,MIN,,SAS,"W, 112-110",30:33,12,0,0,5,6,11,4,15,2,17,34,19,32,17,rudy
2024-12-31,MIN,@,OKC,"L, 105-113",31:05,6,0,0,2,2,2,5,7,1,8,16,9,15,8,rudy
2025-01-02,MIN,,BOS,"L, 115-118",27:50,5,0,0,0,0,3,4,7,0,6,13,6,13,7,rudy
2025-01-04,MIN,@,DET,"L, 105-119",29:32,6,0,0,0,2,2,4,6,0,6,12,6,12,6,rudy
