Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,NYK,@,BOS,"L, 109-132",34:10,7,0,4,2,2,0,5,5,3,4,12,7,9,8,OG
2024-10-25,NYK,,IND,"W, 123-98",34:01,12,1,4,1,2,0,4,4,1,14,19,15,18,5,OG
2024-10-28,NYK,,CLE,"L, 104-110",36:52,13,1,4,0,1,1,1,2,2,15,19,17,17,4,OG
2024-10-30,NYK,@,MIA,"W, 116-107",36:52,6,3,6,2,2,0,3,3,0,11,14,11,14,3,OG
2024-11-01,NYK,@,DET,"W, 128-98",32:47,15,3,5,2,2,2,2,4,6,21,31,27,25,10,OG
2024-11-04,NYK,@,HOU,"L, 97-109",39:35,14,5,6,2,3,1,5,6,2,21,29,23,27,8,OG
2024-11-06,NYK,@,ATL,"L, 116-121",41:22,13,3,8,2,2,1,5,6,3,15,24,18,21,9,OG
2024-11-08,NYK,,MIL,"W, 116-94",32:07,12,1,8,5,6,0,6,6,5,14,25,19,20,11,OG
2024-11-10,NYK,@,IND,"L, 121-132",36:05,14,3,4,4,4,2,2,4,2,25,31,27,29,6,OG
2024-11-12,NYK,@,PHI,"W, 111-99",40:40,16,2,4,0,0,0,6,6,2,24,32,26,30,8,OG
2024-11-13,NYK,,CHI,"L, 123-124",35:38,14,2,7,2,2,2,7,9,2,14,25,16,23,11,OG
2024-11-15,NYK,,BRK,"W, 124-122",38:46,17,1,8,4,5,1,7,8,1,25,34,26,33,9,OG
2024-11-17,NYK,,BRK,"W, 114-104",40:22,17,3,7,3,5,3,5,8,0,24,32,24,32,8,OG
2024-11-18,NYK,,WAS,"W, 134-106",30:08,12,1,4,3,4,2,3,5,2,16,23,18,21,7,OG
2024-11-20,NYK,@,PHO,"W, 138-122",35:11,7,2,4,4,4,1,6,7,1,14,22,15,21,8,OG
2024-11-23,NYK,@,UTA,"L, 106-121",36:01,19,7,12,0,0,1,2,3,0,27,30,27,30,3,OG
2024-11-25,NYK,@,DEN,"W, 145-118",37:50,23,5,7,3,3,1,4,5,4,40,49,44,45,9,OG
2024-11-27,NYK,@,DAL,"L, 114-129",39:50,15,0,8,2,2,3,2,5,2,8,15,10,13,7,OG
2024-11-29,NYK,@,CHO,"W, 99-98",39:32,11,0,4,2,2,1,3,4,0,8,12,8,12,4,OG
2024-12-01,NYK,,NOP,"W, 118-85",31:25,10,0,3,3,4,1,3,4,2,7,13,9,11,6,OG
2024-12-03,NYK,,ORL,"W, 121-106",32:27,10,4,7,0,0,0,2,2,2,18,22,20,20,4,OG
2024-12-05,NYK,,CHO,"W, 125-101",39:30,18,3,4,2,2,1,5,6,2,25,33,27,31,8,OG
2024-12-07,NYK,,DET,"L, 111-120",38:57,15,2,8,3,4,1,3,4,2,17,23,19,21,6,OG
2024-12-09,NYK,@,TOR,"W, 113-108",41:05,14,2,9,0,1,0,4,4,3,14,21,17,18,7,OG
2024-12-11,NYK,,ATL,"L, 100-108",39:06,17,1,9,2,4,2,4,6,1,13,20,14,19,7,OG
2024-12-15,NYK,@,ORL,"W, 100-91",36:43,8,1,3,0,0,1,4,5,1,7,13,8,12,6,OG
2024-12-19,NYK,@,MIN,"W, 133-107",30:25,8,1,5,2,2,1,2,3,4,9,16,13,12,7,OG
2024-12-21,NYK,@,NOP,"W, 104-93",37:16,17,2,8,2,2,2,3,5,3,16,24,19,21,8,OG
2024-12-23,NYK,,TOR,"W, 139-125",33:45,15,4,6,1,3,2,5,7,4,31,42,35,38,11,OG
2024-12-25,NYK,,SAS,"W, 117-114",35:39,10,2,6,0,0,3,2,5,1,8,14,9,13,6,OG
2024-12-27,NYK,@,ORL,"W, 108-85",27:34,8,0,1,0,0,1,4,5,0,8,13,8,13,5,OG
2024-12-28,NYK,@,WAS,"W, 136-132 (OT)",42:05,12,1,5,0,0,1,3,4,0,9,13,9,13,4,OG
2024-12-30,NYK,@,WAS,"W, 126-106",34:08,14,4,11,4,4,2,6,8,1,18,27,19,26,9,OG
2025-01-01,NYK,,UTA,"W, 119-103",40:41,16,1,3,1,3,1,2,3,2,22,27,24,25,5,OG
2025-01-03,NYK,@,OKC,"L, 107-117",42:32,13,3,7,3,3,0,2,2,3,20,25,23,22,5,OG
2025-01-04,NYK,@,CHI,"L, 126-139",32:24,12,2,6,0,0,2,3,5,0,12,17,12,17,5,OG
2025-01-06,NYK,,ORL,"L, 94-103",35:26,11,0,3,1,2,3,1,4,3,9,16,12,13,7,OG
2025-01-08,NYK,,TOR,"W, 112-98",37:34,13,4,6,7,8,1,1,2,0,27,29,27,29,2,OG
2025-01-10,NYK,,OKC,"L, 101-126",35:55,8,0,5,0,0,1,2,3,2,4,9,6,7,5,OG
2025-01-12,NYK,,MIL,"W, 140-106",30:51,12,1,5,0,1,0,1,1,2,11,14,13,12,3,OG
2025-01-13,NYK,,DET,"L, 119-124",38:46,9,0,2,0,0,2,1,3,1,10,14,11,13,4,OG
2025-01-15,NYK,@,PHI,"W, 125-119 (OT)",44:30,16,3,10,2,2,0,4,4,4,17,25,21,21,8,OG
2025-01-17,NYK,,MIN,"L, 99-116",38:16,10,3,6,5,6,4,6,10,3,18,31,21,28,13,OG
2025-01-20,NYK,,ATL,"W, 119-110",40:53,4,0,1,4,4,2,7,9,2,8,19,10,17,11,OG
2025-01-21,NYK,@,BRK,"W, 99-95",37:15,18,2,6,2,2,3,1,4,3,20,27,23,24,7,OG
2025-01-25,NYK,,SAC,"W, 143-120",35:02,18,4,7,5,6,2,1,3,4,33,40,37,36,7,OG
2025-01-27,NYK,,MEM,"W, 143-106",33:32,12,2,5,3,4,1,4,5,4,15,24,19,20,9,OG
2025-01-29,NYK,,DEN,"W, 122-112",39:21,15,5,7,0,2,1,3,4,1,23,28,24,27,5,OG
2025-02-01,NYK,,LAL,"L, 112-128",16:51,7,3,4,0,0,1,0,1,1,13,15,14,14,2,OG
2025-02-21,NYK,@,CLE,"L, 105-142",26:45,6,1,3,0,0,0,0,0,0,5,5,5,5,0,OG
2025-02-23,NYK,@,BOS,"L, 105-118",35:29,7,2,6,4,4,0,2,2,2,10,14,12,12,4,OG
2025-02-26,NYK,,PHI,"W, 110-105",42:05,15,1,6,5,5,0,9,9,3,16,28,19,25,12,OG
2025-02-28,NYK,@,MEM,"W, 114-113",38:21,17,4,10,1,1,2,1,3,3,19,25,22,22,6,OG
2025-03-02,NYK,@,MIA,"W, 116-112 (OT)",42:58,18,4,9,1,2,3,6,9,5,23,37,28,32,14,OG
2025-03-04,NYK,,GSW,"L, 102-114",41:46,19,4,9,3,5,2,1,3,3,29,35,32,32,6,OG
2025-03-06,NYK,@,LAL,"L, 109-113 (OT)",44:27,18,4,11,2,3,1,3,4,1,20,25,21,24,5,OG
2025-03-07,NYK,@,LAC,"L, 95-105",36:39,15,2,8,1,1,7,1,8,1,11,20,12,19,9,OG
2025-03-10,NYK,@,SAC,"W, 133-104",37:18,15,3,7,7,8,0,7,7,8,24,39,32,31,15,OG
2025-03-12,NYK,@,POR,"W, 114-113 (OT)",43:11,20,3,8,4,6,1,6,7,3,23,33,26,30,10,OG
2025-03-15,NYK,@,GSW,"L, 94-97",38:19,15,2,3,7,9,3,6,9,2,23,34,25,32,11,OG
2025-03-17,NYK,,MIA,"W, 116-95",31:42,13,1,6,2,2,0,1,1,2,9,12,11,10,3,OG
2025-03-19,NYK,@,SAS,"L, 105-120",37:27,15,2,6,2,3,0,5,5,1,14,20,15,19,6,OG
2025-03-20,NYK,@,CHO,"L, 98-115",37:31,19,3,12,8,8,2,4,6,2,25,33,27,31,8,OG
2025-03-22,NYK,,WAS,"W, 122-103",30:54,12,4,5,3,4,0,2,2,3,23,28,26,25,5,OG
2025-03-25,NYK,,DAL,"W, 128-113",38:11,24,3,6,2,2,2,3,5,1,35,41,36,40,6,OG
2025-03-26,NYK,,LAC,"L, 113-126",37:28,17,3,5,3,3,2,3,5,3,28,36,31,33,8,OG
2025-03-28,NYK,@,MIL,"W, 116-107",35:54,21,3,10,10,10,0,2,2,2,31,35,33,33,4,OG
2025-03-30,NYK,,POR,"W, 110-93",37:14,16,2,5,4,4,1,6,7,2,28,37,30,35,9,OG
2025-04-01,NYK,,PHI,"W, 105-91",33:25,16,2,9,11,13,0,5,5,0,27,32,27,32,5,OG
2025-04-02,NYK,@,CLE,"L, 105-124",33:52,17,5,8,0,0,2,4,6,6,23,35,29,29,12,OG
2025-04-05,NYK,@,ATL,"W, 121-105",34:38,17,2,4,4,5,0,4,4,4,24,32,28,28,8,OG
2025-04-06,NYK,,PHO,"W, 112-98",36:24,17,6,8,0,0,2,4,6,3,32,41,35,38,9,OG
2025-04-08,NYK,,BOS,"L, 117-119 (OT)",41:20,13,0,5,3,6,3,5,8,1,13,22,14,21,9,OG
2025-04-11,NYK,,CLE,"L, 102-108",34:47,18,2,9,1,2,0,4,4,4,15,23,19,19,8,OG
