Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,NYK,@,BOS,"L, 109-132",24:30,14,1,2,3,3,0,1,1,2,22,25,24,23,3,jalen
2024-10-25,NYK,,IND,"W, 123-98",29:55,19,3,5,3,4,2,3,5,5,26,36,31,31,10,jalen
2024-10-28,NYK,,CLE,"L, 104-110",37:36,24,0,4,5,7,0,3,3,7,21,31,28,24,10,jalen
2024-10-30,NYK,@,MIA,"W, 116-107",36:22,18,3,7,7,8,0,2,2,9,22,33,31,24,11,jalen
2024-11-01,NYK,@,DET,"W, 128-98",30:40,22,6,8,2,4,0,1,1,5,36,42,41,37,6,jalen
2024-11-04,NYK,@,HOU,"L, 97-109",42:25,24,2,4,9,9,1,2,3,8,29,40,37,32,11,jalen
2024-11-06,NYK,@,ATL,"L, 116-121",36:45,18,4,11,1,2,0,3,3,4,21,28,25,24,7,jalen
2024-11-08,NYK,,MIL,"W, 116-94",31:46,14,0,5,3,4,1,1,2,9,15,26,24,17,11,jalen
2024-11-10,NYK,@,IND,"L, 121-132",40:37,17,1,2,10,12,0,6,6,10,33,49,43,39,16,jalen
2024-11-12,NYK,@,PHI,"W, 111-99",34:52,15,0,4,8,8,0,3,3,5,18,26,23,21,8,jalen
2024-11-13,NYK,,CHI,"L, 123-124",34:29,20,3,9,3,5,1,2,3,8,24,35,32,27,11,jalen
2024-11-15,NYK,,BRK,"W, 124-122",34:07,20,3,8,10,12,0,3,3,7,37,47,44,40,10,jalen
2024-11-17,NYK,,BRK,"W, 114-104",34:22,14,0,5,6,8,1,4,5,10,12,27,22,17,15,jalen
2024-11-18,NYK,,WAS,"W, 134-106",30:18,15,5,9,3,3,0,1,1,11,26,38,37,27,12,jalen
2024-11-20,NYK,@,PHO,"W, 138-122",36:42,21,7,11,5,5,1,1,2,10,36,48,46,38,12,jalen
2024-11-23,NYK,@,UTA,"L, 106-121",37:03,19,2,9,5,5,0,2,2,8,23,33,31,25,10,jalen
2024-11-25,NYK,@,DEN,"W, 145-118",37:52,14,4,5,3,3,0,3,3,17,23,43,40,26,20,jalen
2024-11-27,NYK,@,DAL,"L, 114-129",36:22,21,0,3,9,10,0,3,3,7,37,47,44,40,10,jalen
2024-11-29,NYK,@,CHO,"W, 99-98",36:41,18,4,6,9,12,0,6,6,6,31,43,37,37,12,jalen
2024-12-01,NYK,,NOP,"W, 118-85",26:28,11,3,7,5,5,2,0,2,9,16,27,25,18,11,jalen
2024-12-03,NYK,,ORL,"W, 121-106",26:31,15,1,3,4,4,1,1,2,4,21,27,25,23,6,jalen
2024-12-05,NYK,,CHO,"W, 125-101",26:58,8,5,6,7,8,0,1,1,5,24,30,29,25,6,jalen
2024-12-07,NYK,,DET,"L, 111-120",43:48,21,3,7,6,9,0,4,4,10,31,45,41,35,14,jalen
2024-12-09,NYK,@,TOR,"W, 113-108",34:31,13,4,8,2,5,0,4,4,11,20,35,31,24,15,jalen
2024-12-11,NYK,,ATL,"L, 100-108",35:31,15,2,6,2,3,1,3,4,8,14,26,22,18,12,jalen
2024-12-15,NYK,@,ORL,"W, 100-91",38:03,18,4,8,11,14,0,3,3,5,31,39,36,34,8,jalen
2024-12-19,NYK,@,MIN,"W, 133-107",29:45,14,2,5,2,2,1,2,3,7,14,24,21,17,10,jalen
2024-12-21,NYK,@,NOP,"W, 104-93",39:54,19,7,10,6,6,0,1,1,6,39,46,45,40,7,jalen
2024-12-23,NYK,,TOR,"W, 139-125",32:08,13,0,5,4,8,0,1,1,7,12,20,19,13,8,jalen
2024-12-25,NYK,,SAS,"W, 117-114",38:10,23,0,5,6,7,1,6,7,9,20,36,29,27,16,jalen
2024-12-27,NYK,@,ORL,"W, 108-85",36:43,21,0,2,4,6,1,2,3,9,26,38,35,29,12,jalen
2024-12-28,NYK,@,WAS,"W, 136-132 (OT)",44:00,31,3,11,16,17,0,3,3,9,55,67,64,58,12,jalen
2024-12-30,NYK,@,WAS,"W, 126-106",35:53,17,1,6,5,5,0,3,3,6,18,27,24,21,9,jalen
2025-01-03,NYK,@,OKC,"L, 107-117",40:08,23,0,5,4,6,1,2,3,9,22,34,31,25,12,jalen
2025-01-04,NYK,@,CHI,"L, 126-139",32:50,20,1,4,10,11,1,1,2,8,33,43,41,35,10,jalen
2025-01-06,NYK,,ORL,"L, 94-103",35:54,21,0,1,8,10,1,0,1,4,24,29,28,25,5,jalen
2025-01-08,NYK,,TOR,"W, 112-98",34:53,13,1,4,2,4,0,6,6,7,13,26,20,19,13,jalen
2025-01-10,NYK,,OKC,"L, 101-126",33:04,15,1,2,12,12,0,1,1,5,27,33,32,28,6,jalen
2025-01-12,NYK,,MIL,"W, 140-106",28:47,26,5,10,7,8,1,4,5,6,44,55,50,49,11,jalen
