Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,NYK,@,BOS,"L, 109-132",24:30,6,0,2,4,6,1,3,4,3,12,19,15,16,7,josh
2024-10-25,NYK,,IND,"W, 123-98",36:40,15,1,6,3,4,3,7,10,3,20,33,23,30,13,josh
2024-10-28,NYK,,CLE,"L, 104-110",37:50,10,2,5,6,6,4,9,13,2,16,31,18,29,15,josh
2024-10-30,NYK,@,MIA,"W, 116-107",42:15,7,2,5,0,0,1,13,14,6,10,30,16,24,20,josh
2024-11-01,NYK,@,DET,"W, 128-98",37:05,9,1,3,0,0,3,6,9,4,13,26,17,22,13,josh
2024-11-04,NYK,@,HOU,"L, 97-109",37:50,9,0,2,4,4,0,4,4,7,12,23,19,16,11,josh
2024-11-06,NYK,@,ATL,"L, 116-121",38:04,9,2,4,0,0,1,7,8,8,14,30,22,22,16,josh
2024-11-08,NYK,,MIL,"W, 116-94",33:06,5,1,1,2,2,2,7,9,7,11,27,18,20,16,josh
2024-11-10,NYK,@,IND,"L, 121-132",42:40,12,0,3,2,3,2,8,10,6,16,32,22,26,16,josh
2024-11-12,NYK,@,PHI,"W, 111-99",37:23,8,1,3,1,1,1,11,12,10,14,36,24,26,22,josh
2024-11-13,NYK,,CHI,"L, 123-124",33:42,6,0,0,0,0,4,4,8,6,6,20,12,14,14,josh
2024-11-15,NYK,,BRK,"W, 124-122",40:15,7,2,5,6,6,0,9,9,9,14,32,23,23,18,josh
2024-11-17,NYK,,BRK,"W, 114-104",46:05,13,3,7,1,1,0,8,8,8,20,36,28,28,16,josh
2024-11-18,NYK,,WAS,"W, 134-106",32:00,9,2,5,0,0,0,6,6,3,14,23,17,20,9,josh
2024-11-20,NYK,@,PHO,"W, 138-122",39:05,11,2,3,1,2,4,7,11,6,19,36,25,30,17,josh
2024-11-23,NYK,@,UTA,"L, 106-121",40:57,11,2,4,3,4,1,5,6,6,17,29,23,23,12,josh
2024-11-25,NYK,@,DEN,"W, 145-118",27:46,5,1,1,1,1,2,4,6,5,12,23,17,18,11,josh
2024-11-27,NYK,@,DAL,"L, 114-129",41:33,10,1,2,1,1,1,1,2,3,12,17,15,14,5,josh
2024-11-29,NYK,@,CHO,"W, 99-98",41:29,12,1,4,0,0,4,8,12,5,13,30,18,25,17,josh
2024-12-01,NYK,,NOP,"W, 118-85",30:58,9,2,3,0,0,1,5,6,3,12,21,15,18,9,josh
2024-12-03,NYK,,ORL,"W, 121-106",38:49,6,0,1,3,3,1,12,13,10,11,34,21,24,23,josh
2024-12-05,NYK,,CHO,"W, 125-101",38:23,9,4,6,2,2,0,10,10,6,18,34,24,28,16,josh
2024-12-07,NYK,,DET,"L, 111-120",38:58,11,1,4,2,3,1,5,6,3,17,26,20,23,9,josh
2024-12-09,NYK,@,TOR,"W, 113-108",31:51,9,1,2,1,2,1,3,4,3,10,17,13,14,7,josh
2024-12-11,NYK,,ATL,"L, 100-108",34:28,12,3,5,2,2,2,6,8,6,21,35,27,29,14,josh
2024-12-15,NYK,@,ORL,"W, 100-91",33:02,9,1,3,1,3,0,5,5,5,12,22,17,17,10,josh
2024-12-21,NYK,@,NOP,"W, 104-93",41:57,13,1,4,1,2,1,7,8,5,14,27,19,22,13,josh
2024-12-23,NYK,,TOR,"W, 139-125",30:55,6,1,2,4,4,0,3,3,4,11,18,15,14,7,josh
2024-12-25,NYK,,SAS,"W, 117-114",38:27,8,1,3,3,4,5,7,12,6,12,30,18,24,18,josh
2024-12-27,NYK,@,ORL,"W, 108-85",38:26,11,1,3,8,10,3,10,13,1,23,37,24,36,14,josh
2024-12-28,NYK,@,WAS,"W, 136-132 (OT)",38:36,10,0,3,3,3,3,8,11,7,13,31,20,24,18,josh
2024-12-30,NYK,@,WAS,"W, 126-106",41:17,15,4,8,5,7,4,11,15,10,23,48,33,38,25,josh
2025-01-01,NYK,,UTA,"W, 119-103",45:08,12,1,4,2,3,2,12,14,12,15,41,27,29,26,josh
2025-01-03,NYK,@,OKC,"L, 107-117",44:14,15,2,7,1,2,3,4,7,2,19,28,21,26,9,josh
2025-01-04,NYK,@,CHI,"L, 126-139",40:23,5,0,3,2,2,3,13,16,10,2,28,12,18,26,josh
2025-01-06,NYK,,ORL,"L, 94-103",41:43,9,1,3,4,4,3,11,14,2,15,31,17,29,16,josh
2025-01-08,NYK,,TOR,"W, 112-98",38:22,14,2,5,1,2,6,5,11,7,21,39,28,32,18,josh
2025-01-10,NYK,,OKC,"L, 101-126",30:28,13,0,1,4,4,6,7,13,2,16,31,18,29,15,josh
2025-01-12,NYK,,MIL,"W, 140-106",35:21,5,1,1,0,0,2,9,11,4,11,26,15,22,15,josh
2025-01-13,NYK,,DET,"L, 119-124",37:52,5,1,2,5,6,3,11,14,5,12,31,17,26,19,josh
2025-01-15,NYK,@,PHI,"W, 125-119 (OT)",49:25,9,0,3,2,3,5,12,17,12,10,39,22,27,29,josh
2025-01-17,NYK,,MIN,"L, 99-116",38:07,12,1,5,5,6,2,7,9,0,12,21,12,21,9,josh
2025-01-20,NYK,,ATL,"W, 119-110",37:13,12,0,1,0,0,4,5,9,5,14,28,19,23,14,josh
2025-01-21,NYK,@,BRK,"W, 99-95",38:54,5,1,2,0,0,1,11,12,9,7,28,16,19,21,josh
2025-01-25,NYK,,SAC,"W, 143-120",39:43,14,1,2,3,3,7,11,18,11,20,49,31,38,29,josh
2025-01-27,NYK,,MEM,"W, 143-106",26:30,6,0,3,0,0,2,8,10,5,4,19,9,14,15,josh
2025-01-29,NYK,,DEN,"W, 122-112",34:00,12,0,2,1,2,0,5,5,5,15,25,20,20,10,josh
2025-02-01,NYK,,LAL,"L, 112-128",38:12,16,1,5,3,4,4,9,13,11,26,50,37,39,24,josh
2025-02-03,NYK,,HOU,"W, 124-118",40:04,12,0,1,3,3,2,6,8,5,19,32,24,27,13,josh
2025-02-04,NYK,@,TOR,"W, 121-115",36:40,17,1,4,0,0,1,6,7,6,15,28,21,22,13,josh
2025-02-08,NYK,,BOS,"L, 104-131",38:12,16,1,3,2,4,1,7,8,3,17,28,20,25,11,josh
2025-02-11,NYK,@,IND,"W, 128-115",39:59,16,1,3,5,7,2,8,10,5,30,45,35,40,15,josh
2025-02-12,NYK,,ATL,"W, 149-148 (OT)",45:47,13,0,3,8,8,3,7,10,6,18,34,24,28,16,josh
2025-02-23,NYK,@,BOS,"L, 105-118",40:09,14,0,0,4,4,2,9,11,9,20,40,29,31,20,josh
2025-02-26,NYK,,PHI,"W, 110-105",38:36,5,0,0,1,4,3,14,17,4,7,28,11,24,21,josh
2025-02-28,NYK,@,MEM,"W, 114-113",28:39,6,1,2,7,8,0,4,4,6,12,22,18,16,10,josh
2025-03-02,NYK,@,MIA,"W, 116-112 (OT)",43:06,12,0,2,0,0,0,7,7,3,14,24,17,21,10,josh
2025-03-04,NYK,,GSW,"L, 102-114",33:05,8,0,4,0,0,1,7,8,3,2,13,5,10,11,josh
2025-03-06,NYK,@,LAL,"L, 109-113 (OT)",43:53,13,2,6,4,7,5,5,10,2,18,30,20,28,12,josh
2025-03-07,NYK,@,LAC,"L, 95-105",45:51,13,1,4,1,2,2,18,20,6,14,40,20,34,26,josh
2025-03-10,NYK,@,SAC,"W, 133-104",31:00,11,4,6,2,2,0,6,6,3,18,27,21,24,9,josh
2025-03-12,NYK,@,POR,"W, 114-113 (OT)",42:10,14,2,6,1,2,3,8,11,9,11,31,20,22,20,josh
2025-03-15,NYK,@,GSW,"L, 94-97",38:31,7,0,2,0,0,1,6,7,7,0,14,7,7,14,josh
2025-03-17,NYK,,MIA,"W, 116-95",29:17,9,2,5,0,0,2,11,13,11,12,36,23,25,24,josh
2025-03-19,NYK,@,SAS,"L, 105-120",34:59,4,0,3,0,0,3,4,7,7,2,16,9,9,14,josh
2025-03-20,NYK,@,CHO,"L, 98-115",39:28,8,3,3,0,0,2,2,4,6,13,23,19,17,10,josh
2025-03-22,NYK,,WAS,"W, 122-103",37:32,10,0,3,1,2,3,9,12,2,9,23,11,21,14,josh
2025-03-25,NYK,,DAL,"W, 128-113",33:26,9,2,2,2,2,1,11,12,11,16,39,27,28,23,josh
2025-03-26,NYK,,LAC,"L, 113-126",33:34,9,0,4,1,3,1,4,5,6,7,18,13,12,11,josh
2025-03-28,NYK,@,MIL,"W, 116-107",41:52,8,0,2,3,5,4,10,14,8,13,35,21,27,22,josh
2025-03-30,NYK,,POR,"W, 110-93",38:10,10,1,3,3,4,1,7,8,9,14,31,23,22,17,josh
2025-04-01,NYK,,PHI,"W, 105-91",32:00,7,0,0,1,1,0,4,4,6,9,19,15,13,10,josh
2025-04-02,NYK,@,CLE,"L, 105-124",36:44,19,3,9,0,0,2,3,5,4,19,28,23,24,9,josh
