Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,NYK,@,BOS,"L, 109-132",23:37,9,1,2,1,1,0,7,7,3,12,22,15,19,10,karl-anthony
2024-10-25,NYK,,IND,"W, 123-98",32:17,11,2,2,9,10,4,11,15,0,21,36,21,36,15,karl-anthony
2024-10-28,NYK,,CLE,"L, 104-110",32:17,8,1,2,4,4,1,9,10,3,13,26,16,23,13,karl-anthony
2024-10-30,NYK,@,MIA,"W, 116-107",38:47,25,4,5,6,6,3,10,13,2,44,59,46,57,15,karl-anthony
2024-11-01,NYK,@,DET,"W, 128-98",27:28,18,3,6,2,3,3,8,11,7,21,39,28,32,18,karl-anthony
2024-11-04,NYK,@,HOU,"L, 97-109",32:25,17,0,2,3,4,9,10,19,0,17,36,17,36,19,karl-anthony
2024-11-06,NYK,@,ATL,"L, 116-121",38:01,23,5,9,7,7,5,11,16,1,34,51,35,50,17,karl-anthony
2024-11-08,NYK,,MIL,"W, 116-94",32:03,20,4,8,4,5,3,8,11,5,32,48,37,43,16,karl-anthony
2024-11-10,NYK,@,IND,"L, 121-132",38:52,19,2,5,6,8,1,8,9,0,30,39,30,39,9,karl-anthony
2024-11-12,NYK,@,PHI,"W, 111-99",38:27,16,2,6,5,6,3,10,13,6,21,40,27,34,19,karl-anthony
2024-11-13,NYK,,CHI,"L, 123-124",39:04,30,6,12,4,8,1,9,10,3,46,59,49,56,13,karl-anthony
2024-11-17,NYK,,BRK,"W, 114-104",29:55,16,1,3,5,5,4,11,15,6,26,47,32,41,21,karl-anthony
2024-11-18,NYK,,WAS,"W, 134-106",24:41,14,3,4,5,5,1,11,12,3,24,39,27,36,15,karl-anthony
2024-11-20,NYK,@,PHO,"W, 138-122",34:09,19,3,8,7,8,1,9,10,2,34,46,36,44,12,karl-anthony
2024-11-23,NYK,@,UTA,"L, 106-121",38:45,19,1,9,3,3,8,8,16,5,16,37,21,32,21,karl-anthony
2024-11-25,NYK,@,DEN,"W, 145-118",33:53,15,2,2,4,6,1,14,15,4,30,49,34,45,19,karl-anthony
2024-11-27,NYK,@,DAL,"L, 114-129",34:54,16,2,4,9,10,1,13,14,4,25,43,29,39,18,karl-anthony
2024-11-29,NYK,@,CHO,"W, 99-98",39:29,16,2,5,1,1,4,8,12,5,19,36,24,31,17,karl-anthony
2024-12-01,NYK,,NOP,"W, 118-85",24:34,12,1,5,5,5,3,16,19,2,14,35,16,33,21,karl-anthony
2024-12-03,NYK,,ORL,"W, 121-106",35:43,18,2,5,5,5,2,13,15,0,23,38,23,38,15,karl-anthony
2024-12-05,NYK,,CHO,"W, 125-101",39:25,15,2,5,7,9,3,13,16,2,27,45,29,43,18,karl-anthony
2024-12-09,NYK,@,TOR,"W, 113-108",35:48,13,2,5,8,10,2,13,15,6,24,45,30,39,21,karl-anthony
2024-12-11,NYK,,ATL,"L, 100-108",36:36,15,2,6,3,6,4,15,19,5,19,43,24,38,24,karl-anthony
2024-12-15,NYK,@,ORL,"W, 100-91",43:17,15,1,3,7,7,4,18,22,5,22,49,27,44,27,karl-anthony
2024-12-19,NYK,@,MIN,"W, 133-107",37:38,12,5,5,7,9,3,17,20,6,32,58,38,52,26,karl-anthony
2024-12-21,NYK,@,NOP,"W, 104-93",27:14,10,2,5,3,3,2,8,10,4,11,25,15,21,14,karl-anthony
2024-12-23,NYK,,TOR,"W, 139-125",32:07,15,1,3,8,10,3,7,10,7,31,48,38,41,17,karl-anthony
2024-12-25,NYK,,SAS,"W, 117-114",29:33,16,1,5,2,2,2,7,9,2,21,32,23,30,11,karl-anthony
2024-12-27,NYK,@,ORL,"W, 108-85",32:35,10,2,4,2,4,1,7,8,0,16,24,16,24,8,karl-anthony
2024-12-28,NYK,@,WAS,"W, 136-132 (OT)",43:37,19,2,5,2,3,3,11,14,3,30,47,33,44,17,karl-anthony
