Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,NYK,@,BOS,"L, 109-132",34:37,13,2,7,0,1,0,0,0,2,16,18,18,16,2,mikal
2024-10-25,NYK,,IND,"W, 123-98",33:29,12,2,3,3,4,1,0,1,5,21,27,26,22,6,mikal
2024-10-28,NYK,,CLE,"L, 104-110",40:10,15,1,4,0,0,4,2,6,3,19,28,22,25,9,mikal
2024-10-30,NYK,@,MIA,"W, 116-107",39:51,16,4,11,1,2,1,2,3,6,17,26,23,20,9,mikal
2024-11-01,NYK,@,DET,"W, 128-98",34:40,13,3,6,0,0,0,7,7,3,15,25,18,22,10,mikal
2024-11-04,NYK,@,HOU,"L, 97-109",40:21,14,3,8,0,1,1,2,3,0,15,18,15,18,3,mikal
2024-11-06,NYK,@,ATL,"L, 116-121",38:38,10,2,7,0,0,0,2,2,5,10,17,15,12,7,mikal
2024-11-08,NYK,,MIL,"W, 116-94",36:32,18,3,11,0,0,1,2,3,3,17,23,20,20,6,mikal
2024-11-10,NYK,@,IND,"L, 121-132",41:32,11,0,6,0,0,3,4,7,4,8,19,12,15,11,mikal
2024-11-12,NYK,@,PHI,"W, 111-99",35:22,13,0,2,0,0,1,3,4,3,14,21,17,18,7,mikal
2024-11-13,NYK,,CHI,"L, 123-124",42:58,15,1,4,3,3,0,6,6,5,20,31,25,26,11,mikal
2024-11-15,NYK,,BRK,"W, 124-122",41:11,17,4,7,0,0,2,3,5,4,22,31,26,27,9,mikal
2024-11-17,NYK,,BRK,"W, 114-104",44:57,18,3,10,0,0,2,4,6,1,21,28,22,27,7,mikal
2024-11-18,NYK,,WAS,"W, 134-106",34:42,14,0,4,0,0,2,1,3,5,14,22,19,17,8,mikal
2024-11-20,NYK,@,PHO,"W, 138-122",40:04,14,2,5,0,0,0,3,3,5,16,24,21,19,8,mikal
2024-11-23,NYK,@,UTA,"L, 106-121",32:36,15,1,7,0,0,0,3,3,0,7,10,7,10,3,mikal
2024-11-25,NYK,@,DEN,"W, 145-118",36:11,16,2,8,0,0,0,2,2,6,14,22,20,16,8,mikal
2024-11-27,NYK,@,DAL,"L, 114-129",39:15,19,4,10,0,0,2,3,5,0,20,25,20,25,5,mikal
2024-11-29,NYK,@,CHO,"W, 99-98",36:40,10,1,4,1,2,1,1,2,2,8,12,10,10,4,mikal
2024-12-01,NYK,,NOP,"W, 118-85",35:30,19,7,12,0,0,0,4,4,1,31,36,32,35,5,mikal
2024-12-03,NYK,,ORL,"W, 121-106",35:32,13,2,6,1,1,0,2,2,5,19,26,24,21,7,mikal
2024-12-05,NYK,,CHO,"W, 125-101",46:30,15,2,7,3,5,0,3,3,7,19,29,26,22,10,mikal
