Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,NYK,@,BOS,"L, 109-132",25:51,10,4,5,2,3,0,0,0,2,22,24,24,22,2,miles
2024-10-25,NYK,,IND,"W, 123-98",20:37,4,2,2,0,0,0,2,2,2,8,12,10,10,4,miles
2024-10-28,NYK,,CLE,"L, 104-110",29:08,12,2,6,0,0,1,2,3,4,14,21,18,17,7,miles
2024-10-30,NYK,@,MIA,"W, 116-107",25:02,8,2,5,2,2,1,2,3,2,10,15,12,13,5,miles
2024-11-01,NYK,@,DET,"W, 128-98",28:20,12,2,8,0,1,1,2,3,2,10,15,12,13,5,miles
2024-11-04,NYK,@,HOU,"L, 97-109",26:17,9,0,5,0,0,0,0,0,2,0,2,2,0,2,miles
2024-11-06,NYK,@,ATL,"L, 116-121",28:26,9,4,6,2,2,0,4,4,7,16,27,23,20,11,miles
2024-11-08,NYK,,MIL,"W, 116-94",28:01,11,2,6,2,2,1,4,5,2,14,21,16,19,7,miles
2024-11-10,NYK,@,IND,"L, 121-132",29:19,9,1,5,0,0,0,1,1,1,7,9,8,8,2,miles
2024-11-12,NYK,@,PHI,"W, 111-99",25:52,12,3,8,0,0,0,3,3,2,15,20,17,18,5,miles
2024-11-13,NYK,,CHI,"L, 123-124",23:12,4,0,2,0,0,0,1,1,2,2,5,4,3,3,miles
2024-11-25,NYK,@,DEN,"W, 145-118",27:45,9,3,6,0,0,2,4,6,3,13,22,16,19,9,miles
2024-11-27,NYK,@,DAL,"L, 114-129",15:19,2,0,1,3,3,0,2,2,2,5,9,7,7,4,miles
2024-11-29,NYK,@,CHO,"W, 99-98",26:35,9,2,5,2,2,2,3,5,1,14,20,15,19,6,miles
2024-12-01,NYK,,NOP,"W, 118-85",21:40,9,3,4,0,0,1,1,2,3,13,18,16,15,5,miles
2024-12-03,NYK,,ORL,"W, 121-106",25:44,11,5,7,3,3,1,2,3,4,18,25,22,21,7,miles
2024-12-05,NYK,,CHO,"W, 125-101",27:39,5,2,4,4,4,0,1,1,6,10,17,16,11,7,miles
2024-12-07,NYK,,DET,"L, 111-120",26:57,7,1,5,1,2,0,2,2,2,8,12,10,10,4,miles
2024-12-09,NYK,@,TOR,"W, 113-108",26:19,6,2,4,0,0,1,2,3,5,8,16,13,11,8,miles
2024-12-11,NYK,,ATL,"L, 100-108",19:53,8,1,6,0,0,0,2,2,3,5,10,8,7,5,miles
2024-12-15,NYK,@,ORL,"W, 100-91",20:38,6,2,2,1,2,1,1,2,1,7,10,8,9,3,miles
2024-12-19,NYK,@,MIN,"W, 133-107",28:56,13,4,9,0,0,2,3,5,8,16,29,24,21,13,miles
2024-12-21,NYK,@,NOP,"W, 104-93",15:56,6,0,3,0,0,1,1,2,1,2,5,3,4,3,miles
2024-12-23,NYK,,TOR,"W, 139-125",25:14,8,2,4,0,1,1,3,4,5,12,21,17,16,9,miles
2024-12-25,NYK,,SAS,"W, 117-114",29:47,10,2,6,2,2,1,2,3,2,8,13,10,11,5,miles
2024-12-27,NYK,@,ORL,"W, 108-85",21:45,4,0,1,3,4,2,3,5,3,5,13,8,10,8,miles
2024-12-28,NYK,@,WAS,"W, 136-132 (OT)",19:06,5,1,4,0,0,0,0,0,1,3,4,4,3,1,miles
2024-12-30,NYK,@,WAS,"W, 126-106",17:46,8,1,3,1,2,2,0,2,6,8,16,14,10,8,miles
2025-01-10,NYK,,OKC,"L, 101-126",19:57,9,0,4,1,1,4,1,5,5,7,17,12,12,10,miles
2025-01-12,NYK,,MIL,"W, 140-106",19:40,7,2,6,0,0,0,0,0,2,6,8,8,6,2,miles
2025-01-13,NYK,,DET,"L, 119-124",16:39,2,1,2,0,0,1,0,1,2,3,6,5,4,3,miles
2025-01-15,NYK,@,PHI,"W, 125-119 (OT)",21:47,5,3,4,2,2,1,2,3,3,13,19,16,16,6,miles
2025-01-17,NYK,,MIN,"L, 99-116",19:10,6,0,4,0,0,0,0,0,0,4,4,4,4,0,miles
2025-01-20,NYK,,ATL,"W, 119-110",20:25,10,1,5,0,0,2,1,3,3,9,15,12,12,6,miles
2025-01-21,NYK,@,BRK,"W, 99-95",18:29,6,1,3,0,0,0,1,1,1,7,9,8,8,2,miles
2025-01-25,NYK,,SAC,"W, 143-120",16:34,8,0,4,2,2,0,1,1,1,4,6,5,5,2,miles
2025-01-27,NYK,,MEM,"W, 143-106",23:36,13,2,7,0,0,2,2,4,4,14,22,18,18,8,miles
2025-01-29,NYK,,DEN,"W, 122-112",21:31,9,2,5,0,0,0,2,2,4,12,18,16,14,6,miles
2025-02-01,NYK,,LAL,"L, 112-128",22:56,9,3,7,1,1,1,2,3,1,12,16,13,15,4,miles
2025-02-03,NYK,,HOU,"W, 124-118",25:34,7,1,4,0,0,0,1,1,1,7,9,8,8,2,miles
2025-02-04,NYK,@,TOR,"W, 121-115",20:33,5,0,1,0,0,0,0,0,1,4,5,5,4,1,miles
2025-02-08,NYK,,BOS,"L, 104-131",35:00,8,1,5,5,5,0,1,1,1,8,10,9,9,2,miles
2025-02-11,NYK,@,IND,"W, 128-115",25:19,7,4,4,3,3,0,3,3,1,15,19,16,18,4,miles
2025-02-12,NYK,,ATL,"W, 149-148 (OT)",08:10,1,0,0,0,0,0,0,0,1,0,1,1,0,1,miles
2025-02-20,NYK,,CHI,"W, 113-111 (OT)",42:20,19,5,12,0,0,3,3,6,3,23,32,26,29,9,miles
2025-02-21,NYK,@,CLE,"L, 105-142",20:53,5,1,3,0,0,0,3,3,0,5,8,5,8,3,miles
2025-02-23,NYK,@,BOS,"L, 105-118",27:14,7,0,4,0,0,0,2,2,2,2,6,4,4,4,miles
2025-02-26,NYK,,PHI,"W, 110-105",17:06,4,0,1,0,0,0,2,2,1,6,9,7,8,3,miles
2025-02-28,NYK,@,MEM,"W, 114-113",28:08,11,3,5,0,0,2,2,4,3,17,24,20,21,7,miles
2025-03-02,NYK,@,MIA,"W, 116-112 (OT)",30:28,10,3,7,1,2,0,2,2,2,12,16,14,14,4,miles
2025-03-04,NYK,,GSW,"L, 102-114",23:48,7,0,2,2,2,2,2,4,5,6,15,11,10,9,miles
2025-03-06,NYK,@,LAL,"L, 109-113 (OT)",21:01,6,0,4,0,0,2,3,5,2,0,7,2,5,7,miles
2025-03-07,NYK,@,LAC,"L, 95-105",33:38,13,2,9,1,2,0,2,2,6,7,15,13,9,8,miles
2025-03-10,NYK,@,SAC,"W, 133-104",31:45,11,4,5,3,5,0,3,3,7,21,31,28,24,10,miles
