Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-24,OKC,@,DEN,"W, 102-87",19:31,9,1,2,0,0,0,6,6,1,15,22,16,21,7,aaron
2024-10-26,OKC,@,CHI,"W, 114-95",15:43,7,0,2,0,0,1,2,3,1,8,12,9,11,4,aaron
2024-10-27,OKC,,ATL,"W, 128-104",18:06,4,1,2,2,2,1,0,1,1,9,11,10,10,2,aaron
2024-10-30,OKC,,SAS,"W, 105-93",17:52,8,0,3,0,0,0,3,3,3,4,10,7,7,6,aaron
2024-11-01,OKC,@,POR,"W, 137-114",22:57,10,3,5,0,0,4,4,8,2,13,23,15,21,10,aaron
2024-11-02,OKC,@,LAC,"W, 105-92",30:22,12,2,4,0,0,0,5,5,2,12,19,14,17,7,aaron
2024-11-04,OKC,,ORL,"W, 102-86",17:25,9,1,3,2,2,2,3,5,1,11,17,12,16,6,aaron
2024-11-06,OKC,@,DEN,"L, 122-124",17:21,9,2,4,1,1,1,1,2,1,13,16,14,15,3,aaron
2024-11-08,OKC,,HOU,"W, 126-107",29:43,9,2,3,0,0,1,4,5,5,8,18,13,13,10,aaron
2024-11-10,OKC,,GSW,"L, 116-127",18:23,8,3,4,0,0,1,1,2,3,9,14,12,11,5,aaron
2024-11-11,OKC,,LAC,"W, 134-128",29:11,6,2,4,0,0,2,2,4,4,10,18,14,14,8,aaron
2024-11-13,OKC,,NOP,"W, 106-88",24:20,11,2,6,0,0,3,2,5,3,10,18,13,15,8,aaron
2024-11-15,OKC,,PHO,"W, 99-83",19:54,5,1,1,3,4,1,0,1,2,8,11,10,9,3,aaron
2024-11-17,OKC,,DAL,"L, 119-121",24:40,9,2,7,1,2,1,4,5,0,7,12,7,12,5,aaron
2024-11-19,OKC,@,SAS,"L, 104-110",20:12,10,3,7,0,0,0,3,3,0,11,14,11,14,3,aaron
2024-11-20,OKC,,POR,"W, 109-99",14:59,6,1,4,0,0,2,0,2,0,5,7,5,7,2,aaron
2024-11-25,OKC,@,SAC,"W, 130-109",21:30,6,1,2,1,2,1,3,4,0,8,12,8,12,4,aaron
2024-11-27,OKC,@,GSW,"W, 105-101",14:28,5,1,2,0,0,0,1,1,0,7,8,7,8,1,aaron
2024-11-29,OKC,@,LAL,"W, 101-93",18:21,9,1,4,0,0,1,6,7,0,7,14,7,14,7,aaron
2024-12-01,OKC,@,HOU,"L, 116-119",27:15,12,1,4,0,0,0,3,3,3,13,19,16,16,6,aaron
2024-12-03,OKC,,UTA,"W, 133-106",22:04,11,2,5,2,2,2,2,4,1,16,21,17,20,5,aaron
2024-12-05,OKC,@,TOR,"W, 129-92",20:29,11,2,6,0,0,0,3,3,2,12,17,14,15,5,aaron
2024-12-07,OKC,@,NOP,"W, 119-109",14:54,5,0,3,0,0,0,3,3,2,2,7,4,5,5,aaron
2024-12-10,OKC,,DAL,"W, 118-104",08:55,2,1,2,0,0,0,0,0,0,3,3,3,3,0,aaron
2024-12-14,OKC,,HOU,"W, 111-96",09:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aaron
2024-12-19,OKC,@,ORL,"W, 105-99",30:40,7,2,3,3,4,0,2,2,1,11,14,12,13,3,aaron
2024-12-20,OKC,@,MIA,"W, 104-97",13:14,3,1,3,0,0,0,3,3,0,3,6,3,6,3,aaron
2024-12-23,OKC,,WAS,"W, 123-105",13:36,8,1,5,0,0,0,1,1,0,7,8,7,8,1,aaron
2024-12-26,OKC,@,IND,"W, 120-114",05:55,4,0,2,0,0,0,0,0,2,2,4,4,2,2,aaron
2024-12-28,OKC,@,CHO,"W, 106-94",33:15,10,3,7,2,2,3,2,5,1,17,23,18,22,6,aaron
2024-12-29,OKC,,MEM,"W, 130-106",23:46,13,1,5,3,3,0,3,3,0,16,19,16,19,3,aaron
2024-12-31,OKC,,MIN,"W, 113-105",13:40,6,1,2,0,0,0,3,3,1,7,11,8,10,4,aaron
2025-01-02,OKC,,LAC,"W, 116-98",28:09,7,1,3,0,0,2,2,4,2,9,15,11,13,6,aaron
2025-01-03,OKC,,NYK,"W, 117-107",24:53,9,4,6,1,1,2,3,5,2,19,26,21,24,7,aaron
2025-01-05,OKC,,BOS,"W, 105-92",19:35,9,3,6,0,0,0,1,1,2,15,18,17,16,3,aaron
2025-01-08,OKC,@,CLE,"L, 122-129",21:38,7,1,2,0,0,1,1,2,1,11,14,12,13,3,aaron
2025-01-10,OKC,@,NYK,"W, 126-101",21:54,4,0,0,0,0,1,4,5,1,8,14,9,13,6,aaron
2025-01-12,OKC,@,WAS,"W, 136-95",30:28,11,2,4,7,8,3,6,9,4,23,36,27,32,13,aaron
2025-01-14,OKC,@,PHI,"W, 118-102",15:46,5,0,1,0,0,1,2,3,3,6,12,9,9,6,aaron
2025-01-16,OKC,,CLE,"W, 134-114",32:51,8,0,1,0,0,2,3,5,3,4,12,7,9,8,aaron
2025-01-17,OKC,@,DAL,"L, 98-106",23:14,8,2,4,0,0,2,4,6,2,12,20,14,18,8,aaron
2025-01-19,OKC,,BRK,"W, 127-101",25:46,11,0,4,0,0,1,2,3,5,12,20,17,15,8,aaron
2025-01-22,OKC,,UTA,"W, 123-114",22:36,7,2,4,0,0,1,3,4,1,10,15,11,14,5,aaron
2025-01-23,OKC,,DAL,"L, 115-121",27:42,11,0,6,1,2,1,2,3,1,9,13,10,12,4,aaron
2025-01-26,OKC,@,POR,"W, 118-108",16:38,6,0,4,0,0,0,1,1,0,4,5,4,5,1,aaron
2025-01-29,OKC,@,GSW,"L, 109-116",14:08,5,0,4,0,0,0,2,2,1,2,5,3,4,3,aaron
2025-02-01,OKC,,SAC,"W, 144-110",39:53,30,6,14,3,4,6,8,14,3,41,58,44,55,17,aaron
2025-02-03,OKC,,MIL,"W, 125-96",25:40,9,1,2,0,0,0,1,1,4,13,18,17,14,5,aaron
2025-02-05,OKC,,PHO,"W, 140-109",24:54,8,1,2,4,4,4,2,6,1,17,24,18,23,7,aaron
2025-02-07,OKC,,TOR,"W, 121-109",33:11,14,1,5,3,3,1,2,3,2,18,23,20,21,5,aaron
2025-02-08,OKC,@,MEM,"W, 125-112",38:04,18,8,13,0,0,2,9,11,2,26,39,28,37,13,aaron
2025-02-10,OKC,,NOP,"W, 137-101",24:31,13,4,7,2,2,0,2,2,0,24,26,24,26,2,aaron
2025-02-12,OKC,,MIA,"W, 115-101",28:02,14,1,6,0,0,1,4,5,2,11,18,13,16,7,aaron
2025-02-13,OKC,@,MIN,"L, 101-116",18:40,8,2,4,0,0,0,3,3,1,10,14,11,13,4,aaron
2025-02-21,OKC,@,UTA,"W, 130-107",21:38,7,2,4,4,4,1,2,3,5,12,20,17,15,8,aaron
2025-02-23,OKC,@,MIN,"W, 130-123",19:04,6,4,4,3,4,0,0,0,0,15,15,15,15,0,aaron
2025-02-24,OKC,,MIN,"L, 128-131 (OT)",29:14,16,1,6,2,2,3,4,7,0,19,26,19,26,7,aaron
2025-02-26,OKC,@,BRK,"W, 129-121",28:32,19,2,7,0,0,2,3,5,3,24,32,27,29,8,aaron
2025-02-28,OKC,@,ATL,"W, 135-119",25:52,10,3,5,0,0,3,3,6,2,13,21,15,19,8,aaron
2025-03-02,OKC,@,SAS,"W, 146-132",24:07,12,5,8,0,2,0,3,3,2,17,22,19,20,5,aaron
2025-03-03,OKC,,HOU,"W, 137-128",25:07,9,2,5,0,0,2,5,7,2,8,17,10,15,9,aaron
2025-03-05,OKC,@,MEM,"W, 120-103",30:23,9,3,4,1,2,0,1,1,3,16,20,19,17,4,aaron
2025-03-07,OKC,,POR,"W, 107-89",31:32,26,2,9,2,2,2,3,5,3,30,38,33,35,8,aaron
2025-03-09,OKC,,DEN,"W, 127-103",18:22,5,0,2,0,0,0,7,7,1,4,12,5,11,8,aaron
2025-03-10,OKC,,DEN,"L, 127-140",22:01,8,2,4,0,0,1,3,4,1,8,13,9,12,5,aaron
2025-03-12,OKC,@,BOS,"W, 118-112",20:23,9,0,4,0,0,1,2,3,1,0,4,1,3,4,aaron
2025-03-16,OKC,@,MIL,"W, 121-105",19:11,8,1,4,2,2,2,2,4,3,9,16,12,13,7,aaron
2025-03-19,OKC,,PHI,"W, 133-100",28:49,18,4,10,2,3,0,4,4,6,26,36,32,30,10,aaron
2025-03-21,OKC,,CHO,"W, 141-106",26:45,9,3,6,0,0,0,2,2,1,11,14,12,13,3,aaron
2025-03-23,OKC,@,LAC,"W, 103-101",25:55,17,3,8,0,0,1,2,3,1,19,23,20,22,4,aaron
2025-04-04,OKC,@,HOU,"L, 111-125",19:19,6,2,5,2,2,0,3,3,0,8,11,8,11,3,aaron
2025-04-06,OKC,,LAL,"L, 99-126",20:57,6,0,3,2,4,1,4,5,1,4,10,5,9,6,aaron
2025-04-08,OKC,,LAL,"W, 136-120",12:35,4,1,4,0,0,0,4,4,2,3,9,5,7,6,aaron
2025-04-09,OKC,@,PHO,"W, 125-112",33:03,16,1,3,0,0,2,3,5,3,17,25,20,22,8,aaron
2025-04-11,OKC,@,UTA,"W, 145-111",33:58,24,4,10,3,4,0,7,7,2,35,44,37,42,9,aaron
2025-04-13,OKC,@,NOP,"W, 115-100",36:30,18,2,6,10,10,2,5,7,7,28,42,35,35,14,aaron
