Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-24,OKC,@,DEN,"W, 102-87",23:02,7,0,1,0,0,2,2,4,0,4,8,4,8,4,cason
2024-10-26,OKC,@,CHI,"W, 114-95",29:18,11,0,4,1,1,1,5,6,2,9,17,11,15,8,cason
2024-10-27,OKC,,ATL,"W, 128-104",23:18,6,1,4,0,0,0,4,4,1,5,10,6,9,5,cason
2024-10-30,OKC,,SAS,"W, 105-93",29:08,9,1,3,0,0,1,0,1,2,9,12,11,10,3,cason
2024-11-01,OKC,@,POR,"W, 137-114",22:45,7,3,5,0,0,0,1,1,3,13,17,16,14,4,cason
2024-11-02,OKC,@,LAC,"W, 105-92",24:38,4,1,2,0,0,0,4,4,1,7,12,8,11,5,cason
2024-11-04,OKC,,ORL,"W, 102-86",26:59,6,0,1,0,0,0,4,4,1,4,9,5,8,5,cason
2024-11-06,OKC,@,DEN,"L, 122-124",20:16,8,0,3,0,0,0,2,2,2,4,8,6,6,4,cason
2024-11-08,OKC,,HOU,"W, 126-107",22:52,4,0,1,0,0,3,2,5,1,4,10,5,9,6,cason
2024-11-10,OKC,,GSW,"L, 116-127",30:18,10,2,2,2,2,1,1,2,0,16,18,16,18,2,cason
2024-11-11,OKC,,LAC,"W, 134-128",19:34,6,0,4,0,0,1,1,2,4,0,6,4,2,6,cason
2024-11-13,OKC,,NOP,"W, 106-88",27:53,7,1,4,0,0,0,4,4,1,5,10,6,9,5,cason
2024-11-15,OKC,,PHO,"W, 99-83",26:57,3,1,1,0,0,0,4,4,3,5,12,8,9,7,cason
2024-11-17,OKC,,DAL,"L, 119-121",24:54,8,0,5,0,0,0,2,2,1,4,7,5,6,3,cason
2024-11-19,OKC,@,SAS,"L, 104-110",33:42,8,3,5,0,0,1,2,3,7,13,23,20,16,10,cason
2024-11-20,OKC,,POR,"W, 109-99",26:18,3,0,3,0,0,2,2,4,2,0,6,2,4,6,cason
2024-11-25,OKC,@,SAC,"W, 130-109",14:33,4,0,1,0,0,1,0,1,0,4,5,4,5,1,cason
2024-11-27,OKC,@,GSW,"W, 105-101",32:31,5,1,2,0,0,3,1,4,6,9,19,15,13,10,cason
2024-11-29,OKC,@,LAL,"W, 101-93",31:08,5,0,3,0,0,5,0,5,2,2,9,4,7,7,cason
2024-12-01,OKC,@,HOU,"L, 116-119",35:39,11,3,6,1,2,5,4,9,2,14,25,16,23,11,cason
2024-12-03,OKC,,UTA,"W, 133-106",28:31,9,1,2,1,1,0,0,0,4,12,16,16,12,4,cason
2024-12-05,OKC,@,TOR,"W, 129-92",22:54,7,2,5,1,1,1,0,1,2,9,12,11,10,3,cason
2024-12-07,OKC,@,NOP,"W, 119-109",27:21,6,1,4,0,0,1,6,7,2,5,14,7,12,9,cason
2024-12-10,OKC,,DAL,"W, 118-104",30:49,10,3,9,0,0,4,4,8,4,11,23,15,19,12,cason
2024-12-14,OKC,,HOU,"W, 111-96",32:01,6,1,4,0,0,1,5,6,2,5,13,7,11,8,cason
2024-12-19,OKC,@,ORL,"W, 105-99",20:51,3,1,2,0,0,0,1,1,0,5,6,5,6,1,cason
