Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-24,OKC,@,DEN,"W, 102-87",35:47,18,0,5,3,5,4,10,14,5,25,44,30,39,19,chet
2024-10-26,OKC,@,CHI,"W, 114-95",28:46,18,0,5,5,8,3,13,16,0,21,37,21,37,16,chet
2024-10-27,OKC,,ATL,"W, 128-104",33:17,12,3,5,6,8,2,7,9,4,25,38,29,34,13,chet
2024-10-30,OKC,,SAS,"W, 105-93",27:49,10,3,3,2,2,0,5,5,2,19,26,21,24,7,chet
2024-11-01,OKC,@,POR,"W, 137-114",18:23,3,0,2,4,4,0,1,1,3,6,10,9,7,4,chet
2024-11-02,OKC,@,LAC,"W, 105-92",29:21,9,1,4,3,4,1,13,14,4,10,28,14,24,18,chet
2024-11-04,OKC,,ORL,"W, 102-86",21:30,10,1,2,3,5,2,7,9,1,14,24,15,23,10,chet
2024-11-06,OKC,@,DEN,"L, 122-124",35:33,14,2,3,3,3,3,7,10,0,15,25,15,25,10,chet
2024-11-08,OKC,,HOU,"W, 126-107",29:09,14,4,6,9,10,1,4,5,1,29,35,30,34,6,chet
2024-11-10,OKC,,GSW,"L, 116-127",05:10,3,0,2,0,0,0,4,4,0,0,4,0,4,4,chet
2025-02-07,OKC,,TOR,"W, 121-109",22:02,5,0,1,0,0,0,5,5,1,4,10,5,9,6,chet
2025-02-10,OKC,,NOP,"W, 137-101",24:54,10,2,5,2,4,0,6,6,0,12,18,12,18,6,chet
2025-02-13,OKC,@,MIN,"L, 101-116",30:05,7,1,2,4,6,4,8,12,2,11,25,13,23,14,chet
2025-02-21,OKC,@,UTA,"W, 130-107",27:53,15,1,4,5,6,4,3,7,1,20,28,21,27,8,chet
2025-02-23,OKC,@,MIN,"W, 130-123",27:37,11,3,4,0,0,1,3,4,1,19,24,20,23,5,chet
2025-02-26,OKC,@,BRK,"W, 129-121",32:03,12,2,4,6,7,4,13,17,4,22,43,26,39,21,chet
2025-02-28,OKC,@,ATL,"W, 135-119",14:50,8,0,4,1,2,0,4,4,3,7,14,10,11,7,chet
2025-03-03,OKC,,HOU,"W, 137-128",30:03,11,0,3,3,4,3,8,11,3,11,25,14,22,14,chet
2025-03-09,OKC,,DEN,"W, 127-103",25:52,10,1,2,1,1,2,6,8,1,14,23,15,22,9,chet
2025-03-10,OKC,,DEN,"L, 127-140",28:51,11,0,5,2,3,0,4,4,1,8,13,9,12,5,chet
2025-03-12,OKC,@,BOS,"W, 118-112",33:43,14,3,6,4,7,4,11,15,2,23,40,25,38,17,chet
2025-03-16,OKC,@,MIL,"W, 121-105",35:28,9,2,4,2,4,1,7,8,3,16,27,19,24,11,chet
2025-03-19,OKC,,PHI,"W, 133-100",23:23,11,2,4,5,6,1,6,7,1,19,27,20,26,8,chet
2025-03-21,OKC,,CHO,"W, 141-106",27:38,12,1,2,1,4,1,4,5,1,14,20,15,19,6,chet
2025-03-25,OKC,@,SAC,"W, 121-105",33:17,14,1,2,3,4,1,9,10,2,18,30,20,28,12,chet
2025-03-27,OKC,,MEM,"W, 125-104",24:52,9,0,4,0,0,0,9,9,2,4,15,6,13,11,chet
2025-03-31,OKC,,CHI,"W, 145-117",25:31,7,1,2,0,0,0,6,6,3,5,14,8,11,9,chet
2025-04-02,OKC,,DET,"W, 119-103",32:55,14,0,5,8,9,3,8,11,4,22,37,26,33,15,chet
2025-04-04,OKC,@,HOU,"L, 111-125",31:18,10,6,8,2,2,0,4,4,1,20,25,21,24,5,chet
2025-04-06,OKC,,LAL,"L, 99-126",24:40,6,2,3,0,0,0,3,3,1,10,14,11,13,4,chet
2025-04-08,OKC,,LAL,"W, 136-120",25:00,12,2,3,2,3,2,2,4,2,14,20,16,18,6,chet
2025-04-09,OKC,@,PHO,"W, 125-112",29:51,12,0,2,12,13,1,9,10,4,22,36,26,32,14,chet
