Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-11-20,OKC,,POR,"W, 109-99",28:33,12,0,0,1,2,5,9,14,3,13,30,16,27,17,isaiah
2024-11-25,OKC,@,SAC,"W, 130-109",31:30,15,0,0,1,1,3,7,10,4,19,33,23,29,14,isaiah
2024-11-27,OKC,@,GSW,"W, 105-101",30:48,8,0,0,4,6,1,13,14,3,14,31,17,28,17,isaiah
2024-11-29,OKC,@,LAL,"W, 101-93",36:52,7,0,0,3,4,3,15,18,5,11,34,16,29,23,isaiah
2024-12-01,OKC,@,HOU,"L, 116-119",30:02,12,0,1,1,3,2,11,13,4,19,36,23,32,17,isaiah
2024-12-03,OKC,,UTA,"W, 133-106",22:13,7,0,1,0,0,2,3,5,6,4,15,10,9,11,isaiah
2024-12-05,OKC,@,TOR,"W, 129-92",27:51,3,0,1,0,2,3,13,16,6,2,24,8,18,22,isaiah
2024-12-07,OKC,@,NOP,"W, 119-109",29:08,8,0,0,2,2,6,6,12,5,12,29,17,24,17,isaiah
2024-12-10,OKC,,DAL,"W, 118-104",30:18,11,0,1,0,1,5,8,13,3,10,26,13,23,16,isaiah
2024-12-14,OKC,,HOU,"W, 111-96",33:18,12,0,0,3,4,1,7,8,2,21,31,23,29,10,isaiah
2024-12-19,OKC,@,ORL,"W, 105-99",33:13,9,0,0,2,2,2,10,12,4,12,28,16,24,16,isaiah
2024-12-20,OKC,@,MIA,"W, 104-97",33:50,6,0,0,5,8,5,13,18,2,13,33,15,31,20,isaiah
2024-12-23,OKC,,WAS,"W, 123-105",27:06,12,0,0,2,2,3,8,11,3,16,30,19,27,14,isaiah
2024-12-26,OKC,@,IND,"W, 120-114",34:28,6,0,0,5,8,2,11,13,1,11,25,12,24,14,isaiah
2024-12-28,OKC,@,CHO,"W, 106-94",25:28,7,0,0,0,0,1,14,15,4,12,31,16,27,19,isaiah
2024-12-29,OKC,,MEM,"W, 130-106",25:13,13,0,2,0,0,2,7,9,6,12,27,18,21,15,isaiah
2024-12-31,OKC,,MIN,"W, 113-105",32:00,10,0,1,5,5,3,7,10,4,15,29,19,25,14,isaiah
2025-01-02,OKC,,LAC,"W, 116-98",23:29,9,0,1,1,1,0,9,9,6,11,26,17,20,15,isaiah
2025-01-03,OKC,,NYK,"W, 117-107",31:09,4,0,0,0,2,2,12,14,7,4,25,11,18,21,isaiah
2025-01-05,OKC,,BOS,"W, 105-92",35:08,9,0,1,0,1,2,8,10,2,8,20,10,18,12,isaiah
2025-01-08,OKC,@,CLE,"L, 122-129",30:35,14,0,1,2,2,5,6,11,8,18,37,26,29,19,isaiah
2025-01-10,OKC,@,NYK,"W, 126-101",29:58,6,0,0,2,2,1,8,9,6,6,21,12,15,15,isaiah
2025-01-12,OKC,@,WAS,"W, 136-95",21:40,7,0,0,2,2,6,6,12,2,10,24,12,22,14,isaiah
2025-01-14,OKC,@,PHI,"W, 118-102",30:45,7,0,1,1,2,3,13,16,3,9,28,12,25,19,isaiah
2025-01-26,OKC,@,POR,"W, 118-108",32:40,6,0,0,4,9,5,7,12,6,14,32,20,26,18,isaiah
2025-01-29,OKC,@,GSW,"L, 109-116",30:58,10,0,1,0,0,6,12,18,6,4,28,10,22,24,isaiah
2025-02-01,OKC,,SAC,"W, 144-110",26:40,12,0,0,0,0,3,12,15,6,16,37,22,31,21,isaiah
2025-02-03,OKC,,MIL,"W, 125-96",18:29,7,0,1,0,0,3,9,12,3,6,21,9,18,15,isaiah
