Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-24,OKC,@,DEN,"W, 102-87",28:35,7,0,2,1,1,1,1,2,0,5,7,5,7,2,luguentz
2024-10-26,OKC,@,CHI,"W, 114-95",24:44,5,1,3,2,2,0,2,2,1,7,10,8,9,3,luguentz
2024-10-27,OKC,,ATL,"W, 128-104",28:50,7,4,6,2,2,1,1,2,1,16,19,17,18,3,luguentz
2024-10-30,OKC,,SAS,"W, 105-93",25:05,9,6,8,0,0,3,3,6,1,20,27,21,26,7,luguentz
2024-11-01,OKC,@,POR,"W, 137-114",25:28,9,1,4,1,1,1,4,5,2,8,15,10,13,7,luguentz
2024-11-02,OKC,@,LAC,"W, 105-92",29:44,12,1,4,3,4,1,3,4,3,16,23,19,20,7,luguentz
2024-11-04,OKC,,ORL,"W, 102-86",27:54,6,2,4,0,0,1,2,3,1,6,10,7,9,4,luguentz
2024-11-06,OKC,@,DEN,"L, 122-124",25:40,6,3,5,2,2,0,6,6,3,11,20,14,17,9,luguentz
2024-11-08,OKC,,HOU,"W, 126-107",18:59,7,1,5,0,0,0,0,0,1,3,4,4,3,1,luguentz
2024-11-10,OKC,,GSW,"L, 116-127",29:38,11,3,8,1,1,1,5,6,3,16,25,19,22,9,luguentz
2024-11-11,OKC,,LAC,"W, 134-128",35:10,14,4,8,1,1,0,2,2,1,19,22,20,21,3,luguentz
2024-11-13,OKC,,NOP,"W, 106-88",32:09,6,3,5,2,4,0,3,3,1,11,15,12,14,4,luguentz
2024-11-15,OKC,,PHO,"W, 99-83",31:36,11,2,7,3,3,3,6,9,2,15,26,17,24,11,luguentz
2024-11-17,OKC,,DAL,"L, 119-121",35:37,10,4,9,4,6,2,3,5,3,18,26,21,23,8,luguentz
2024-11-19,OKC,@,SAS,"L, 104-110",32:27,12,2,8,0,0,6,6,12,2,6,20,8,18,14,luguentz
2024-11-20,OKC,,POR,"W, 109-99",29:49,7,0,6,2,2,1,4,5,2,2,9,4,7,7,luguentz
2024-11-25,OKC,@,SAC,"W, 130-109",39:27,2,0,0,0,0,2,8,10,2,0,12,2,10,12,luguentz
2024-11-27,OKC,@,GSW,"W, 105-101",31:52,5,0,3,0,0,2,3,5,2,2,9,4,7,7,luguentz
2024-11-29,OKC,@,LAL,"W, 101-93",24:08,8,4,5,0,0,2,0,2,2,14,18,16,16,4,luguentz
2024-12-01,OKC,@,HOU,"L, 116-119",26:54,6,2,5,0,0,1,2,3,6,6,15,12,9,9,luguentz
2024-12-03,OKC,,UTA,"W, 133-106",30:07,6,1,5,0,0,1,1,2,1,5,8,6,7,3,luguentz
2024-12-05,OKC,@,TOR,"W, 129-92",27:55,12,0,6,0,0,2,4,6,1,6,13,7,12,7,luguentz
2024-12-07,OKC,@,NOP,"W, 119-109",31:20,10,4,7,0,0,2,3,5,1,14,20,15,19,6,luguentz
2024-12-10,OKC,,DAL,"W, 118-104",31:39,10,3,7,0,0,3,3,6,2,11,19,13,17,8,luguentz
2024-12-14,OKC,,HOU,"W, 111-96",31:16,11,5,9,4,6,2,7,9,1,19,29,20,28,10,luguentz
2024-12-19,OKC,@,ORL,"W, 105-99",26:28,5,0,4,0,0,1,3,4,1,2,7,3,6,5,luguentz
2024-12-20,OKC,@,MIA,"W, 104-97",32:20,7,4,5,0,0,1,0,1,0,14,15,14,15,1,luguentz
2024-12-23,OKC,,WAS,"W, 123-105",24:34,6,0,5,0,0,2,0,2,1,0,3,1,2,3,luguentz
2024-12-26,OKC,@,IND,"W, 120-114",34:32,13,3,8,0,0,3,4,7,0,13,20,13,20,7,luguentz
2024-12-29,OKC,,MEM,"W, 130-106",26:26,6,1,5,0,0,1,3,4,2,3,9,5,7,6,luguentz
2024-12-31,OKC,,MIN,"W, 113-105",34:36,12,4,7,0,0,2,4,6,2,14,22,16,20,8,luguentz
2025-01-02,OKC,,LAC,"W, 116-98",23:24,7,3,7,0,0,0,1,1,0,9,10,9,10,1,luguentz
2025-01-03,OKC,,NYK,"W, 117-107",32:31,7,3,5,0,0,0,2,2,1,11,14,12,13,3,luguentz
2025-01-05,OKC,,BOS,"W, 105-92",38:49,14,4,9,0,0,2,4,6,1,14,21,15,20,7,luguentz
