Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-24,OKC,@,DEN,"W, 102-87",36:12,24,2,6,4,5,2,5,7,8,28,43,36,35,15,shai
2024-10-26,OKC,@,CHI,"W, 114-95",29:30,21,2,9,3,3,2,6,8,2,23,33,25,31,10,shai
2024-10-27,OKC,,ATL,"W, 128-104",36:01,24,3,8,10,11,2,9,11,9,35,55,44,46,20,shai
2024-10-30,OKC,,SAS,"W, 105-93",27:35,20,2,10,2,2,0,4,4,5,18,27,23,22,9,shai
2024-11-01,OKC,@,POR,"W, 137-114",28:23,18,1,6,5,6,1,6,7,6,30,43,36,37,13,shai
2024-11-02,OKC,@,LAC,"W, 105-92",31:20,14,2,4,9,9,0,3,3,9,25,37,34,28,12,shai
2024-11-04,OKC,,ORL,"W, 102-86",35:04,16,1,3,4,4,0,6,6,9,21,36,30,27,15,shai
2024-11-06,OKC,@,DEN,"L, 122-124",38:49,19,0,3,8,10,0,2,2,6,28,36,34,30,8,shai
2024-11-08,OKC,,HOU,"W, 126-107",29:02,16,1,2,6,7,1,4,5,4,29,38,33,34,9,shai
2024-11-10,OKC,,GSW,"L, 116-127",33:44,17,0,2,12,14,1,4,5,4,24,33,28,29,9,shai
2024-11-11,OKC,,LAC,"W, 134-128",39:21,21,4,8,15,16,0,3,3,9,45,57,54,48,12,shai
2024-11-13,OKC,,NOP,"W, 106-88",32:37,25,3,7,2,3,0,5,5,5,29,39,34,34,10,shai
2024-11-15,OKC,,PHO,"W, 99-83",32:56,25,2,7,4,4,3,3,6,4,28,38,32,34,10,shai
2024-11-17,OKC,,DAL,"L, 119-121",38:28,19,1,1,9,11,0,2,2,8,36,46,44,38,10,shai
2024-11-19,OKC,@,SAS,"L, 104-110",37:16,20,5,8,5,6,0,3,3,8,32,43,40,35,11,shai
2024-11-20,OKC,,POR,"W, 109-99",38:42,19,0,2,14,14,2,3,5,4,28,37,32,33,9,shai
2024-11-25,OKC,@,SAC,"W, 130-109",34:38,20,4,7,7,11,0,4,4,11,37,52,48,41,15,shai
2024-11-27,OKC,@,GSW,"W, 105-101",38:36,28,3,12,6,10,0,9,9,5,35,49,40,44,14,shai
2024-11-29,OKC,@,LAL,"W, 101-93",36:59,28,3,10,7,8,3,3,6,9,36,51,45,42,15,shai
2024-12-01,OKC,@,HOU,"L, 116-119",36:07,19,3,7,9,11,2,6,8,5,32,45,37,40,13,shai
2024-12-03,OKC,,UTA,"W, 133-106",30:07,19,2,6,2,2,1,5,6,7,26,39,33,32,13,shai
2024-12-05,OKC,@,TOR,"W, 129-92",29:38,22,1,10,7,8,0,4,4,5,30,39,35,34,9,shai
2024-12-07,OKC,@,NOP,"W, 119-109",34:28,18,1,3,10,12,0,2,2,4,31,37,35,33,6,shai
2024-12-10,OKC,,DAL,"W, 118-104",37:51,23,5,9,4,4,0,8,8,5,39,52,44,47,13,shai
2024-12-14,OKC,,HOU,"W, 111-96",37:37,21,2,6,14,15,0,8,8,6,32,46,38,40,14,shai
2024-12-19,OKC,@,ORL,"W, 105-99",36:25,26,1,5,4,4,0,4,4,6,35,45,41,39,10,shai
2024-12-20,OKC,@,MIA,"W, 104-97",37:34,25,3,9,2,2,2,5,7,4,25,36,29,32,11,shai
2024-12-23,OKC,,WAS,"W, 123-105",35:23,25,3,6,10,10,3,6,9,3,41,53,44,50,12,shai
2024-12-26,OKC,@,IND,"W, 120-114",37:59,22,4,5,11,11,0,7,7,8,45,60,53,52,15,shai
2024-12-28,OKC,@,CHO,"W, 106-94",33:00,15,1,6,5,6,1,3,4,6,22,32,28,26,10,shai
2024-12-29,OKC,,MEM,"W, 130-106",28:04,19,1,5,6,6,0,6,6,7,35,48,42,41,13,shai
2024-12-31,OKC,,MIN,"W, 113-105",34:20,23,3,5,7,9,1,2,3,2,40,45,42,43,5,shai
2025-01-02,OKC,,LAC,"W, 116-98",30:07,17,2,5,9,9,0,3,3,8,29,40,37,32,11,shai
2025-01-03,OKC,,NYK,"W, 117-107",36:41,26,2,3,7,7,1,3,4,7,33,44,40,37,11,shai
2025-01-05,OKC,,BOS,"W, 105-92",38:52,23,3,6,8,8,2,9,11,6,33,50,39,44,17,shai
2025-01-08,OKC,@,CLE,"L, 122-129",38:15,27,1,6,4,4,1,4,5,4,31,40,35,36,9,shai
2025-01-10,OKC,@,NYK,"W, 126-101",29:22,21,1,1,8,8,0,3,3,2,39,44,41,42,5,shai
2025-01-12,OKC,@,WAS,"W, 136-95",30:08,17,1,4,16,17,1,6,7,4,27,38,31,34,11,shai
2025-01-14,OKC,@,PHI,"W, 118-102",33:11,15,1,3,7,8,1,2,3,9,32,44,41,35,12,shai
2025-01-16,OKC,,CLE,"W, 134-114",29:14,26,1,5,5,5,0,3,3,8,40,51,48,43,11,shai
2025-01-19,OKC,,BRK,"W, 127-101",28:53,14,1,4,10,10,1,2,3,10,27,40,37,30,13,shai
2025-01-22,OKC,,UTA,"W, 123-114",37:28,35,3,10,17,18,3,5,8,5,54,67,59,62,13,shai
2025-01-23,OKC,,DAL,"L, 115-121",39:48,25,1,3,6,6,1,0,1,7,31,39,38,32,8,shai
2025-01-26,OKC,@,POR,"W, 118-108",37:00,25,2,4,9,9,1,4,5,1,35,41,36,40,6,shai
2025-01-29,OKC,@,GSW,"L, 109-116",39:06,29,2,6,18,21,0,3,3,4,52,59,56,55,7,shai
2025-02-01,OKC,,SAC,"W, 144-110",30:09,20,1,6,8,10,3,3,6,9,29,44,38,35,15,shai
2025-02-03,OKC,,MIL,"W, 125-96",22:24,19,2,3,2,3,0,3,3,6,34,43,40,37,9,shai
2025-02-05,OKC,,PHO,"W, 140-109",34:15,29,3,7,11,12,2,6,8,5,50,63,55,58,13,shai
2025-02-07,OKC,,TOR,"W, 121-109",29:08,12,1,6,14,14,1,3,4,6,25,35,31,29,10,shai
2025-02-08,OKC,@,MEM,"W, 125-112",33:54,26,3,5,13,16,0,0,0,8,32,40,40,32,8,shai
2025-02-10,OKC,,NOP,"W, 137-101",30:33,20,4,9,7,8,0,1,1,2,31,34,33,32,3,shai
2025-02-12,OKC,,MIA,"W, 115-101",38:12,22,4,9,6,9,1,4,5,9,32,46,41,37,14,shai
2025-02-13,OKC,@,MIN,"L, 101-116",33:40,21,1,2,11,11,2,6,8,9,24,41,33,32,17,shai
2025-02-21,OKC,@,UTA,"W, 130-107",31:58,16,1,4,6,6,0,2,2,8,21,31,29,23,10,shai
2025-02-23,OKC,@,MIN,"W, 130-123",38:07,24,3,6,8,11,0,8,8,8,37,53,45,45,16,shai
2025-02-24,OKC,,MIN,"L, 128-131 (OT)",42:27,20,3,5,14,17,1,9,10,8,39,57,47,49,18,shai
2025-02-26,OKC,@,BRK,"W, 129-121",33:30,11,1,2,12,13,2,4,6,5,27,38,32,33,11,shai
2025-02-28,OKC,@,ATL,"W, 135-119",34:25,23,3,7,4,4,0,3,3,5,31,39,36,34,8,shai
2025-03-02,OKC,@,SAS,"W, 146-132",31:48,19,3,5,8,9,2,2,4,8,31,43,39,35,12,shai
2025-03-03,OKC,,HOU,"W, 137-128",35:38,30,5,9,10,10,2,3,5,7,51,63,58,56,12,shai
2025-03-05,OKC,@,MEM,"W, 120-103",34:43,25,3,5,10,10,0,2,2,8,41,51,49,43,10,shai
2025-03-09,OKC,,DEN,"W, 127-103",35:25,32,2,11,8,8,2,6,8,5,40,53,45,48,13,shai
2025-03-10,OKC,,DEN,"L, 127-140",36:13,14,3,7,6,6,1,2,3,7,25,35,32,28,10,shai
2025-03-12,OKC,@,BOS,"W, 118-112",38:35,20,2,7,10,11,1,4,5,7,34,46,41,39,12,shai
2025-03-15,OKC,@,DET,"W, 113-107",37:55,26,4,6,10,10,0,4,4,6,48,58,54,52,10,shai
2025-03-16,OKC,@,MIL,"W, 121-105",33:35,27,0,5,9,11,1,1,2,8,31,41,39,33,10,shai
2025-03-21,OKC,,CHO,"W, 141-106",29:36,18,2,2,2,2,0,6,6,9,30,45,39,36,15,shai
2025-03-23,OKC,@,LAC,"W, 103-101",37:19,29,1,7,11,11,0,3,3,8,26,37,34,29,11,shai
2025-03-25,OKC,@,SAC,"W, 121-105",32:56,23,3,6,9,10,0,8,8,5,32,45,37,40,13,shai
