Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,ORL,@,MIA,"W, 116-97",27:54,9,1,2,1,3,4,2,6,4,10,20,14,16,10,anthony
2024-10-25,ORL,,BRK,"W, 116-101",26:02,6,1,1,1,2,0,3,3,5,10,18,15,13,8,anthony
2024-10-26,ORL,@,MEM,"L, 111-124",20:23,8,0,1,2,2,0,1,1,3,10,14,13,11,4,anthony
2024-10-28,ORL,,IND,"W, 119-115",30:42,6,2,3,2,2,0,3,3,3,8,14,11,11,6,anthony
2024-10-30,ORL,@,CHI,"L, 99-102",23:12,5,0,2,2,2,1,2,3,6,4,13,10,7,9,anthony
2024-11-01,ORL,@,CLE,"L, 109-120",27:30,8,1,3,0,0,0,2,2,6,7,15,13,9,8,anthony
2024-11-03,ORL,@,DAL,"L, 85-108",20:43,2,0,0,0,0,2,2,4,2,2,8,4,6,6,anthony
2024-11-04,ORL,@,OKC,"L, 86-102",20:37,8,0,5,1,2,1,2,3,2,3,8,5,6,5,anthony
2024-11-06,ORL,@,IND,"L, 111-118",26:59,7,0,1,4,6,0,0,0,6,12,18,18,12,6,anthony
2024-11-08,ORL,,NOP,"W, 115-88",24:16,6,0,0,3,4,1,2,3,4,11,18,15,14,7,anthony
2024-11-10,ORL,,WAS,"W, 121-94",22:17,6,2,3,2,2,1,1,2,4,12,18,16,14,6,anthony
2024-11-12,ORL,,CHO,"W, 114-89",24:35,12,1,8,1,2,0,5,5,3,8,16,11,13,8,anthony
2024-11-13,ORL,,IND,"W, 94-90",24:45,5,0,1,2,2,0,4,4,6,6,16,12,10,10,anthony
2024-11-15,ORL,,PHI,"W, 98-86",19:40,6,0,1,0,0,0,1,1,1,4,6,5,5,2,anthony
2024-11-18,ORL,@,PHO,"W, 109-99",32:44,10,3,5,7,8,0,4,4,9,20,33,29,24,13,anthony
2024-11-20,ORL,@,LAC,"L, 93-104",29:20,10,2,5,5,9,0,0,0,8,17,25,25,17,8,anthony
2024-11-21,ORL,@,LAL,"W, 119-118",22:13,8,0,3,0,0,1,3,4,5,4,13,9,8,9,anthony
2024-11-23,ORL,,DET,"W, 111-100",31:57,8,1,3,4,4,0,1,1,5,11,17,16,12,6,anthony
2024-11-25,ORL,@,CHO,"W, 95-84",22:21,13,2,9,2,2,0,3,3,1,10,14,11,13,4,anthony
2024-11-27,ORL,,CHI,"W, 133-119",15:18,4,0,0,0,0,0,3,3,3,4,10,7,7,6,anthony
2024-11-29,ORL,@,BRK,"W, 123-100",16:04,2,0,0,3,4,0,1,1,1,5,7,6,6,2,anthony
2024-12-01,ORL,@,BRK,"W, 100-92",20:00,2,0,0,1,3,0,4,4,1,5,10,6,9,5,anthony
2024-12-03,ORL,@,NYK,"L, 106-121",20:19,4,0,1,0,0,0,1,1,3,6,10,9,7,4,anthony
2024-12-04,ORL,@,PHI,"W, 106-102",29:52,10,0,2,0,0,2,3,5,7,10,22,17,15,12,anthony
2024-12-06,ORL,@,PHI,"L, 94-102",17:35,5,0,3,0,0,0,2,2,0,0,2,0,2,2,anthony
2024-12-08,ORL,,PHO,"W, 115-110",25:35,8,0,3,0,1,0,3,3,2,8,13,10,11,5,anthony
2024-12-10,ORL,@,MIL,"L, 109-114",32:15,12,0,0,5,8,2,4,6,3,17,26,20,23,9,anthony
2024-12-15,ORL,,NYK,"L, 91-100",19:36,7,0,1,2,2,0,1,1,3,4,8,7,5,4,anthony
2024-12-19,ORL,,OKC,"L, 99-105",30:49,14,3,6,4,5,0,1,1,3,23,27,26,24,4,anthony
2024-12-21,ORL,,MIA,"W, 121-114",18:28,7,1,2,1,1,0,1,1,2,10,13,12,11,3,anthony
2024-12-23,ORL,,BOS,"W, 108-104",23:04,5,1,2,4,4,1,3,4,3,9,16,12,13,7,anthony
2024-12-26,ORL,,MIA,"L, 88-89",13:59,6,0,2,0,0,1,1,2,1,2,5,3,4,3,anthony
2024-12-27,ORL,,NYK,"L, 85-108",30:16,9,0,1,5,5,2,1,3,2,9,14,11,12,5,anthony
2025-01-06,ORL,@,NYK,"W, 103-94",26:09,5,0,0,7,8,0,1,1,5,9,15,14,10,6,anthony
2025-01-09,ORL,,MIN,"L, 89-104",10:20,5,0,2,1,2,0,0,0,1,3,4,4,3,1,anthony
2025-01-10,ORL,,MIL,"L, 106-109",20:11,11,1,4,2,2,1,1,2,2,15,19,17,17,4,anthony
2025-01-12,ORL,,PHI,"W, 104-99",37:26,18,0,2,3,6,1,5,6,6,17,29,23,23,12,anthony
2025-01-15,ORL,@,MIL,"L, 93-122",30:10,8,0,2,4,7,0,0,0,4,10,14,14,10,4,anthony
