Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,ORL,@,MIA,"W, 116-97",23:06,16,3,6,0,0,1,3,4,4,23,31,27,27,8,franz
2024-10-25,ORL,,BRK,"W, 116-101",38:54,19,3,6,6,6,2,4,6,5,29,40,34,35,11,franz
2024-10-26,ORL,@,MEM,"L, 111-124",34:20,16,4,10,5,6,1,6,7,3,23,33,26,30,10,franz
2024-10-28,ORL,,IND,"W, 119-115",10:53,5,1,3,0,0,0,1,1,1,7,9,8,8,2,franz
2024-10-30,ORL,@,CHI,"L, 99-102",22:35,8,0,3,1,1,1,2,3,4,7,14,11,10,7,franz
2024-11-01,ORL,@,CLE,"L, 109-120",30:04,19,0,2,1,3,2,6,8,6,17,31,23,25,14,franz
2024-11-03,ORL,@,DAL,"L, 85-108",25:11,15,1,2,0,0,1,5,6,6,13,25,19,19,12,franz
2024-11-04,ORL,@,OKC,"L, 86-102",34:09,17,1,4,5,6,2,2,4,2,22,28,24,26,6,franz
2024-11-06,ORL,@,IND,"L, 111-118",39:22,23,2,7,6,8,1,7,8,6,28,42,34,36,14,franz
2024-11-08,ORL,,NOP,"W, 115-88",32:26,18,2,5,7,8,2,3,5,6,27,38,33,32,11,franz
2024-11-10,ORL,,WAS,"W, 121-94",28:39,20,1,5,4,4,0,4,4,7,23,34,30,27,11,franz
2024-11-12,ORL,,CHO,"W, 114-89",31:58,25,2,9,2,3,1,7,8,5,32,45,37,40,13,franz
2024-11-13,ORL,,IND,"W, 94-90",36:46,24,3,8,8,9,0,3,3,6,29,38,35,32,9,franz
2024-11-15,ORL,,PHI,"W, 98-86",40:43,23,5,11,6,6,1,10,11,6,31,48,37,42,17,franz
2024-11-18,ORL,@,PHO,"W, 109-99",39:12,24,4,8,4,5,0,5,5,8,32,45,40,37,13,franz
2024-11-20,ORL,@,LAC,"L, 93-104",34:54,11,0,4,4,4,0,6,6,6,14,26,20,20,12,franz
2024-11-21,ORL,@,LAL,"W, 119-118",38:43,26,4,10,7,8,0,6,6,11,37,54,48,43,17,franz
2024-11-23,ORL,,DET,"W, 111-100",29:12,22,4,9,4,4,3,6,9,8,30,47,38,39,17,franz
2024-11-25,ORL,@,CHO,"W, 95-84",40:11,17,2,6,3,6,0,1,1,7,21,29,28,22,8,franz
2024-11-27,ORL,,CHI,"W, 133-119",31:03,20,1,6,6,6,1,2,3,6,21,30,27,24,9,franz
2024-11-29,ORL,@,BRK,"W, 123-100",35:10,20,3,6,2,2,1,7,8,8,29,45,37,37,16,franz
2024-12-01,ORL,@,BRK,"W, 100-92",37:58,17,0,6,12,14,1,8,9,8,20,37,28,29,17,franz
2024-12-03,ORL,@,NYK,"L, 106-121",38:54,22,1,5,9,9,0,3,3,6,30,39,36,33,9,franz
2024-12-04,ORL,@,PHI,"W, 106-102",36:17,23,1,6,10,10,2,5,7,2,35,44,37,42,9,franz
2024-12-06,ORL,@,PHI,"L, 94-102",38:16,23,3,12,7,7,0,5,5,5,30,40,35,35,10,franz
2025-01-23,ORL,,POR,"L, 79-101",24:27,19,0,3,2,3,0,4,4,0,20,24,20,24,4,franz
2025-01-25,ORL,,DET,"W, 121-113",30:10,22,4,8,8,8,1,3,4,7,32,43,39,36,11,franz
2025-01-27,ORL,@,MIA,"L, 119-125 (2OT)",39:50,25,2,10,7,10,0,8,8,3,29,40,32,37,11,franz
2025-01-30,ORL,@,POR,"L, 90-119",31:27,17,1,5,7,8,2,1,3,3,24,30,27,27,6,franz
2025-02-01,ORL,@,UTA,"L, 99-113",33:54,21,3,11,18,20,1,5,6,1,37,44,38,43,7,franz
2025-02-03,ORL,@,GSW,"L, 99-104",36:47,19,1,5,2,3,1,2,3,5,21,29,26,24,8,franz
2025-02-05,ORL,@,SAC,"W, 130-111",26:47,22,5,6,2,2,1,4,5,3,31,39,34,36,8,franz
2025-02-06,ORL,@,DEN,"L, 90-112",29:31,17,0,3,2,2,2,2,4,4,14,22,18,18,8,franz
2025-02-08,ORL,,SAS,"W, 112-111",38:06,28,2,7,3,6,3,9,12,5,33,50,38,45,17,franz
2025-02-10,ORL,,ATL,"L, 106-112",37:41,29,3,8,4,4,1,6,7,3,37,47,40,44,10,franz
2025-02-12,ORL,,CHO,"W, 102-86",31:46,11,0,2,4,5,1,6,7,2,16,25,18,23,9,franz
2025-02-20,ORL,@,ATL,"W, 114-108",33:06,18,0,3,7,11,1,6,7,5,25,37,30,32,12,franz
2025-02-21,ORL,,MEM,"L, 104-105",38:08,19,2,7,5,6,1,5,6,3,25,34,28,31,9,franz
2025-02-23,ORL,,WAS,"W, 110-90",30:36,22,1,7,0,0,2,5,7,5,23,35,28,30,12,franz
2025-02-25,ORL,,CLE,"L, 82-122",34:30,21,1,3,0,0,1,4,5,4,19,28,23,24,9,franz
2025-02-27,ORL,,GSW,"L, 115-121",38:50,22,1,4,4,5,0,2,2,4,27,33,31,29,6,franz
2025-03-02,ORL,,TOR,"L, 102-104",37:11,17,1,4,6,6,1,3,4,1,25,30,26,29,5,franz
2025-03-04,ORL,,TOR,"L, 113-114",35:52,23,3,7,3,4,0,5,5,1,28,34,29,33,6,franz
2025-03-06,ORL,,CHI,"L, 123-125",37:57,17,0,3,6,7,1,1,2,6,18,26,24,20,8,franz
2025-03-08,ORL,@,MIL,"W, 111-109",37:55,17,1,4,1,1,1,6,7,5,18,30,23,25,12,franz
2025-03-10,ORL,@,HOU,"L, 84-97",33:57,17,0,2,3,4,1,6,7,5,15,27,20,22,12,franz
2025-03-13,ORL,@,NOP,"W, 113-93",35:27,17,1,2,4,4,0,6,6,5,27,38,32,33,11,franz
2025-03-14,ORL,@,MIN,"L, 111-118",34:05,16,0,2,8,8,1,3,4,4,16,24,20,20,8,franz
2025-03-16,ORL,@,CLE,"W, 108-103",35:47,19,1,6,5,6,3,5,8,2,22,32,24,30,10,franz
2025-03-19,ORL,,HOU,"L, 108-116",38:03,19,2,5,2,2,0,8,8,7,20,35,27,28,15,franz
2025-03-21,ORL,@,WAS,"W, 120-105",24:08,18,1,4,2,2,0,8,8,5,21,34,26,29,13,franz
2025-03-24,ORL,,LAL,"W, 118-106",38:15,26,3,10,3,3,0,5,5,9,32,46,41,37,14,franz
2025-03-25,ORL,@,CHO,"W, 111-104",35:10,22,1,6,9,10,1,7,8,4,26,38,30,34,12,franz
2025-03-27,ORL,,DAL,"L, 92-101",35:46,21,0,5,4,4,2,7,9,2,20,31,22,29,11,franz
2025-03-29,ORL,,SAC,"W, 121-91",23:48,12,2,6,3,4,1,1,2,3,21,26,24,23,5,franz
2025-03-31,ORL,,LAC,"L, 87-96",39:34,19,1,7,4,4,0,5,5,6,21,32,27,26,11,franz
2025-04-01,ORL,@,SAS,"W, 116-105",36:16,20,3,10,3,3,1,4,5,7,24,36,31,29,12,franz
2025-04-03,ORL,@,WAS,"W, 109-97",33:56,19,3,7,4,4,0,5,5,5,27,37,32,32,10,franz
2025-04-08,ORL,,ATL,"W, 119-112",39:41,20,2,7,4,4,1,5,6,6,22,34,28,28,12,franz
2025-04-09,ORL,,BOS,"W, 96-76",25:55,17,2,4,3,3,1,7,8,2,23,33,25,31,10,franz
