Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,ORL,@,MIA,"W, 116-97",12:32,4,1,2,4,4,0,2,2,4,11,17,15,13,6,jalen
2024-10-25,ORL,,BRK,"W, 116-101",21:38,6,2,3,2,2,0,5,5,1,10,16,11,15,6,jalen
2024-10-26,ORL,@,MEM,"L, 111-124",30:39,17,5,13,4,4,0,7,7,3,21,31,24,28,10,jalen
2024-10-28,ORL,,IND,"W, 119-115",34:45,17,6,13,3,4,1,4,5,7,25,37,32,30,12,jalen
2024-10-30,ORL,@,CHI,"L, 99-102",35:12,16,3,9,0,0,0,6,6,5,17,28,22,23,11,jalen
2024-11-01,ORL,@,CLE,"L, 109-120",36:33,20,1,7,7,8,1,7,8,7,28,43,35,36,15,jalen
2024-11-03,ORL,@,DAL,"L, 85-108",28:39,13,1,5,1,2,1,3,4,2,10,16,12,14,6,jalen
2024-11-04,ORL,@,OKC,"L, 86-102",34:59,13,1,4,6,6,0,6,6,6,19,31,25,25,12,jalen
2024-11-06,ORL,@,IND,"L, 111-118",35:40,10,1,3,2,2,1,4,5,6,15,26,21,20,11,jalen
2024-11-08,ORL,,NOP,"W, 115-88",32:43,9,1,6,0,0,0,6,6,3,7,16,10,13,9,jalen
2024-11-10,ORL,,WAS,"W, 121-94",18:12,8,1,6,0,0,1,2,3,2,5,10,7,8,5,jalen
2024-11-12,ORL,,CHO,"W, 114-89",28:00,14,3,5,0,0,0,4,4,4,17,25,21,21,8,jalen
2024-11-13,ORL,,IND,"W, 94-90",37:37,15,2,11,2,2,1,1,2,3,8,13,11,10,5,jalen
2024-11-15,ORL,,PHI,"W, 98-86",34:28,16,1,8,6,6,3,4,7,3,19,29,22,26,10,jalen
2024-11-18,ORL,@,PHO,"W, 109-99",29:39,11,2,7,2,2,0,2,2,1,12,15,13,14,3,jalen
2024-11-20,ORL,@,LAC,"L, 93-104",25:03,11,2,6,4,4,1,1,2,2,16,20,18,18,4,jalen
2024-11-21,ORL,@,LAL,"W, 119-118",39:42,18,5,13,4,5,1,4,5,5,23,33,28,28,10,jalen
2024-11-23,ORL,,DET,"W, 111-100",09:01,3,0,1,0,0,0,0,0,1,2,3,3,2,1,jalen
2024-11-27,ORL,,CHI,"W, 133-119",31:58,18,4,9,7,7,1,2,3,7,31,41,38,34,10,jalen
2024-11-29,ORL,@,BRK,"W, 123-100",26:35,12,2,6,0,0,0,3,3,6,12,21,18,15,9,jalen
2024-12-01,ORL,@,BRK,"W, 100-92",27:11,11,1,3,3,3,1,2,3,5,12,20,17,15,8,jalen
2024-12-03,ORL,@,NYK,"L, 106-121",39:26,16,0,8,4,4,0,3,3,3,14,20,17,17,6,jalen
2024-12-04,ORL,@,PHI,"W, 106-102",37:06,15,4,8,1,2,1,1,2,6,17,25,23,19,8,jalen
2024-12-06,ORL,@,PHI,"L, 94-102",32:41,19,4,12,2,2,0,1,1,3,22,26,25,23,4,jalen
2024-12-08,ORL,,PHO,"W, 115-110",31:23,18,4,10,6,7,0,4,4,2,26,32,28,30,6,jalen
2024-12-10,ORL,@,MIL,"L, 109-114",37:41,26,3,11,5,6,3,6,9,1,32,42,33,41,10,jalen
2024-12-15,ORL,,NYK,"L, 91-100",32:22,19,1,5,0,0,1,4,5,8,9,22,17,14,13,jalen
2024-12-19,ORL,,OKC,"L, 99-105",17:11,10,1,6,0,0,1,4,5,4,9,18,13,14,9,jalen
2024-12-23,ORL,,BOS,"W, 108-104",29:07,13,1,5,5,5,1,5,6,5,16,27,21,22,11,jalen
2024-12-26,ORL,,MIA,"L, 88-89",32:19,21,2,11,7,8,0,4,4,2,29,35,31,33,6,jalen
2024-12-27,ORL,,NYK,"L, 85-108",26:27,20,4,6,3,3,1,3,4,3,27,34,30,31,7,jalen
2024-12-29,ORL,,BRK,"W, 102-101",13:11,7,0,1,4,5,1,1,2,2,8,12,10,10,4,jalen
2025-01-01,ORL,@,DET,"L, 96-105",33:49,20,3,9,3,4,1,3,4,3,24,31,27,28,7,jalen
2025-01-03,ORL,@,TOR,"W, 106-97",13:15,7,2,5,0,0,0,2,2,1,6,9,7,8,3,jalen
2025-01-25,ORL,,DET,"W, 121-113",15:39,8,2,5,0,3,0,2,2,3,8,13,11,10,5,jalen
