Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,ORL,@,MIA,"W, 116-97",31:12,24,4,8,5,6,4,7,11,3,33,47,36,44,14,paolo
2024-10-25,ORL,,BRK,"W, 116-101",37:13,13,1,2,6,11,1,5,6,9,15,30,24,21,15,paolo
2024-10-26,ORL,@,MEM,"L, 111-124",36:55,12,1,4,7,13,3,4,7,3,16,26,19,23,10,paolo
2024-10-28,ORL,,IND,"W, 119-115",39:37,26,3,9,15,22,4,9,13,9,50,72,59,63,22,paolo
2024-10-30,ORL,@,CHI,"L, 99-102",37:15,22,2,9,5,7,0,7,7,4,31,42,35,38,11,paolo
2025-01-10,ORL,,MIL,"L, 106-109",26:32,21,5,8,7,10,0,7,7,3,34,44,37,41,10,paolo
2025-01-12,ORL,,PHI,"W, 104-99",27:06,8,1,2,9,11,2,6,8,6,20,34,26,28,14,paolo
2025-01-15,ORL,@,MIL,"L, 93-122",25:57,20,2,7,4,5,0,5,5,2,22,29,24,27,7,paolo
2025-01-17,ORL,@,BOS,"L, 94-121",29:19,20,0,2,5,7,0,4,4,4,21,29,25,25,8,paolo
2025-01-19,ORL,,DEN,"L, 100-113",29:17,16,0,2,2,3,3,4,7,5,10,22,15,17,12,paolo
2025-01-21,ORL,@,TOR,"L, 93-109",31:51,19,3,7,3,7,0,12,12,2,26,40,28,38,14,paolo
2025-01-23,ORL,,POR,"L, 79-101",33:07,14,0,4,6,8,1,8,9,6,8,23,14,17,15,paolo
2025-01-25,ORL,,DET,"W, 121-113",39:48,22,3,6,7,14,1,8,9,7,32,48,39,41,16,paolo
2025-01-27,ORL,@,MIA,"L, 119-125 (2OT)",44:23,21,2,8,1,3,0,5,5,6,17,28,23,22,11,paolo
2025-01-30,ORL,@,POR,"L, 90-119",33:16,23,0,4,1,3,1,5,6,3,21,30,24,27,9,paolo
2025-02-01,ORL,@,UTA,"L, 99-113",33:40,19,0,6,1,3,1,5,6,6,9,21,15,15,12,paolo
2025-02-03,ORL,@,GSW,"L, 99-104",37:26,24,0,6,0,1,1,5,6,3,18,27,21,24,9,paolo
2025-02-05,ORL,@,SAC,"W, 130-111",31:16,15,1,3,4,5,0,0,0,9,23,32,32,23,9,paolo
2025-02-06,ORL,@,DEN,"L, 90-112",29:41,14,1,3,5,8,0,8,8,4,18,30,22,26,12,paolo
2025-02-08,ORL,,SAS,"W, 112-111",33:42,17,0,4,3,4,0,7,7,6,17,30,23,24,13,paolo
2025-02-10,ORL,,ATL,"L, 106-112",33:00,22,4,9,7,8,0,6,6,4,31,41,35,37,10,paolo
2025-02-12,ORL,,CHO,"W, 102-86",29:40,20,4,9,4,5,2,6,8,6,24,38,30,32,14,paolo
2025-02-20,ORL,@,ATL,"W, 114-108",37:12,25,3,10,11,16,2,8,10,5,36,51,41,46,15,paolo
2025-02-21,ORL,,MEM,"L, 104-105",28:59,21,1,6,10,13,0,6,6,2,21,29,23,27,8,paolo
2025-02-23,ORL,,WAS,"W, 110-90",29:35,12,1,2,8,9,2,3,5,5,19,29,24,24,10,paolo
2025-02-25,ORL,,CLE,"L, 82-122",32:18,22,1,7,7,9,1,4,5,4,26,35,30,31,9,paolo
2025-02-27,ORL,,GSW,"L, 115-121",36:05,27,4,10,5,8,0,6,6,5,41,52,46,47,11,paolo
2025-03-02,ORL,,TOR,"L, 102-104",39:08,9,1,3,12,15,1,3,4,5,23,32,28,27,9,paolo
2025-03-04,ORL,,TOR,"L, 113-114",39:35,20,4,5,9,10,0,8,8,8,41,57,49,49,16,paolo
2025-03-06,ORL,,CHI,"L, 123-125",37:39,15,0,5,10,11,2,7,9,3,20,32,23,29,12,paolo
2025-03-08,ORL,@,MIL,"W, 111-109",37:01,16,4,7,7,10,0,6,6,2,29,37,31,35,8,paolo
2025-03-10,ORL,@,HOU,"L, 84-97",36:29,23,2,6,3,4,2,3,5,3,25,33,28,30,8,paolo
2025-03-13,ORL,@,NOP,"W, 113-93",34:01,22,4,8,2,2,1,10,11,4,34,49,38,45,15,paolo
2025-03-14,ORL,@,MIN,"L, 111-118",37:23,32,2,7,9,11,1,9,10,3,43,56,46,53,13,paolo
2025-03-16,ORL,@,CLE,"W, 108-103",38:05,22,3,8,9,11,2,9,11,7,24,42,31,35,18,paolo
2025-03-19,ORL,,HOU,"L, 108-116",39:23,21,3,8,8,8,2,4,6,5,31,42,36,37,11,paolo
2025-03-21,ORL,@,WAS,"W, 120-105",30:31,22,3,5,5,6,1,7,8,5,30,43,35,38,13,paolo
2025-03-24,ORL,,LAL,"W, 118-106",39:34,17,2,6,10,12,0,7,7,1,30,38,31,37,8,paolo
2025-03-25,ORL,@,CHO,"W, 111-104",35:46,24,2,8,4,6,0,7,7,6,32,45,38,39,13,paolo
2025-03-27,ORL,,DAL,"L, 92-101",37:45,21,1,5,8,12,2,8,10,4,35,49,39,45,14,paolo
2025-03-29,ORL,,SAC,"W, 121-91",29:22,19,1,5,5,11,2,4,6,6,24,36,30,30,12,paolo
2025-03-31,ORL,,LAC,"L, 87-96",36:27,23,1,8,9,9,1,5,6,4,26,36,30,32,10,paolo
2025-04-01,ORL,@,SAS,"W, 116-105",32:54,21,0,4,6,6,0,10,10,4,24,38,28,34,14,paolo
2025-04-03,ORL,@,WAS,"W, 109-97",38:57,24,3,5,8,10,3,15,18,8,33,59,41,51,26,paolo
2025-04-08,ORL,,ATL,"W, 119-112",37:17,24,2,5,7,10,0,10,10,4,33,47,37,43,14,paolo
2025-04-09,ORL,,BOS,"W, 96-76",28:55,17,2,7,1,2,2,2,4,6,15,25,21,19,10,paolo
