Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,ORL,@,MIA,"W, 116-97",26:37,7,1,2,1,2,4,10,14,2,8,24,10,22,16,wendell
2024-10-25,ORL,,BRK,"W, 116-101",31:27,5,1,3,1,2,1,10,11,4,8,23,12,19,15,wendell
2024-10-26,ORL,@,MEM,"L, 111-124",30:44,6,0,3,1,2,5,5,10,2,3,15,5,13,12,wendell
2024-10-28,ORL,,IND,"W, 119-115",31:58,5,0,2,5,6,1,9,10,1,11,22,12,21,11,wendell
2024-10-30,ORL,@,CHI,"L, 99-102",28:25,10,0,4,4,4,0,7,7,2,14,23,16,21,9,wendell
2024-11-03,ORL,@,DAL,"L, 85-108",08:52,5,0,2,2,2,1,0,1,2,6,9,8,7,3,wendell
2024-11-27,ORL,,CHI,"W, 133-119",17:55,5,0,3,0,0,0,4,4,2,4,10,6,8,6,wendell
2024-11-29,ORL,@,BRK,"W, 123-100",26:16,5,1,1,3,4,2,5,7,4,12,23,16,19,11,wendell
2024-12-01,ORL,@,BRK,"W, 100-92",27:36,5,1,1,3,4,3,4,7,1,14,22,15,21,8,wendell
2024-12-03,ORL,@,NYK,"L, 106-121",19:33,3,0,2,0,0,2,5,7,3,2,12,5,9,10,wendell
2024-12-04,ORL,@,PHI,"W, 106-102",31:47,4,0,1,0,2,3,3,6,2,2,10,4,8,8,wendell
2024-12-06,ORL,@,PHI,"L, 94-102",26:11,3,1,2,3,4,1,8,9,3,8,20,11,17,12,wendell
2024-12-08,ORL,,PHO,"W, 115-110",20:54,4,0,1,2,2,1,4,5,0,6,11,6,11,5,wendell
2024-12-10,ORL,@,MIL,"L, 109-114",34:00,5,0,2,4,4,3,8,11,5,8,24,13,19,16,wendell
2024-12-15,ORL,,NYK,"L, 91-100",27:16,4,0,2,0,0,1,4,5,1,2,8,3,7,6,wendell
2024-12-19,ORL,,OKC,"L, 99-105",29:34,6,0,2,6,9,3,10,13,4,10,27,14,23,17,wendell
2024-12-21,ORL,,MIA,"W, 121-114",12:58,5,1,2,0,0,0,1,1,1,5,7,6,6,2,wendell
2024-12-23,ORL,,BOS,"W, 108-104",26:53,8,1,1,0,0,1,6,7,4,11,22,15,18,11,wendell
2024-12-26,ORL,,MIA,"L, 88-89",15:13,6,0,2,3,4,0,6,6,1,5,12,6,11,7,wendell
2024-12-27,ORL,,NYK,"L, 85-108",17:25,6,0,1,0,0,1,2,3,1,2,6,3,5,4,wendell
2024-12-29,ORL,,BRK,"W, 102-101",26:48,9,0,1,1,4,1,5,6,1,13,20,14,19,7,wendell
2025-01-01,ORL,@,DET,"L, 96-105",34:04,15,0,4,1,2,2,6,8,1,15,24,16,23,9,wendell
2025-01-03,ORL,@,TOR,"W, 106-97",17:56,7,0,3,2,2,1,8,9,1,6,16,7,15,10,wendell
2025-01-05,ORL,,UTA,"L, 92-105",19:17,10,1,3,2,2,2,4,6,2,15,23,17,21,8,wendell
2025-01-06,ORL,@,NYK,"W, 103-94",25:42,11,3,3,0,0,0,2,2,4,19,25,23,21,6,wendell
