Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,PHI,,MIL,"L, 109-124",02:39,1,0,0,0,0,1,0,1,0,2,3,2,3,1,adem
2024-10-25,PHI,@,TOR,"L, 107-115",00:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adem
2024-10-30,PHI,,DET,"L, 95-105",03:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adem
2024-11-02,PHI,,MEM,"L, 107-124",01:27,1,0,0,0,0,1,0,1,0,2,3,2,3,1,adem
2024-11-06,PHI,@,LAC,"L, 98-110",03:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adem
2024-11-08,PHI,@,LAL,"L, 106-116",02:18,1,0,0,1,1,0,1,1,0,3,4,3,4,1,adem
2024-11-12,PHI,,NYK,"L, 99-111",00:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adem
2024-11-13,PHI,,CLE,"L, 106-114",17:15,3,0,0,0,0,3,6,9,0,4,13,4,13,9,adem
2024-11-15,PHI,@,ORL,"L, 86-98",01:13,0,0,0,0,0,0,1,1,0,0,1,0,1,1,adem
2024-11-18,PHI,@,MIA,"L, 89-106",01:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adem
2024-11-24,PHI,,LAC,"L, 99-125",08:33,0,0,0,0,0,0,2,2,0,0,2,0,2,2,adem
2024-11-30,PHI,@,DET,"W, 111-96",19:37,2,0,0,2,3,1,4,5,0,4,9,4,9,5,adem
2024-12-03,PHI,@,CHO,"W, 110-104",13:43,2,0,0,2,2,0,1,1,0,6,7,6,7,1,adem
2024-12-04,PHI,,ORL,"L, 102-106",14:18,3,0,0,0,0,2,1,3,0,0,3,0,3,3,adem
2024-12-21,PHI,@,CLE,"L, 99-126",11:39,1,0,0,1,1,1,2,3,1,3,7,4,6,4,adem
2024-12-30,PHI,@,POR,"W, 125-103",04:03,0,0,0,2,2,0,0,0,1,2,3,3,2,1,adem
2025-01-02,PHI,@,GSW,"L, 105-139",09:11,1,0,0,0,0,0,3,3,0,0,3,0,3,3,adem
2025-01-04,PHI,@,BRK,"W, 123-94",06:50,2,0,0,2,4,0,3,3,1,6,10,7,9,4,adem
2025-01-06,PHI,,PHO,"L, 99-109",11:12,2,0,0,2,4,1,4,5,0,4,9,4,9,5,adem
2025-01-08,PHI,,WAS,"W, 109-103",14:15,1,0,0,2,2,2,1,3,2,2,7,4,5,5,adem
