Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,PHI,,MIL,"L, 109-124",38:59,31,2,9,3,4,0,6,6,3,25,34,28,31,9,tyrese
2024-10-25,PHI,@,TOR,"L, 107-115",40:54,23,2,12,10,12,0,2,2,4,24,30,28,26,6,tyrese
2024-10-27,PHI,@,IND,"W, 118-114 (OT)",47:47,32,5,17,12,15,0,4,4,4,45,53,49,49,8,tyrese
2024-10-30,PHI,,DET,"L, 95-105",40:04,25,2,10,6,7,0,3,3,7,32,42,39,35,10,tyrese
2024-11-02,PHI,,MEM,"L, 107-124",37:28,19,4,9,3,3,0,2,2,6,23,31,29,25,8,tyrese
2024-11-04,PHI,@,PHO,"L, 116-118",40:56,22,6,14,2,3,0,3,3,2,32,37,34,35,5,tyrese
2024-11-06,PHI,@,LAC,"L, 98-110",31:34,13,1,6,1,1,0,1,1,1,12,14,13,13,2,tyrese
2024-11-20,PHI,@,MEM,"L, 111-117",19:38,13,0,6,2,2,0,3,3,2,8,13,10,11,5,tyrese
2024-11-22,PHI,,BRK,"W, 113-98",26:30,17,3,6,1,1,1,3,4,5,26,35,31,30,9,tyrese
2024-11-24,PHI,,LAC,"L, 99-125",29:52,13,3,6,4,4,0,4,4,4,17,25,21,21,8,tyrese
2024-11-27,PHI,,HOU,"L, 115-122 (OT)",45:02,34,6,12,5,5,0,2,2,10,39,51,49,41,12,tyrese
2024-11-30,PHI,@,DET,"W, 111-96",35:13,24,5,10,1,2,1,3,4,6,28,38,34,32,10,tyrese
2024-12-03,PHI,@,CHO,"W, 110-104",36:42,16,1,7,10,11,0,3,3,7,21,31,28,24,10,tyrese
2024-12-04,PHI,,ORL,"L, 102-106",38:29,19,0,7,2,2,1,3,4,6,16,26,22,20,10,tyrese
2024-12-06,PHI,,ORL,"W, 102-94",35:18,17,1,7,5,7,0,2,2,2,16,20,18,18,4,tyrese
2024-12-08,PHI,@,CHI,"W, 108-100",42:26,22,3,12,2,2,0,11,11,14,25,50,39,36,25,tyrese
