Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,PHO,,SEA,W (+22),30:02,13,0,0,4,7,1,6,7,6,20,alyssa
2025-05-21,PHO,,LAS,W (+3),33:29,10,0,0,5,6,1,4,5,7,19,alyssa
2025-05-23,PHO,@,SEA,L (-7),34:22,19,0,1,2,3,3,8,11,7,16,alyssa
2025-05-25,PHO,,WAS,W (+6),33:54,10,0,0,3,5,2,6,8,5,11,alyssa
2025-05-27,PHO,,CHI,W (+5),34:40,7,0,0,2,4,0,7,7,15,10,alyssa
2025-06-11,PHO,,DAL,W (+13),23:35,10,0,0,1,2,0,2,2,10,11,alyssa
2025-06-15,PHO,@,LVA,W (+6),29:21,11,0,0,0,0,3,3,6,13,14,alyssa
2025-06-18,PHO,@,CON,W (+8),30:41,10,0,0,4,6,3,5,8,11,14,alyssa
2025-06-19,PHO,@,NYL,W (+8),27:24,10,0,0,6,9,6,9,15,7,18,alyssa
2025-06-21,PHO,@,CHI,W (+21),21:10,9,0,0,1,1,1,2,3,8,11,alyssa
2025-06-27,PHO,,NYL,W (+15),31:18,11,0,0,3,3,1,8,9,15,17,alyssa
2025-06-29,PHO,,LVA,L (-3),33:19,10,0,0,6,7,3,4,7,8,16,alyssa
2025-07-03,PHO,@,DAL,L (-9),33:34,11,0,0,1,2,0,7,7,10,9,alyssa
2025-07-07,PHO,,DAL,W (+30),29:20,8,0,0,5,8,1,9,10,15,15,alyssa
2025-07-09,PHO,,MIN,W (+8),33:54,24,0,0,1,1,1,7,8,5,29,alyssa
2025-07-14,PHO,@,GSV,W (+1),35:28,14,0,0,3,4,1,5,6,11,17,alyssa
2025-07-16,PHO,@,MIN,L (-13),32:02,16,0,1,2,3,0,5,5,9,12,alyssa
2025-07-23,PHO,,ATL,L (-11),34:12,8,0,0,1,4,0,11,11,9,7,alyssa
2025-07-25,PHO,@,NYL,L (-13),34:45,15,0,0,4,6,4,9,13,8,20,alyssa
2025-07-27,PHO,@,WAS,W (+16),33:27,17,0,0,3,3,2,9,11,8,27,alyssa
2025-07-30,PHO,@,IND,L (-6),33:48,22,0,1,4,5,3,12,15,7,32,alyssa
2025-08-01,PHO,@,ATL,L (-23),26:12,14,0,0,2,2,4,6,10,3,12,alyssa
2025-08-03,PHO,@,CHI,W (+16),30:20,7,0,0,0,1,1,9,10,10,10,alyssa
2025-08-05,PHO,,CON,W (+16),31:37,7,0,0,7,8,2,10,12,12,13,alyssa
2025-08-07,PHO,,IND,W (+35),29:41,12,0,0,2,2,2,9,11,10,18,alyssa
2025-08-10,PHO,,ATL,L (-8),34:26,14,0,0,3,4,2,6,8,5,21,alyssa
2025-08-15,PHO,,LVA,L (-3),33:36,11,0,0,3,5,0,6,6,9,15,alyssa
2025-08-17,PHO,@,SEA,W (+3),36:39,12,0,1,5,6,2,8,10,11,19,alyssa
2025-08-19,PHO,@,GSV,W (+7),34:41,5,0,0,5,7,1,8,9,8,13,alyssa
2025-08-21,PHO,@,LVA,L (-22),30:26,15,0,1,5,6,2,9,11,6,17,alyssa
2025-08-22,PHO,,GSV,W (+9),36:37,9,0,0,3,6,2,10,12,16,13,alyssa
2025-08-26,PHO,@,LAS,W (+8),35:12,9,0,0,2,4,3,13,16,15,12,alyssa
2025-08-28,PHO,,CHI,W (+4),33:15,6,0,0,7,8,2,7,9,6,15,alyssa
2025-08-30,PHO,,NYL,W (+17),31:19,12,0,0,2,4,1,4,5,9,14,alyssa
2025-09-02,PHO,,IND,W (+6),33:31,17,0,0,5,8,0,9,9,9,23,alyssa
2025-09-04,PHO,@,WAS,W (+6),33:10,10,0,0,2,2,1,10,11,9,12,alyssa
2025-09-06,PHO,@,CON,L (-3),31:46,15,0,0,2,5,0,8,8,10,14,alyssa
2025-09-09,PHO,,LAS,L (-5),21:52,9,0,0,0,0,3,8,11,10,10,alyssa
2025-09-11,PHO,@,DAL,L (-21),12:37,3,0,0,1,2,0,2,2,5,3,alyssa
