Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-26,PHO,,DAL,"W, 114-102",03:26,2,1,1,0,0,0,0,0,0,3,3,3,3,0,collin
2025-01-22,PHO,@,BRK,"W, 108-84",02:59,1,0,0,0,0,1,0,1,0,2,3,2,3,1,collin
2025-01-29,PHO,,MIN,"L, 113-121",00:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,collin
2025-01-31,PHO,@,GSW,"W, 130-105",04:04,1,0,0,0,0,0,1,1,0,2,3,2,3,1,collin
2025-02-01,PHO,@,POR,"L, 108-127",04:51,1,0,0,0,0,1,1,2,1,0,3,1,2,3,collin
2025-02-05,PHO,@,OKC,"L, 109-140",08:21,2,0,1,4,5,0,1,1,2,6,9,8,7,3,collin
2025-02-08,PHO,,DEN,"L, 105-122",05:21,3,1,2,0,0,0,1,1,1,5,7,6,6,2,collin
2025-02-12,PHO,@,HOU,"L, 111-119",14:33,8,1,2,0,0,1,0,1,3,9,13,12,10,4,collin
2025-02-23,PHO,@,TOR,"L, 109-127",01:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,collin
2025-02-27,PHO,,NOP,"L, 116-124",04:28,2,0,0,2,2,1,0,1,1,2,4,3,3,2,collin
2025-02-28,PHO,,NOP,"W, 125-108",18:00,5,1,2,0,0,0,2,2,4,9,15,13,11,6,collin
2025-03-02,PHO,,MIN,"L, 98-116",01:35,1,0,1,0,0,0,1,1,0,0,1,0,1,1,collin
2025-03-04,PHO,,LAC,"W, 119-117",14:36,6,2,3,0,0,1,1,2,3,10,15,13,12,5,collin
2025-03-07,PHO,@,DEN,"L, 141-149 (OT)",04:42,1,1,1,0,0,0,0,0,0,3,3,3,3,0,collin
2025-03-09,PHO,@,DAL,"W, 125-116",02:48,2,1,1,0,0,0,0,0,0,3,3,3,3,0,collin
2025-03-10,PHO,@,MEM,"L, 118-120",12:53,4,0,3,0,0,2,2,4,5,0,9,5,4,9,collin
2025-03-12,PHO,@,HOU,"L, 104-111",05:03,0,0,0,2,2,1,1,2,2,2,6,4,4,4,collin
2025-03-14,PHO,,SAC,"W, 122-106",11:28,3,1,1,2,2,0,1,1,2,5,8,7,6,3,collin
2025-03-16,PHO,@,LAL,"L, 96-107",23:28,7,1,6,0,0,3,4,7,3,3,13,6,10,10,collin
2025-03-17,PHO,,TOR,"W, 129-89",16:18,4,1,3,0,0,0,2,2,2,3,7,5,5,4,collin
2025-03-19,PHO,,CHI,"W, 127-121",25:50,6,0,3,2,2,1,4,5,7,4,16,11,9,12,collin
2025-03-21,PHO,,CLE,"W, 123-112",23:53,6,3,3,0,0,0,2,2,4,13,19,17,15,6,collin
2025-03-24,PHO,,MIL,"W, 108-106",21:50,6,2,5,0,0,0,5,5,3,6,14,9,11,8,collin
2025-03-26,PHO,,BOS,"L, 102-132",15:58,5,1,3,0,0,1,0,1,0,5,6,5,6,1,collin
2025-03-28,PHO,@,MIN,"L, 109-124",26:14,11,4,5,0,0,1,4,5,10,22,37,32,27,15,collin
2025-03-30,PHO,,HOU,"L, 109-148",22:33,9,1,4,0,0,1,3,4,4,3,11,7,7,8,collin
2025-04-01,PHO,@,MIL,"L, 123-133",35:53,12,4,8,2,3,0,2,2,4,18,24,22,20,6,collin
2025-04-04,PHO,@,BOS,"L, 103-123",12:31,6,2,4,0,0,0,2,2,0,8,10,8,10,2,collin
2025-04-06,PHO,@,NYK,"L, 98-112",18:08,6,0,2,0,0,2,2,4,4,0,8,4,4,8,collin
2025-04-08,PHO,,GSW,"L, 95-133",24:20,9,2,5,0,0,2,1,3,4,6,13,10,9,7,collin
2025-04-09,PHO,,OKC,"L, 112-125",23:29,9,3,6,2,2,1,5,6,4,17,27,21,23,10,collin
2025-04-11,PHO,,SAS,"W, 117-98",21:54,13,3,9,2,2,2,5,7,2,13,22,15,20,9,collin
2025-04-13,PHO,@,SAC,"L, 98-109",28:13,7,3,6,1,2,0,3,3,3,12,18,15,15,6,collin
