Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,PHO,@,LAC,"W, 116-113 (OT)",32:08,9,4,5,1,2,0,4,4,6,15,25,21,19,10,devin
2024-10-25,PHO,@,LAL,"L, 116-123",35:20,21,4,10,1,2,2,1,3,4,23,30,27,26,7,devin
2024-10-26,PHO,,DAL,"W, 114-102",37:05,12,2,8,11,12,0,1,1,5,21,27,26,22,6,devin
2024-10-28,PHO,,LAL,"W, 109-105",39:25,23,3,8,8,8,1,2,3,2,33,38,35,36,5,devin
2024-10-31,PHO,@,LAC,"W, 125-119",37:46,18,5,9,13,15,1,4,5,8,40,53,48,45,13,devin
2024-11-02,PHO,,POR,"W, 103-97",36:02,23,2,10,8,9,3,6,9,9,28,46,37,37,18,devin
2024-11-04,PHO,,PHI,"W, 118-116",38:13,18,0,6,7,7,2,1,3,6,13,22,19,16,9,devin
2024-11-06,PHO,,MIA,"W, 115-112",38:53,17,2,7,2,3,1,3,4,9,22,35,31,26,13,devin
2024-11-08,PHO,@,DAL,"W, 114-113",34:32,13,1,8,2,2,2,4,6,12,13,31,25,19,18,devin
2024-11-10,PHO,,SAC,"L, 118-127 (OT)",43:16,22,3,10,2,2,0,1,1,12,23,36,35,24,13,devin
2024-11-12,PHO,@,UTA,"W, 120-112",34:18,20,5,9,4,6,1,1,2,4,31,37,35,33,6,devin
2024-11-13,PHO,@,SAC,"L, 104-127",31:23,16,1,4,5,6,2,1,3,5,18,26,23,21,8,devin
2024-11-15,PHO,@,OKC,"L, 83-99",33:53,10,0,0,8,8,1,3,4,4,12,20,16,16,8,devin
2024-11-17,PHO,@,MIN,"L, 117-120",39:47,29,6,13,8,9,3,3,6,7,44,57,51,50,13,devin
2024-11-18,PHO,,ORL,"L, 99-109",38:06,14,1,7,6,6,0,2,2,5,17,24,22,19,7,devin
2024-11-20,PHO,,NYK,"L, 122-138",37:47,23,2,7,7,8,2,1,3,5,33,41,38,36,8,devin
2024-11-26,PHO,,LAL,"W, 127-100",34:08,17,3,7,3,4,1,1,2,10,26,38,36,28,12,devin
2024-11-27,PHO,,BRK,"L, 117-127",38:44,18,3,9,12,13,1,2,3,4,31,38,35,34,7,devin
2024-11-30,PHO,,GSW,"W, 113-105",38:13,20,3,8,8,8,0,3,3,9,27,39,36,30,12,devin
2024-12-03,PHO,,SAS,"W, 104-93",38:51,21,4,10,5,5,0,9,9,5,29,43,34,38,14,devin
2024-12-05,PHO,@,NOP,"L, 124-126",37:04,20,3,10,13,14,1,3,4,2,28,34,30,32,6,devin
2024-12-07,PHO,@,MIA,"L, 111-121",37:21,16,1,6,8,8,1,3,4,7,21,32,28,25,11,devin
2024-12-08,PHO,@,ORL,"L, 110-115",38:16,21,1,5,8,9,1,3,4,7,25,36,32,29,11,devin
2024-12-13,PHO,@,UTA,"W, 134-126",37:55,27,6,13,2,2,2,0,2,8,34,44,42,36,10,devin
2024-12-15,PHO,,POR,"W, 116-109",37:14,14,4,8,10,12,1,2,3,5,28,36,33,31,8,devin
2024-12-19,PHO,,IND,"L, 111-120",25:01,10,0,3,7,8,1,1,2,6,17,25,23,19,8,devin
2024-12-31,PHO,,MEM,"L, 112-117",30:21,20,2,8,6,6,1,3,4,9,16,29,25,20,13,devin
2025-01-04,PHO,@,IND,"L, 108-126",36:13,15,2,5,4,5,0,8,8,9,20,37,29,28,17,devin
2025-01-06,PHO,@,PHI,"W, 109-99",37:55,16,1,5,3,6,0,4,4,10,10,24,20,14,14,devin
2025-01-07,PHO,@,CHO,"L, 104-115",38:59,25,2,8,9,9,1,5,6,10,39,55,49,45,16,devin
2025-01-09,PHO,,ATL,"W, 123-115",40:01,21,0,8,2,3,0,3,3,12,20,35,32,23,15,devin
2025-01-11,PHO,,UTA,"W, 114-106",36:27,20,6,12,4,4,2,3,5,4,34,43,38,39,9,devin
2025-01-12,PHO,,CHO,"W, 120-113",38:37,20,4,9,6,6,0,5,5,8,30,43,38,35,13,devin
2025-01-14,PHO,@,ATL,"L, 117-122",37:42,23,7,14,4,4,3,2,5,5,35,45,40,40,10,devin
2025-01-16,PHO,@,WAS,"W, 130-123",38:52,24,4,9,13,15,1,2,3,5,37,45,42,40,8,devin
2025-01-18,PHO,@,DET,"W, 125-121",42:10,22,1,5,12,13,0,5,5,3,35,43,38,40,8,devin
2025-01-20,PHO,@,CLE,"L, 92-118",31:53,14,1,4,2,4,0,3,3,4,15,22,19,18,7,devin
2025-01-22,PHO,@,BRK,"W, 108-84",36:11,24,3,8,1,1,0,2,2,6,32,40,38,34,8,devin
2025-01-25,PHO,,WAS,"W, 119-109",39:08,18,0,8,8,8,0,6,6,7,18,31,25,24,13,devin
2025-01-27,PHO,,LAC,"W, 111-109",39:17,21,5,10,3,3,2,5,7,8,26,41,34,33,15,devin
2025-01-29,PHO,,MIN,"L, 113-121",40:56,19,2,7,4,5,1,3,4,8,28,40,36,32,12,devin
2025-01-31,PHO,@,GSW,"W, 130-105",34:20,23,5,11,2,3,1,4,5,11,31,47,42,36,16,devin
2025-02-01,PHO,@,POR,"L, 108-127",34:36,18,2,6,13,14,0,4,4,5,37,46,42,41,9,devin
2025-02-03,PHO,@,POR,"L, 119-121 (OT)",46:34,18,3,8,13,14,0,3,3,4,34,41,38,37,7,devin
2025-02-05,PHO,@,OKC,"L, 109-140",30:36,9,0,3,13,15,0,2,2,3,19,24,22,21,5,devin
2025-02-07,PHO,,UTA,"W, 135-127 (OT)",48:52,33,3,10,8,9,1,5,6,11,47,64,58,53,17,devin
2025-02-08,PHO,,DEN,"L, 105-122",34:19,19,3,8,5,5,3,4,7,3,24,34,27,31,10,devin
2025-02-11,PHO,,MEM,"L, 112-119",39:47,13,0,3,5,5,0,2,2,9,17,28,26,19,11,devin
2025-02-20,PHO,@,SAS,"L, 109-120",40:33,14,2,7,7,8,0,2,2,8,17,27,25,19,10,devin
2025-02-22,PHO,@,CHI,"W, 121-117",37:43,20,4,7,5,6,2,2,4,8,29,41,37,33,12,devin
2025-02-23,PHO,@,TOR,"L, 109-127",37:09,25,3,8,4,4,0,4,4,8,31,43,39,35,12,devin
2025-02-25,PHO,@,MEM,"L, 148-151 (OT)",34:59,20,2,4,2,2,2,1,3,10,28,41,38,31,13,devin
2025-02-27,PHO,,NOP,"L, 116-124",41:31,29,6,16,4,4,3,4,7,9,36,52,45,43,16,devin
2025-02-28,PHO,,NOP,"W, 125-108",36:45,13,3,9,2,2,0,0,0,9,17,26,26,17,9,devin
2025-03-02,PHO,,MIN,"L, 98-116",34:39,12,3,7,4,4,1,3,4,5,17,26,22,21,9,devin
2025-03-04,PHO,,LAC,"W, 119-117",40:59,11,1,4,4,8,1,4,5,8,17,30,25,22,13,devin
2025-03-07,PHO,@,DEN,"L, 141-149 (OT)",43:51,19,5,10,9,9,1,5,6,7,34,47,41,40,13,devin
2025-03-09,PHO,@,DAL,"W, 125-116",37:38,21,0,6,4,4,0,3,3,6,24,33,30,27,9,devin
2025-03-10,PHO,@,MEM,"L, 118-120",40:09,21,3,8,5,6,2,7,9,6,26,41,32,35,15,devin
2025-03-12,PHO,@,HOU,"L, 104-111",37:25,15,2,5,3,5,0,3,3,4,19,26,23,22,7,devin
2025-03-14,PHO,,SAC,"W, 122-106",37:10,17,4,10,2,2,1,3,4,13,22,39,35,26,17,devin
2025-03-16,PHO,@,LAL,"L, 96-107",39:44,17,0,3,7,7,3,3,6,11,19,36,30,25,17,devin
2025-03-17,PHO,,TOR,"W, 129-89",32:05,15,3,6,8,8,0,4,4,6,27,37,33,31,10,devin
2025-03-19,PHO,,CHI,"W, 127-121",36:11,26,6,12,7,7,1,3,4,7,41,52,48,45,11,devin
2025-03-21,PHO,,CLE,"W, 123-112",38:55,17,1,4,2,2,0,2,2,10,17,29,27,19,12,devin
2025-03-24,PHO,,MIL,"W, 108-106",39:30,18,0,5,5,5,2,5,7,12,19,38,31,26,19,devin
2025-03-26,PHO,,BOS,"L, 102-132",34:07,13,1,6,5,6,1,6,7,10,14,31,24,21,17,devin
2025-03-28,PHO,@,MIN,"L, 109-124",39:11,14,0,6,2,3,0,0,0,6,10,16,16,10,6,devin
2025-03-30,PHO,,HOU,"L, 109-148",30:36,17,1,4,3,4,1,2,3,3,28,34,31,31,6,devin
2025-04-01,PHO,@,MIL,"L, 123-133",43:21,32,3,11,8,8,1,2,3,11,39,53,50,42,14,devin
2025-04-04,PHO,@,BOS,"L, 103-123",38:28,29,2,6,5,5,2,3,5,6,37,48,43,42,11,devin
2025-04-06,PHO,@,NYK,"L, 98-112",40:25,29,2,7,6,7,3,1,4,3,40,47,43,44,7,devin
2025-04-08,PHO,,GSW,"L, 95-133",29:35,17,0,5,7,7,1,2,3,4,21,28,25,24,7,devin
2025-04-09,PHO,,OKC,"L, 112-125",39:40,20,0,4,2,4,2,4,6,14,20,40,34,26,20,devin
2025-04-11,PHO,,SAS,"W, 117-98",28:11,12,1,2,1,1,0,3,3,5,18,26,23,21,8,devin
