Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,IND,,CHI,W (+35),26:30,9,0,2,3,4,1,2,3,2,7,dewanna
2025-05-20,IND,,ATL,L (-1),16:05,1,0,0,0,0,0,3,3,1,0,dewanna
2025-05-22,IND,@,ATL,W (+5),19:09,2,0,1,1,2,1,7,8,1,1,dewanna
2025-05-24,IND,,NYL,L (-2),23:03,4,0,1,2,2,1,6,7,2,2,dewanna
2025-05-28,IND,@,WAS,L (-6),25:21,10,2,4,9,9,0,4,4,1,21,dewanna
2025-05-30,IND,,CON,L (-2),22:29,7,3,5,2,2,0,2,2,1,13,dewanna
2025-06-03,IND,,WAS,W (+9),20:58,12,1,6,0,0,0,2,2,1,9,dewanna
2025-06-07,IND,@,CHI,W (+27),19:02,6,2,4,0,0,0,3,3,3,6,dewanna
2025-06-10,IND,@,ATL,L (-19),19:43,4,1,2,0,0,1,1,2,2,5,dewanna
2025-07-09,PHO,,MIN,W (+8),26:17,6,0,2,3,3,1,5,6,2,7,dewanna
2025-07-14,PHO,@,GSV,W (+1),28:36,8,3,4,5,8,1,10,11,2,22,dewanna
2025-07-16,PHO,@,MIN,L (-13),25:36,12,1,3,0,0,0,1,1,2,11,dewanna
2025-07-23,PHO,,ATL,L (-11),25:00,11,2,5,6,7,2,0,2,1,18,dewanna
2025-07-25,PHO,@,NYL,L (-13),25:41,9,2,6,1,2,1,3,4,2,9,dewanna
2025-07-27,PHO,@,WAS,W (+16),21:38,2,0,1,2,2,1,5,6,0,2,dewanna
2025-07-30,PHO,@,IND,L (-6),20:40,4,0,1,2,3,0,1,1,0,4,dewanna
2025-08-01,PHO,@,ATL,L (-23),21:46,5,0,1,3,3,0,4,4,0,7,dewanna
2025-08-03,PHO,@,CHI,W (+16),23:00,8,0,3,0,0,1,2,3,1,6,dewanna
2025-08-05,PHO,,CON,W (+16),22:58,12,4,8,2,2,2,5,7,0,18,dewanna
2025-08-07,PHO,,IND,W (+35),23:29,16,2,7,7,7,4,3,7,1,23,dewanna
2025-08-10,PHO,,ATL,L (-8),25:47,8,2,4,6,6,1,3,4,1,16,dewanna
2025-08-15,PHO,,LVA,L (-3),24:28,6,1,3,5,5,0,4,4,0,12,dewanna
2025-08-17,PHO,@,SEA,W (+3),27:28,10,0,3,0,0,0,1,1,2,10,dewanna
2025-08-19,PHO,@,GSV,W (+7),27:39,12,1,5,3,4,2,3,5,0,12,dewanna
2025-08-21,PHO,@,LVA,L (-22),19:26,6,0,4,0,0,0,1,1,0,2,dewanna
2025-08-22,PHO,,GSV,W (+9),23:56,9,4,6,0,0,1,5,6,2,14,dewanna
2025-08-26,PHO,@,LAS,W (+8),25:49,13,2,4,2,2,3,2,5,3,14,dewanna
2025-08-28,PHO,,CHI,W (+4),28:30,8,0,3,4,4,1,1,2,2,8,dewanna
2025-08-30,PHO,,NYL,W (+17),22:21,9,1,5,0,1,0,7,7,0,9,dewanna
2025-09-02,PHO,,IND,W (+6),25:10,11,1,4,6,6,1,3,4,1,19,dewanna
2025-09-04,PHO,@,WAS,W (+6),27:16,8,2,6,1,2,1,3,4,0,9,dewanna
2025-09-06,PHO,@,CON,L (-3),30:19,7,3,6,0,0,2,4,6,2,9,dewanna
2025-09-09,PHO,,LAS,L (-5),13:09,2,0,1,0,0,0,2,2,0,0,dewanna
