Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,PHO,@,LAC,"W, 116-113 (OT)",21:23,7,2,6,2,2,0,1,1,3,8,12,11,9,4,grayson
2024-10-28,PHO,,LAL,"W, 109-105",12:18,2,1,2,0,0,1,1,2,0,3,5,3,5,2,grayson
2024-10-31,PHO,@,LAC,"W, 125-119",18:55,8,0,5,0,0,0,5,5,3,2,10,5,7,8,grayson
2024-11-02,PHO,,POR,"W, 103-97",18:32,12,4,7,0,0,1,1,2,0,18,20,18,20,2,grayson
2024-11-04,PHO,,PHI,"W, 118-116",23:42,6,2,4,6,6,1,1,2,0,14,16,14,16,2,grayson
2024-11-06,PHO,,MIA,"W, 115-112",21:39,10,3,9,3,4,0,2,2,0,12,14,12,14,2,grayson
2024-11-08,PHO,@,DAL,"W, 114-113",18:34,4,0,3,0,0,2,1,3,0,0,3,0,3,3,grayson
2024-11-10,PHO,,SAC,"L, 118-127 (OT)",26:41,13,3,11,0,0,0,1,1,3,9,13,12,10,4,grayson
2024-11-12,PHO,@,UTA,"W, 120-112",25:35,10,4,9,1,2,0,1,1,0,15,16,15,16,1,grayson
2024-11-17,PHO,@,MIN,"L, 117-120",24:10,10,4,7,2,2,1,4,5,1,18,24,19,23,6,grayson
2024-11-18,PHO,,ORL,"L, 99-109",29:24,10,4,9,3,7,0,4,4,1,17,22,18,21,5,grayson
2024-11-20,PHO,,NYK,"L, 122-138",20:41,9,1,8,3,3,0,1,1,1,8,10,9,9,2,grayson
2024-11-26,PHO,,LAL,"W, 127-100",22:35,10,2,6,0,0,1,1,2,2,10,14,12,12,4,grayson
2024-11-27,PHO,,BRK,"L, 117-127",30:08,8,1,4,0,1,0,5,5,1,9,15,10,14,6,grayson
2024-11-30,PHO,,GSW,"W, 113-105",32:27,8,3,6,6,6,1,3,4,3,17,24,20,21,7,grayson
2024-12-03,PHO,,SAS,"W, 104-93",23:38,5,0,3,4,4,0,3,3,3,8,14,11,11,6,grayson
2024-12-05,PHO,@,NOP,"L, 124-126",29:53,7,3,5,2,2,0,6,6,10,13,29,23,19,16,grayson
2024-12-07,PHO,@,MIA,"L, 111-121",30:15,10,5,9,1,2,1,1,2,4,16,22,20,18,6,grayson
2024-12-08,PHO,@,ORL,"L, 110-115",22:24,3,2,2,5,5,1,3,4,2,13,19,15,17,6,grayson
2024-12-13,PHO,@,UTA,"W, 134-126",24:37,8,2,5,0,0,1,3,4,2,8,14,10,12,6,grayson
2024-12-15,PHO,,POR,"W, 116-109",23:44,13,4,9,0,0,1,1,2,1,12,15,13,14,3,grayson
2024-12-19,PHO,,IND,"L, 111-120",29:29,9,0,3,2,2,3,7,10,0,8,18,8,18,10,grayson
2024-12-21,PHO,,DET,"L, 125-133",19:44,1,0,1,2,2,1,2,3,2,2,7,4,5,5,grayson
2025-01-04,PHO,@,IND,"L, 108-126",30:39,10,3,7,0,0,0,4,4,6,13,23,19,17,10,grayson
2025-01-06,PHO,@,PHI,"W, 109-99",14:27,3,1,1,1,2,0,1,1,0,6,7,6,7,1,grayson
2025-01-07,PHO,@,CHO,"L, 104-115",25:04,7,3,6,0,0,1,2,3,0,9,12,9,12,3,grayson
2025-01-09,PHO,,ATL,"W, 123-115",26:55,8,5,6,4,4,0,2,2,1,23,26,24,25,3,grayson
2025-01-11,PHO,,UTA,"W, 114-106",30:28,11,4,10,0,0,0,4,4,4,14,22,18,18,8,grayson
2025-01-12,PHO,,CHO,"W, 120-113",13:24,7,3,6,2,2,0,1,1,0,13,14,13,14,1,grayson
2025-01-14,PHO,@,ATL,"L, 117-122",26:39,4,3,4,0,0,0,4,4,2,9,15,11,13,6,grayson
2025-01-16,PHO,@,WAS,"W, 130-123",28:06,12,5,7,0,0,0,5,5,0,21,26,21,26,5,grayson
2025-01-18,PHO,@,DET,"W, 125-121",29:23,4,1,2,4,4,1,2,3,3,7,13,10,10,6,grayson
