Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-06-15,PHO,@,LVA,W (+6),17:41,9,1,3,2,2,0,2,2,1,11,kahleah
2025-06-18,PHO,@,CON,W (+8),22:08,9,2,4,7,8,0,1,1,2,13,kahleah
2025-06-21,PHO,@,CHI,W (+21),23:13,12,2,6,4,4,0,3,3,3,16,kahleah
2025-06-27,PHO,,NYL,W (+15),25:10,14,2,7,0,0,0,4,4,1,12,kahleah
2025-06-29,PHO,,LVA,L (-3),29:33,12,2,2,3,4,3,3,6,3,15,kahleah
2025-07-03,PHO,@,DAL,L (-9),26:55,17,4,7,9,13,0,5,5,1,33,kahleah
2025-07-23,PHO,,ATL,L (-11),21:52,11,2,5,0,0,0,1,1,0,10,kahleah
2025-07-25,PHO,@,NYL,L (-13),24:20,12,2,5,0,0,0,3,3,0,14,kahleah
2025-07-27,PHO,@,WAS,W (+16),26:12,8,0,3,2,2,0,3,3,3,6,kahleah
2025-07-30,PHO,@,IND,L (-6),31:03,10,2,2,8,8,1,0,1,1,22,kahleah
2025-08-01,PHO,@,ATL,L (-23),25:55,12,1,3,6,8,0,2,2,1,19,kahleah
2025-08-03,PHO,@,CHI,W (+16),26:26,14,4,6,5,6,1,2,3,2,25,kahleah
2025-08-05,PHO,,CON,W (+16),28:17,13,1,2,2,2,0,1,1,0,15,kahleah
2025-08-07,PHO,,IND,W (+35),26:41,13,1,4,0,0,1,5,6,4,11,kahleah
2025-08-10,PHO,,ATL,L (-8),32:24,14,0,4,3,3,2,1,3,3,9,kahleah
2025-08-15,PHO,,LVA,L (-3),30:00,15,3,8,0,0,0,3,3,2,15,kahleah
2025-08-17,PHO,@,SEA,W (+3),34:42,14,1,5,2,2,0,5,5,4,17,kahleah
2025-08-19,PHO,@,GSV,W (+7),32:22,20,5,9,2,2,3,2,5,1,25,kahleah
2025-08-21,PHO,@,LVA,L (-22),19:50,8,2,6,0,0,0,2,2,1,6,kahleah
2025-08-22,PHO,,GSV,W (+9),28:48,14,2,5,0,0,0,4,4,1,12,kahleah
2025-08-26,PHO,@,LAS,W (+8),28:04,16,0,4,2,2,0,1,1,3,18,kahleah
2025-08-28,PHO,,CHI,W (+4),31:41,16,4,7,6,7,0,3,3,1,28,kahleah
2025-08-30,PHO,,NYL,W (+17),32:50,15,5,10,3,4,0,2,2,0,22,kahleah
2025-09-02,PHO,,IND,W (+6),28:04,10,1,5,2,3,0,3,3,0,11,kahleah
2025-09-04,PHO,@,WAS,W (+6),31:38,21,3,11,1,1,0,5,5,2,18,kahleah
2025-09-06,PHO,@,CON,L (-3),30:04,14,2,9,6,7,0,0,0,2,18,kahleah
2025-09-09,PHO,,LAS,L (-5),19:10,10,1,5,0,0,0,4,4,0,9,kahleah
2025-09-11,PHO,@,DAL,L (-21),17:11,9,2,4,0,0,0,0,0,1,8,kahleah
