Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,PHO,,SEA,W (+22),17:17,3,0,2,0,0,0,1,1,1,2,monique
2025-05-21,PHO,,LAS,W (+3),23:59,8,3,6,0,0,0,2,2,3,11,monique
2025-05-23,PHO,@,SEA,L (-7),23:27,9,3,4,1,1,1,1,2,2,14,monique
2025-05-25,PHO,,WAS,W (+6),21:43,8,3,6,2,2,0,1,1,2,13,monique
2025-05-27,PHO,,CHI,W (+5),21:42,8,3,5,2,2,3,2,5,2,13,monique
2025-05-30,PHO,,MIN,L (-3),21:49,10,1,5,0,0,1,0,1,4,5,monique
2025-06-01,PHO,@,LAS,W (+5),20:19,5,2,4,2,2,1,4,5,6,10,monique
2025-06-03,PHO,@,MIN,L (-23),12:45,4,0,1,0,0,0,1,1,2,4,monique
2025-06-05,PHO,,GSV,W (+9),17:23,3,0,1,2,2,0,1,1,2,4,monique
2025-06-07,PHO,,SEA,L (-12),17:03,4,0,1,2,2,0,2,2,2,6,monique
2025-06-11,PHO,,DAL,W (+13),22:56,5,3,3,0,0,1,1,2,3,9,monique
2025-06-15,PHO,@,LVA,W (+6),20:56,3,0,0,0,0,2,2,4,1,0,monique
2025-06-18,PHO,@,CON,W (+8),21:12,3,1,3,2,2,1,3,4,0,5,monique
2025-06-19,PHO,@,NYL,W (+8),27:47,12,0,4,5,5,1,0,1,6,21,monique
2025-06-21,PHO,@,CHI,W (+21),18:07,4,2,2,0,0,2,2,4,2,8,monique
2025-06-27,PHO,,NYL,W (+15),18:19,6,2,3,1,1,0,2,2,4,9,monique
2025-06-29,PHO,,LVA,L (-3),14:09,7,0,1,4,4,0,0,0,0,6,monique
2025-07-03,PHO,@,DAL,L (-9),21:47,6,1,1,3,3,0,2,2,4,14,monique
2025-07-07,PHO,,DAL,W (+30),22:57,11,0,4,0,0,1,0,1,3,4,monique
2025-07-09,PHO,,MIN,W (+8),29:58,13,1,3,0,0,0,0,0,4,13,monique
2025-07-14,PHO,@,GSV,W (+1),25:53,6,3,6,0,0,0,1,1,2,9,monique
2025-07-25,PHO,@,NYL,L (-13),22:41,10,1,3,0,2,1,1,2,4,9,monique
2025-07-27,PHO,@,WAS,W (+16),25:33,11,3,5,0,0,0,2,2,1,13,monique
2025-07-30,PHO,@,IND,L (-6),14:20,2,0,0,0,0,0,1,1,1,2,monique
2025-08-01,PHO,@,ATL,L (-23),24:42,5,1,3,2,2,1,1,2,5,7,monique
2025-08-03,PHO,@,CHI,W (+16),25:30,11,0,2,0,0,3,2,5,5,8,monique
2025-08-05,PHO,,CON,W (+16),20:50,6,1,3,0,0,0,1,1,0,9,monique
2025-08-07,PHO,,IND,W (+35),23:19,7,1,3,2,2,0,2,2,3,5,monique
2025-08-10,PHO,,ATL,L (-8),20:38,7,1,3,0,0,1,2,3,3,3,monique
2025-08-15,PHO,,LVA,L (-3),32:28,9,2,5,0,0,0,4,4,6,8,monique
2025-08-19,PHO,@,GSV,W (+7),16:45,4,0,2,2,2,0,2,2,3,6,monique
2025-08-21,PHO,@,LVA,L (-22),24:32,8,1,5,2,2,2,4,6,1,9,monique
2025-08-22,PHO,,GSV,W (+9),28:04,9,4,6,2,2,0,1,1,0,18,monique
2025-08-26,PHO,@,LAS,W (+8),16:50,3,0,2,0,0,0,2,2,0,0,monique
2025-08-28,PHO,,CHI,W (+4),20:16,7,0,0,0,0,0,2,2,3,6,monique
2025-08-30,PHO,,NYL,W (+17),26:48,7,1,3,0,0,0,0,0,4,5,monique
2025-09-02,PHO,,IND,W (+6),22:16,5,1,4,0,0,0,3,3,6,3,monique
2025-09-04,PHO,@,WAS,W (+6),24:00,4,1,2,0,0,1,2,3,3,5,monique
2025-09-06,PHO,@,CON,L (-3),17:38,6,1,3,0,0,0,2,2,4,7,monique
2025-09-09,PHO,,LAS,L (-5),15:26,5,0,3,2,3,0,1,1,1,6,monique
2025-09-11,PHO,@,DAL,L (-21),16:31,2,2,2,0,0,2,3,5,3,6,monique
