Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,PHO,@,LAC,"W, 116-113 (OT)",12:14,1,0,0,0,0,2,4,6,0,2,8,2,8,6,oso
2024-10-25,PHO,@,LAL,"L, 116-123",06:14,0,0,0,0,0,0,1,1,0,0,1,0,1,1,oso
2024-10-26,PHO,,DAL,"W, 114-102",07:05,1,0,0,0,0,0,1,1,0,0,1,0,1,1,oso
2024-10-31,PHO,@,LAC,"W, 125-119",04:35,1,0,0,0,0,1,0,1,0,2,3,2,3,1,oso
2024-11-10,PHO,,SAC,"L, 118-127 (OT)",10:06,4,0,0,1,1,0,2,2,1,5,8,6,7,3,oso
2024-11-12,PHO,@,UTA,"W, 120-112",21:27,5,0,0,0,0,4,8,12,0,6,18,6,18,12,oso
2024-11-13,PHO,@,SAC,"L, 104-127",14:54,2,0,0,2,2,0,1,1,0,4,5,4,5,1,oso
2024-11-15,PHO,@,OKC,"L, 83-99",27:21,2,0,0,4,4,1,6,7,2,6,15,8,13,9,oso
2024-11-17,PHO,@,MIN,"L, 117-120",26:00,7,0,0,1,2,1,2,3,1,11,15,12,14,4,oso
2024-11-18,PHO,,ORL,"L, 99-109",32:20,8,0,0,0,1,3,4,7,2,12,21,14,19,9,oso
2024-11-20,PHO,,NYK,"L, 122-138",13:56,1,0,0,0,0,0,3,3,1,2,6,3,5,4,oso
2024-11-26,PHO,,LAL,"W, 127-100",13:52,6,0,0,1,1,2,3,5,3,7,15,10,12,8,oso
2024-11-27,PHO,,BRK,"L, 117-127",07:04,1,0,0,0,0,0,1,1,1,0,2,1,1,2,oso
2024-11-30,PHO,,GSW,"W, 113-105",30:33,4,0,0,0,0,2,6,8,0,6,14,6,14,8,oso
2024-12-03,PHO,,SAS,"W, 104-93",28:01,5,0,0,1,2,0,3,3,2,7,12,9,10,5,oso
2024-12-05,PHO,@,NOP,"L, 124-126",20:10,2,0,0,0,0,0,2,2,1,4,7,5,6,3,oso
2024-12-07,PHO,@,MIA,"L, 111-121",21:11,2,0,0,0,0,2,4,6,1,2,9,3,8,7,oso
2024-12-08,PHO,@,ORL,"L, 110-115",22:18,5,0,0,0,0,4,1,5,4,4,13,8,9,9,oso
2024-12-13,PHO,@,UTA,"W, 134-126",06:18,0,0,0,0,0,0,1,1,0,0,1,0,1,1,oso
2024-12-15,PHO,,POR,"W, 116-109",06:09,3,0,0,0,0,1,1,2,0,4,6,4,6,2,oso
2024-12-19,PHO,,IND,"L, 111-120",04:33,0,0,0,0,0,0,1,1,0,0,1,0,1,1,oso
2024-12-23,PHO,@,DEN,"L, 90-117",18:09,3,0,0,1,4,0,6,6,1,7,14,8,13,7,oso
2024-12-25,PHO,,DEN,"W, 110-100",05:32,1,0,0,0,0,0,1,1,0,0,1,0,1,1,oso
2024-12-27,PHO,,DAL,"L, 89-98",15:58,2,0,0,0,2,0,3,3,1,4,8,5,7,4,oso
2024-12-28,PHO,@,GSW,"L, 105-109",19:55,4,0,0,0,0,2,4,6,1,2,9,3,8,7,oso
2024-12-31,PHO,,MEM,"L, 112-117",17:16,4,0,0,0,0,1,1,2,1,2,5,3,4,3,oso
2025-01-06,PHO,@,PHI,"W, 109-99",21:00,6,0,1,0,0,2,4,6,3,8,17,11,14,9,oso
2025-01-07,PHO,@,CHO,"L, 104-115",05:55,3,0,0,0,0,1,1,2,1,0,3,1,2,3,oso
2025-01-09,PHO,,ATL,"W, 123-115",25:23,4,0,0,0,0,1,4,5,2,4,11,6,9,7,oso
2025-01-11,PHO,,UTA,"W, 114-106",23:09,6,0,0,1,2,1,1,2,0,9,11,9,11,2,oso
2025-01-12,PHO,,CHO,"W, 120-113",30:13,3,0,0,4,6,3,3,6,2,10,18,12,16,8,oso
2025-01-14,PHO,@,ATL,"L, 117-122",19:11,4,0,1,2,4,0,5,5,1,4,10,5,9,6,oso
2025-01-16,PHO,@,WAS,"W, 130-123",21:21,2,0,0,0,0,0,3,3,1,0,4,1,3,4,oso
2025-01-18,PHO,@,DET,"W, 125-121",05:22,1,0,0,1,2,0,1,1,0,1,2,1,2,1,oso
2025-01-20,PHO,@,CLE,"L, 92-118",07:35,1,0,0,0,0,0,0,0,2,0,2,2,0,2,oso
2025-01-22,PHO,@,BRK,"W, 108-84",08:50,0,0,0,0,2,0,1,1,1,0,2,1,1,2,oso
2025-01-29,PHO,,MIN,"L, 113-121",00:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,oso
2025-01-31,PHO,@,GSW,"W, 130-105",04:48,1,0,0,0,0,0,1,1,1,2,4,3,3,2,oso
2025-02-01,PHO,@,POR,"L, 108-127",04:51,1,0,0,0,0,0,0,0,0,2,2,2,2,0,oso
2025-02-05,PHO,@,OKC,"L, 109-140",08:21,2,0,0,0,1,0,3,3,2,4,9,6,7,5,oso
2025-02-08,PHO,,DEN,"L, 105-122",05:21,0,0,0,0,0,0,1,1,1,0,2,1,1,2,oso
2025-02-23,PHO,@,TOR,"L, 109-127",01:13,0,0,0,0,0,1,0,1,0,0,1,0,1,1,oso
2025-02-28,PHO,,NOP,"W, 125-108",01:44,0,0,0,0,0,0,1,1,0,0,1,0,1,1,oso
2025-03-02,PHO,,MIN,"L, 98-116",01:35,0,0,0,0,0,0,0,0,1,0,1,1,0,1,oso
2025-03-12,PHO,@,HOU,"L, 104-111",28:21,4,0,0,0,0,2,4,6,0,8,14,8,14,6,oso
2025-03-14,PHO,,SAC,"W, 122-106",32:18,5,0,0,3,4,1,5,6,1,11,18,12,17,7,oso
2025-03-16,PHO,@,LAL,"L, 96-107",23:04,3,0,0,0,0,0,4,4,2,4,10,6,8,6,oso
2025-03-17,PHO,,TOR,"W, 129-89",26:14,6,0,0,1,1,3,6,9,4,9,22,13,18,13,oso
2025-03-19,PHO,,CHI,"W, 127-121",19:44,2,0,0,0,0,3,3,6,3,4,13,7,10,9,oso
2025-03-21,PHO,,CLE,"W, 123-112",44:05,7,0,0,0,0,5,8,13,4,6,23,10,19,17,oso
2025-03-24,PHO,,MIL,"W, 108-106",19:08,3,0,0,0,0,0,2,2,0,4,6,4,6,2,oso
2025-03-26,PHO,,BOS,"L, 102-132",21:28,5,0,0,2,2,1,1,2,0,6,8,6,8,2,oso
2025-03-28,PHO,@,MIN,"L, 109-124",24:37,4,0,0,0,0,1,3,4,2,6,12,8,10,6,oso
2025-03-30,PHO,,HOU,"L, 109-148",19:35,2,0,0,3,4,0,4,4,2,5,11,7,9,6,oso
2025-04-01,PHO,@,MIL,"L, 123-133",17:35,3,0,0,0,0,1,1,2,1,6,9,7,8,3,oso
2025-04-04,PHO,@,BOS,"L, 103-123",32:16,8,0,0,0,1,3,4,7,1,12,20,13,19,8,oso
2025-04-06,PHO,@,NYK,"L, 98-112",23:08,4,0,0,0,0,2,1,3,3,8,14,11,11,6,oso
2025-04-08,PHO,,GSW,"L, 95-133",21:08,6,0,0,0,0,4,3,7,0,4,11,4,11,7,oso
2025-04-09,PHO,,OKC,"L, 112-125",24:23,2,0,0,1,2,2,2,4,2,3,9,5,7,6,oso
2025-04-11,PHO,,SAS,"W, 117-98",32:58,8,0,0,0,0,1,4,5,2,6,13,8,11,7,oso
2025-04-13,PHO,@,SAC,"L, 98-109",26:01,7,0,0,0,0,2,2,4,3,10,17,13,14,7,oso
