Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,PHO,@,LAC,"W, 116-113 (OT)",24:13,5,1,3,0,0,1,4,5,1,5,11,6,10,6,royce
2024-10-25,PHO,@,LAL,"L, 116-123",27:56,5,1,3,2,2,0,4,4,4,7,15,11,11,8,royce
2024-10-26,PHO,,DAL,"W, 114-102",26:31,6,1,5,2,2,2,7,9,4,7,20,11,16,13,royce
2024-10-28,PHO,,LAL,"W, 109-105",24:44,9,2,4,2,2,2,7,9,4,12,25,16,21,13,royce
2024-10-31,PHO,@,LAC,"W, 125-119",28:37,8,5,6,2,2,1,6,7,1,21,29,22,28,8,royce
2024-11-02,PHO,,POR,"W, 103-97",22:56,6,1,5,0,0,1,6,7,3,3,13,6,10,10,royce
2024-11-04,PHO,,PHI,"W, 118-116",23:40,9,3,4,0,0,3,2,5,0,15,20,15,20,5,royce
2024-11-06,PHO,,MIA,"W, 115-112",22:48,6,2,4,0,0,3,4,7,2,6,15,8,13,9,royce
2024-11-08,PHO,@,DAL,"W, 114-113",29:07,8,4,4,0,1,1,4,5,2,18,25,20,23,7,royce
2024-11-10,PHO,,SAC,"L, 118-127 (OT)",28:22,14,2,7,0,0,2,7,9,2,8,19,10,17,11,royce
2024-11-12,PHO,@,UTA,"W, 120-112",23:40,8,2,6,3,4,1,2,3,2,9,14,11,12,5,royce
2024-11-13,PHO,@,SAC,"L, 104-127",21:55,12,1,6,0,0,1,4,5,4,5,14,9,10,9,royce
2024-11-15,PHO,@,OKC,"L, 83-99",22:04,10,2,6,1,2,3,4,7,3,11,21,14,18,10,royce
2024-11-17,PHO,@,MIN,"L, 117-120",24:53,7,1,4,0,0,0,4,4,2,7,13,9,11,6,royce
2024-11-18,PHO,,ORL,"L, 99-109",19:58,8,0,5,0,0,1,6,7,0,2,9,2,9,7,royce
2024-11-20,PHO,,NYK,"L, 122-138",32:36,12,5,10,0,2,1,3,4,2,17,23,19,21,6,royce
2024-11-26,PHO,,LAL,"W, 127-100",23:43,6,3,6,0,0,1,8,9,1,9,19,10,18,10,royce
2024-11-27,PHO,,BRK,"L, 117-127",28:33,5,2,4,0,0,0,4,4,2,8,14,10,12,6,royce
2024-11-30,PHO,,GSW,"W, 113-105",19:25,6,3,4,0,0,0,2,2,1,11,14,12,13,3,royce
2024-12-03,PHO,,SAS,"W, 104-93",29:35,12,2,9,0,0,1,5,6,1,10,17,11,16,7,royce
2024-12-05,PHO,@,NOP,"L, 124-126",27:32,9,5,8,2,2,1,6,7,2,19,28,21,26,9,royce
2024-12-07,PHO,@,MIA,"L, 111-121",31:18,15,5,8,2,2,3,5,8,3,23,34,26,31,11,royce
2024-12-08,PHO,@,ORL,"L, 110-115",30:48,10,4,6,0,0,0,7,7,1,16,24,17,23,8,royce
2024-12-13,PHO,@,UTA,"W, 134-126",28:22,11,5,9,0,0,0,4,4,5,17,26,22,21,9,royce
2024-12-15,PHO,,POR,"W, 116-109",32:22,9,3,6,0,0,0,4,4,2,13,19,15,17,6,royce
2024-12-19,PHO,,IND,"L, 111-120",26:20,5,3,5,0,0,0,6,6,4,9,19,13,15,10,royce
2024-12-21,PHO,,DET,"L, 125-133",34:00,6,3,5,0,0,0,3,3,1,11,15,12,14,4,royce
2024-12-23,PHO,@,DEN,"L, 90-117",28:38,9,2,8,0,0,1,1,2,4,6,12,10,8,6,royce
2024-12-25,PHO,,DEN,"W, 110-100",30:07,7,1,5,0,0,1,7,8,6,5,19,11,13,14,royce
2024-12-27,PHO,,DAL,"L, 89-98",30:17,11,4,9,0,0,0,5,5,4,14,23,18,19,9,royce
2024-12-28,PHO,@,GSW,"L, 105-109",11:49,3,0,3,0,0,0,1,1,0,0,1,0,1,1,royce
2025-01-12,PHO,,CHO,"W, 120-113",21:38,7,2,6,1,1,0,4,4,1,9,14,10,13,5,royce
2025-01-14,PHO,@,ATL,"L, 117-122",16:26,5,0,4,0,0,1,3,4,1,2,7,3,6,5,royce
2025-01-16,PHO,@,WAS,"W, 130-123",21:40,6,3,6,0,0,0,4,4,2,9,15,11,13,6,royce
2025-01-18,PHO,@,DET,"W, 125-121",16:11,4,1,3,0,0,1,5,6,1,5,12,6,11,7,royce
2025-01-20,PHO,@,CLE,"L, 92-118",22:02,3,0,3,0,0,0,6,6,0,0,6,0,6,6,royce
2025-01-22,PHO,@,BRK,"W, 108-84",22:54,9,1,7,0,0,2,2,4,0,3,7,3,7,4,royce
2025-01-25,PHO,,WAS,"W, 119-109",16:40,6,1,6,0,0,0,4,4,1,3,8,4,7,5,royce
2025-01-27,PHO,,LAC,"W, 111-109",25:02,9,3,8,0,0,0,2,2,0,11,13,11,13,2,royce
2025-01-29,PHO,,MIN,"L, 113-121",31:42,8,0,4,0,0,1,4,5,1,4,10,5,9,6,royce
2025-01-31,PHO,@,GSW,"W, 130-105",24:10,4,2,4,0,0,0,2,2,4,6,12,10,8,6,royce
2025-02-01,PHO,@,POR,"L, 108-127",14:16,5,1,4,0,0,0,3,3,1,5,9,6,8,4,royce
2025-02-03,PHO,@,POR,"L, 119-121 (OT)",32:33,8,4,7,0,0,1,3,4,5,14,23,19,18,9,royce
