Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,PHO,@,LAC,"W, 116-113 (OT)",08:44,5,0,2,0,0,0,2,2,1,2,5,3,4,3,ryan
2024-10-25,PHO,@,LAL,"L, 116-123",13:31,5,3,5,0,0,0,3,3,1,9,13,10,12,4,ryan
2024-10-26,PHO,,DAL,"W, 114-102",21:10,8,3,6,0,0,1,0,1,1,13,15,14,14,2,ryan
2024-10-28,PHO,,LAL,"W, 109-105",15:22,5,1,3,0,0,0,1,1,0,7,8,7,8,1,ryan
2024-10-31,PHO,@,LAC,"W, 125-119",34:18,12,4,9,0,0,1,3,4,0,16,20,16,20,4,ryan
2024-11-02,PHO,,POR,"W, 103-97",13:42,4,0,3,0,0,1,1,2,2,0,4,2,2,4,ryan
2024-11-04,PHO,,PHI,"W, 118-116",10:27,3,0,3,0,0,0,4,4,1,0,5,1,4,5,ryan
2024-11-06,PHO,,MIA,"W, 115-112",09:28,2,2,2,1,2,0,1,1,1,7,9,8,8,2,ryan
2024-11-10,PHO,,SAC,"L, 118-127 (OT)",21:15,7,0,3,0,0,0,2,2,0,8,10,8,10,2,ryan
2024-11-12,PHO,@,UTA,"W, 120-112",19:52,5,2,2,0,0,0,3,3,0,8,11,8,11,3,ryan
2024-11-13,PHO,@,SAC,"L, 104-127",27:43,11,2,7,0,2,2,1,3,1,10,14,11,13,4,ryan
2024-11-15,PHO,@,OKC,"L, 83-99",24:59,13,1,9,0,0,0,5,5,0,9,14,9,14,5,ryan
2024-11-17,PHO,@,MIN,"L, 117-120",18:28,2,0,1,0,2,0,0,0,0,2,2,2,2,0,ryan
2024-11-18,PHO,,ORL,"L, 99-109",21:16,8,1,4,0,0,4,2,6,1,5,12,6,11,7,ryan
2024-11-20,PHO,,NYK,"L, 122-138",21:40,7,2,4,0,0,2,0,2,3,8,13,11,10,5,ryan
2024-11-26,PHO,,LAL,"W, 127-100",15:17,6,1,4,0,0,1,3,4,1,5,10,6,9,5,ryan
2024-11-27,PHO,,BRK,"L, 117-127",09:08,2,0,2,0,0,0,0,0,0,0,0,0,0,0,ryan
2024-11-30,PHO,,GSW,"W, 113-105",20:17,2,0,1,0,0,0,4,4,2,2,8,4,6,6,ryan
2024-12-03,PHO,,SAS,"W, 104-93",12:03,3,0,1,1,2,0,4,4,0,3,7,3,7,4,ryan
2024-12-13,PHO,@,UTA,"W, 134-126",13:18,6,2,3,1,2,0,1,1,0,13,14,13,14,1,ryan
2024-12-15,PHO,,POR,"W, 116-109",14:44,3,0,2,2,2,1,1,2,0,4,6,4,6,2,ryan
2024-12-19,PHO,,IND,"L, 111-120",11:40,3,0,1,0,0,0,0,0,1,2,3,3,2,1,ryan
2024-12-21,PHO,,DET,"L, 125-133",14:22,4,1,3,0,0,0,2,2,1,5,8,6,7,3,ryan
2024-12-23,PHO,@,DEN,"L, 90-117",30:12,6,1,4,0,0,1,3,4,2,5,11,7,9,6,ryan
