Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,PHO,,SEA,W (+22),18:46,4,2,4,0,0,0,3,3,2,6,sami
2025-05-21,PHO,,LAS,W (+3),28:21,7,1,6,3,4,1,2,3,1,6,sami
2025-05-23,PHO,@,SEA,L (-7),27:56,6,1,4,0,0,0,4,4,1,7,sami
2025-05-25,PHO,,WAS,W (+6),29:14,7,1,7,2,2,1,1,2,4,5,sami
2025-05-27,PHO,,CHI,W (+5),20:04,8,1,5,0,0,0,0,0,0,3,sami
2025-05-30,PHO,,MIN,L (-3),28:57,11,1,5,2,2,0,5,5,6,13,sami
2025-06-01,PHO,@,LAS,W (+5),27:46,10,3,8,0,0,1,5,6,5,11,sami
2025-06-03,PHO,@,MIN,L (-23),22:33,7,0,3,0,0,1,3,4,1,6,sami
2025-06-05,PHO,,GSV,W (+9),30:14,9,2,6,1,1,1,2,3,2,9,sami
2025-06-07,PHO,,SEA,L (-12),25:51,4,1,2,0,0,1,4,5,2,7,sami
2025-06-11,PHO,,DAL,W (+13),30:31,6,0,3,2,2,2,5,7,3,8,sami
2025-06-15,PHO,@,LVA,W (+6),23:28,14,4,8,0,0,1,1,2,0,18,sami
2025-06-19,PHO,@,NYL,W (+8),30:23,12,4,9,2,2,0,5,5,5,16,sami
2025-06-21,PHO,@,CHI,W (+21),25:02,10,5,10,2,2,0,4,4,2,17,sami
2025-06-27,PHO,,NYL,W (+15),22:07,8,5,7,0,0,0,0,0,3,15,sami
2025-06-29,PHO,,LVA,L (-3),28:16,12,4,9,0,0,0,1,1,3,14,sami
2025-07-03,PHO,@,DAL,L (-9),25:51,8,1,7,0,0,2,1,3,1,3,sami
2025-07-07,PHO,,DAL,W (+30),26:32,19,7,11,5,8,0,6,6,1,36,sami
2025-07-09,PHO,,MIN,W (+8),28:44,9,0,3,4,4,0,5,5,6,10,sami
2025-07-14,PHO,@,GSV,W (+1),29:23,7,2,5,1,2,0,1,1,5,7,sami
2025-07-16,PHO,@,MIN,L (-13),22:58,8,2,5,3,4,0,1,1,5,9,sami
2025-07-23,PHO,,ATL,L (-11),27:50,12,3,8,0,0,0,1,1,2,11,sami
2025-07-25,PHO,@,NYL,L (-13),24:23,9,1,8,1,1,0,2,2,3,6,sami
2025-07-27,PHO,@,WAS,W (+16),19:27,4,0,4,0,0,1,0,1,6,0,sami
2025-07-30,PHO,@,IND,L (-6),25:54,10,3,7,3,3,0,1,1,3,18,sami
2025-08-01,PHO,@,ATL,L (-23),20:02,5,0,2,0,0,0,1,1,2,4,sami
2025-08-03,PHO,@,CHI,W (+16),17:40,11,2,7,1,1,1,3,4,1,11,sami
2025-08-05,PHO,,CON,W (+16),22:16,7,1,4,0,0,0,1,1,2,3,sami
2025-08-07,PHO,,IND,W (+35),23:18,10,2,6,0,0,1,5,6,1,8,sami
2025-08-10,PHO,,ATL,L (-8),19:51,3,1,2,0,1,0,4,4,1,3,sami
2025-08-15,PHO,,LVA,L (-3),17:32,2,1,2,0,0,0,1,1,0,3,sami
2025-08-17,PHO,@,SEA,W (+3),27:26,7,3,7,6,6,0,2,2,1,15,sami
2025-08-19,PHO,@,GSV,W (+7),23:39,6,1,5,0,0,0,5,5,4,5,sami
2025-08-21,PHO,@,LVA,L (-22),16:07,5,1,4,0,0,1,1,2,1,3,sami
2025-08-22,PHO,,GSV,W (+9),16:57,5,2,5,0,0,0,1,1,3,6,sami
2025-08-26,PHO,@,LAS,W (+8),29:29,9,5,7,2,3,0,2,2,4,17,sami
2025-08-28,PHO,,CHI,W (+4),20:44,8,1,6,0,0,0,0,0,3,5,sami
2025-08-30,PHO,,NYL,W (+17),19:16,2,0,2,0,0,1,2,3,3,0,sami
2025-09-02,PHO,,IND,W (+6),24:26,3,2,2,2,2,0,2,2,7,10,sami
2025-09-04,PHO,@,WAS,W (+6),24:22,7,4,7,0,0,0,2,2,2,12,sami
2025-09-06,PHO,@,CON,L (-3),25:38,10,3,8,4,4,0,1,1,1,13,sami
2025-09-09,PHO,,LAS,L (-5),14:50,10,3,5,0,0,0,1,1,1,11,sami
2025-09-11,PHO,@,DAL,L (-21),12:52,4,0,3,0,0,0,0,0,0,0,sami
