Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,PHO,,SEA,W (+22),26:15,17,3,9,6,7,0,6,6,1,27,satou
2025-05-21,PHO,,LAS,W (+3),28:31,16,1,4,12,15,1,4,5,3,25,satou
2025-05-23,PHO,@,SEA,L (-7),32:18,12,2,8,3,4,0,9,9,2,15,satou
2025-05-25,PHO,,WAS,W (+6),31:12,14,1,4,3,3,2,7,9,2,12,satou
2025-05-27,PHO,,CHI,W (+5),32:53,21,2,8,4,6,3,5,8,3,20,satou
2025-05-30,PHO,,MIN,L (-3),32:23,20,0,4,6,7,4,7,11,4,26,satou
2025-06-01,PHO,@,LAS,W (+5),31:40,19,2,5,8,11,1,8,9,2,24,satou
2025-06-03,PHO,@,MIN,L (-23),22:09,16,0,5,3,3,1,7,8,2,15,satou
2025-06-05,PHO,,GSV,W (+9),24:35,13,1,2,6,9,2,5,7,5,19,satou
2025-06-07,PHO,,SEA,L (-12),30:19,20,2,7,6,6,1,4,5,6,22,satou
2025-06-11,PHO,,DAL,W (+13),26:01,15,4,10,2,3,1,8,9,2,20,satou
2025-06-15,PHO,@,LVA,W (+6),30:14,15,3,8,7,7,2,7,9,3,22,satou
2025-06-18,PHO,@,CON,W (+8),28:59,11,1,5,5,6,4,11,15,1,12,satou
2025-06-19,PHO,@,NYL,W (+8),27:59,18,0,8,7,9,1,8,9,0,15,satou
2025-06-21,PHO,@,CHI,W (+21),18:29,7,2,3,3,3,0,2,2,3,15,satou
2025-06-27,PHO,,NYL,W (+15),24:24,14,7,10,2,3,2,4,6,3,25,satou
2025-06-29,PHO,,LVA,L (-3),28:55,14,1,5,3,3,1,8,9,2,10,satou
2025-07-03,PHO,@,DAL,L (-9),31:47,15,2,5,8,9,2,0,2,3,20,satou
2025-07-23,PHO,,ATL,L (-11),20:41,10,3,7,2,2,0,1,1,1,13,satou
2025-07-25,PHO,@,NYL,L (-13),22:29,13,0,6,0,0,1,4,5,3,6,satou
2025-07-27,PHO,@,WAS,W (+16),27:32,10,0,2,3,4,1,2,3,3,15,satou
2025-07-30,PHO,@,IND,L (-6),24:15,14,0,5,3,5,1,4,5,1,9,satou
2025-08-01,PHO,@,ATL,L (-23),11:56,10,0,1,1,2,1,0,1,0,9,satou
2025-08-05,PHO,,CON,W (+16),28:35,12,1,2,4,5,1,5,6,1,23,satou
2025-08-07,PHO,,IND,W (+35),20:34,11,2,5,3,4,4,4,8,2,15,satou
2025-08-10,PHO,,ATL,L (-8),29:16,12,1,6,0,0,1,4,5,3,7,satou
2025-08-15,PHO,,LVA,L (-3),29:36,16,3,7,3,4,4,1,5,4,26,satou
2025-08-17,PHO,@,SEA,W (+3),22:30,12,1,5,2,2,1,9,10,2,11,satou
2025-08-19,PHO,@,GSV,W (+7),30:41,11,2,6,7,8,1,3,4,6,17,satou
2025-08-21,PHO,@,LVA,L (-22),24:57,14,2,7,3,3,1,2,3,2,15,satou
2025-08-22,PHO,,GSV,W (+9),27:10,9,1,3,5,5,2,3,5,2,12,satou
2025-08-26,PHO,@,LAS,W (+8),33:46,10,2,4,7,7,0,3,3,2,19,satou
2025-08-28,PHO,,CHI,W (+4),27:20,13,1,4,2,2,2,1,3,3,9,satou
2025-08-30,PHO,,NYL,W (+17),25:42,9,3,5,3,3,0,2,2,4,14,satou
2025-09-02,PHO,,IND,W (+6),23:16,9,1,2,4,4,0,2,2,1,13,satou
2025-09-04,PHO,@,WAS,W (+6),27:54,10,3,7,1,2,0,6,6,4,10,satou
2025-09-06,PHO,@,CON,L (-3),26:47,9,1,3,2,3,3,3,6,1,11,satou
2025-09-09,PHO,,LAS,L (-5),24:59,14,4,6,2,3,1,4,5,1,24,satou
2025-09-11,PHO,@,DAL,L (-21),19:33,9,2,6,2,3,1,4,5,5,14,satou
