Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-28,TOR,,DEN,"L, 125-127 (OT)",28:40,21,2,6,0,0,1,4,5,3,20,28,23,25,8,RJ
2024-10-30,TOR,@,CHO,"L, 133-138",33:20,18,4,6,7,12,1,3,4,8,31,43,39,35,12,RJ
2024-11-01,TOR,,LAL,"L, 125-131",31:48,22,3,5,2,2,1,4,5,12,33,50,45,38,17,RJ
2024-11-02,TOR,,SAC,"W, 131-128 (OT)",39:54,26,3,9,8,11,2,7,9,6,31,46,37,40,15,RJ
2024-11-04,TOR,@,DEN,"L, 119-121",32:36,21,2,11,4,5,1,5,6,10,16,32,26,22,16,RJ
2024-11-06,TOR,@,SAC,"L, 107-122",32:33,19,1,5,4,5,0,3,3,3,23,29,26,26,6,RJ
2024-11-09,TOR,@,LAC,"L, 103-105",30:28,15,1,3,0,2,0,6,6,3,13,22,16,19,9,RJ
2024-11-10,TOR,@,LAL,"L, 103-123",36:25,15,1,7,7,9,0,7,7,4,18,29,22,25,11,RJ
2024-11-12,TOR,@,MIL,"L, 85-99",30:58,14,1,5,0,0,1,6,7,2,7,16,9,14,9,RJ
2024-11-15,TOR,,DET,"L, 95-99",34:30,18,2,6,8,9,3,3,6,7,22,35,29,28,13,RJ
2024-11-16,TOR,@,BOS,"L, 123-126 (OT)",42:29,27,1,3,4,9,0,10,10,15,25,50,40,35,25,RJ
2024-11-18,TOR,,IND,"W, 130-119",35:35,21,4,8,9,12,1,8,9,5,39,53,44,48,14,RJ
2024-11-21,TOR,,MIN,"W, 110-105",35:02,14,1,3,10,12,1,6,7,3,31,41,34,38,10,RJ
2024-11-24,TOR,@,CLE,"L, 108-122",32:57,18,2,6,2,6,3,3,6,6,16,28,22,22,12,RJ
2024-11-25,TOR,@,DET,"L, 100-102",33:53,19,1,6,2,2,0,3,3,2,17,22,19,20,5,RJ
2024-11-27,TOR,@,NOP,"W, 119-93",32:43,15,3,7,3,7,1,7,8,11,22,41,33,30,19,RJ
2024-11-29,TOR,@,MIA,"L, 111-121",38:49,18,2,4,3,4,1,5,6,7,25,38,32,31,13,RJ
2024-12-01,TOR,,MIA,"W, 119-116",37:57,20,3,4,4,4,0,7,7,5,37,49,42,44,12,RJ
2024-12-03,TOR,,IND,"W, 122-111",36:53,16,2,6,9,12,1,8,9,5,29,43,34,38,14,RJ
2024-12-05,TOR,,OKC,"L, 92-129",31:03,16,1,7,6,6,0,11,11,2,17,30,19,28,13,RJ
2024-12-07,TOR,,DAL,"L, 118-125",27:23,16,2,5,0,0,0,4,4,5,18,27,23,22,9,RJ
2024-12-09,TOR,,NYK,"L, 108-113",37:07,24,3,7,1,2,2,6,8,4,30,42,34,38,12,RJ
2024-12-12,TOR,@,MIA,"L, 104-114",33:46,18,1,4,2,2,1,10,11,10,13,34,23,24,21,RJ
2024-12-16,TOR,,CHI,"L, 121-122",37:22,24,2,4,8,9,1,4,5,9,32,46,41,37,14,RJ
2024-12-23,TOR,@,NYK,"L, 125-139",33:18,13,1,4,8,11,0,6,6,6,23,35,29,29,12,RJ
2024-12-26,TOR,@,MEM,"L, 126-155",33:50,18,2,5,5,7,3,6,9,10,27,46,37,36,19,RJ
2024-12-29,TOR,,ATL,"L, 107-136",30:12,13,1,5,6,8,0,6,6,4,17,27,21,23,10,RJ
2025-01-06,TOR,,MIL,"L, 104-128",32:21,18,2,5,1,4,3,6,9,5,25,39,30,34,14,RJ
2025-01-08,TOR,@,NYK,"L, 98-112",28:21,15,1,4,1,2,3,2,5,2,16,23,18,21,7,RJ
2025-01-09,TOR,@,CLE,"L, 126-132",37:50,15,2,6,2,3,0,5,5,5,20,30,25,25,10,RJ
2025-01-11,TOR,@,DET,"L, 114-123",32:48,16,0,8,2,6,1,5,6,3,10,19,13,16,9,RJ
2025-01-13,TOR,,GSW,"W, 104-101",26:18,14,1,3,2,3,0,4,4,5,15,24,20,19,9,RJ
2025-01-15,TOR,,BOS,"W, 110-97",35:40,18,1,5,1,4,2,8,10,8,22,40,30,32,18,RJ
2025-01-17,TOR,@,MIL,"L, 112-130",29:20,16,3,7,4,6,1,3,4,10,21,35,31,25,14,RJ
2025-01-21,TOR,,ORL,"W, 109-93",28:12,9,2,3,5,7,0,8,8,2,19,29,21,27,10,RJ
2025-01-23,TOR,@,ATL,"W, 122-119",35:40,9,3,3,0,2,1,5,6,3,15,24,18,21,9,RJ
2025-01-25,TOR,@,ATL,"W, 117-94",30:08,13,3,4,2,4,2,6,8,4,23,35,27,31,12,RJ
2025-01-27,TOR,,NOP,"W, 113-104",34:03,19,1,4,0,3,1,5,6,6,17,29,23,23,12,RJ
2025-01-29,TOR,@,WAS,"W, 106-82",27:52,10,1,2,0,2,0,3,3,3,11,17,14,14,6,RJ
2025-01-31,TOR,,CHI,"L, 106-122",31:29,17,1,4,2,6,0,9,9,3,19,31,22,28,12,RJ
2025-02-02,TOR,,LAC,"W, 115-108",33:02,21,2,6,0,0,2,4,6,7,20,33,27,26,13,RJ
2025-02-12,TOR,,CLE,"L, 108-131",28:18,18,2,5,3,7,0,4,4,4,27,35,31,31,8,RJ
2025-02-21,TOR,,MIA,"L, 111-120 (OT)",38:11,17,4,6,3,4,0,3,3,4,29,36,33,32,7,RJ
2025-02-23,TOR,,PHO,"W, 127-109",31:53,15,3,6,8,12,3,3,6,7,23,36,30,29,13,RJ
2025-02-25,TOR,,BOS,"L, 101-111",32:49,16,1,5,1,2,1,7,8,3,22,33,25,30,11,RJ
2025-02-26,TOR,@,IND,"L, 91-111",31:45,15,1,6,5,5,0,2,2,5,16,23,21,18,7,RJ
2025-02-28,TOR,@,CHI,"L, 115-125 (OT)",40:24,19,1,4,1,1,2,5,7,8,18,33,26,25,15,RJ
2025-03-02,TOR,@,ORL,"W, 104-102",32:47,13,2,5,6,10,0,5,5,5,22,32,27,27,10,RJ
2025-03-04,TOR,@,ORL,"W, 114-113",31:42,14,3,6,4,9,0,8,8,9,21,38,30,29,17,RJ
2025-03-08,TOR,,WAS,"L, 117-118",27:45,17,4,5,5,5,2,7,9,3,23,35,26,32,12,RJ
2025-03-10,TOR,,WAS,"W, 119-104",27:11,18,1,6,1,4,4,6,10,8,14,32,22,24,18,RJ
2025-03-14,TOR,@,UTA,"W, 126-118",25:19,14,1,4,2,3,0,2,2,5,17,24,22,19,7,RJ
2025-03-23,TOR,,SAS,"L, 89-123",30:04,17,1,6,1,4,0,7,7,2,18,27,20,25,9,RJ
2025-03-26,TOR,@,BRK,"W, 116-86",28:21,13,1,4,4,5,1,5,6,5,15,26,20,21,11,RJ
