Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,TOR,,CLE,"L, 106-136",29:16,13,2,6,4,4,1,1,2,1,16,19,17,18,3,gradey
2024-10-25,TOR,,PHI,"W, 115-107",23:58,9,1,4,1,1,0,1,1,0,8,9,8,9,1,gradey
2024-10-26,TOR,@,MIN,"L, 101-112",29:31,16,4,9,3,3,0,1,1,2,25,28,27,26,3,gradey
2024-10-28,TOR,,DEN,"L, 125-127 (OT)",36:39,13,2,7,3,3,1,0,1,4,15,20,19,16,5,gradey
2024-10-30,TOR,@,CHO,"L, 133-138",35:38,17,2,6,6,8,1,1,2,1,30,33,31,32,3,gradey
2024-11-01,TOR,,LAL,"L, 125-131",31:35,26,5,11,0,0,2,5,7,3,31,41,34,38,10,gradey
2024-11-02,TOR,,SAC,"W, 131-128 (OT)",37:32,17,3,8,7,7,0,5,5,2,22,29,24,27,7,gradey
2024-11-04,TOR,@,DEN,"L, 119-121",35:41,20,4,9,2,2,0,2,2,5,26,33,31,28,7,gradey
2024-11-06,TOR,@,SAC,"L, 107-122",23:53,10,0,5,1,2,1,3,4,2,7,13,9,11,6,gradey
2024-11-09,TOR,@,LAC,"L, 103-105",34:01,12,2,5,3,4,0,0,0,2,15,17,17,15,2,gradey
2024-11-10,TOR,@,LAL,"L, 103-123",32:48,10,2,3,2,2,0,1,1,3,14,18,17,15,4,gradey
2024-11-12,TOR,@,MIL,"L, 85-99",38:01,20,4,10,14,16,1,4,5,3,32,40,35,37,8,gradey
2024-11-15,TOR,,DET,"L, 95-99",35:13,17,1,10,7,7,0,5,5,0,16,21,16,21,5,gradey
2024-11-16,TOR,@,BOS,"L, 123-126 (OT)",37:08,12,1,5,2,2,1,1,2,5,9,16,14,11,7,gradey
2024-11-18,TOR,,IND,"W, 130-119",34:31,9,3,6,4,4,0,4,4,3,15,22,18,19,7,gradey
2024-11-21,TOR,,MIN,"W, 110-105",33:52,9,1,4,0,0,1,5,6,1,9,16,10,15,7,gradey
2024-11-24,TOR,@,CLE,"L, 108-122",30:48,17,3,9,3,3,2,2,4,1,18,23,19,22,5,gradey
2024-12-05,TOR,,OKC,"L, 92-129",23:22,9,4,8,1,2,0,1,1,0,15,16,15,16,1,gradey
2024-12-07,TOR,,DAL,"L, 118-125",34:13,21,5,14,6,6,1,3,4,1,27,32,28,31,5,gradey
2024-12-09,TOR,,NYK,"L, 108-113",31:29,11,1,5,0,0,1,5,6,0,7,13,7,13,6,gradey
2024-12-12,TOR,@,MIA,"L, 104-114",30:38,19,3,11,3,4,0,4,4,2,22,28,24,26,6,gradey
2024-12-16,TOR,,CHI,"L, 121-122",32:51,20,3,9,6,7,1,5,6,2,27,35,29,33,8,gradey
2024-12-19,TOR,,BRK,"L, 94-101",33:29,14,4,8,3,4,3,3,6,2,19,27,21,25,8,gradey
2024-12-22,TOR,,HOU,"L, 110-114",31:20,9,2,3,2,3,1,1,2,6,14,22,20,16,8,gradey
2024-12-23,TOR,@,NYK,"L, 125-139",30:31,13,2,5,4,4,2,3,5,3,16,24,19,21,8,gradey
2024-12-26,TOR,@,MEM,"L, 126-155",24:41,12,1,4,1,1,1,2,3,3,14,20,17,17,6,gradey
2024-12-29,TOR,,ATL,"L, 107-136",24:31,12,0,3,0,0,2,4,6,1,6,13,7,12,7,gradey
2025-01-01,TOR,,BRK,"W, 130-113",36:33,17,4,8,0,0,1,2,3,2,22,27,24,25,5,gradey
2025-01-03,TOR,,ORL,"L, 97-106",29:41,11,2,7,2,2,0,5,5,1,8,14,9,13,6,gradey
2025-01-06,TOR,,MIL,"L, 104-128",27:17,12,3,9,2,2,1,2,3,3,11,17,14,14,6,gradey
2025-01-08,TOR,@,NYK,"L, 98-112",20:14,6,1,4,0,0,0,4,4,2,3,9,5,7,6,gradey
2025-01-09,TOR,@,CLE,"L, 126-132",21:20,9,1,3,0,0,0,1,1,1,11,13,12,12,2,gradey
2025-01-11,TOR,@,DET,"L, 114-123",29:31,11,4,8,1,1,1,2,3,2,13,18,15,16,5,gradey
2025-01-13,TOR,,GSW,"W, 104-101",23:03,10,2,6,2,2,1,2,3,1,12,16,13,15,4,gradey
2025-01-15,TOR,,BOS,"W, 110-97",25:21,9,2,6,2,2,0,3,3,4,12,19,16,15,7,gradey
2025-01-17,TOR,@,MIL,"L, 112-130",28:31,12,0,5,3,3,0,1,1,3,13,17,16,14,4,gradey
2025-01-21,TOR,,ORL,"W, 109-93",27:58,9,2,4,3,6,0,1,1,1,17,19,18,18,2,gradey
2025-01-23,TOR,@,ATL,"W, 122-119",31:33,10,1,5,2,2,0,3,3,3,15,21,18,18,6,gradey
2025-01-25,TOR,@,ATL,"W, 117-94",14:13,7,2,4,0,0,0,1,1,2,6,9,8,7,3,gradey
2025-01-27,TOR,,NOP,"W, 113-104",19:12,8,1,4,3,3,1,5,6,0,10,16,10,16,6,gradey
2025-01-31,TOR,,CHI,"L, 106-122",28:54,12,2,7,3,4,1,1,2,1,13,16,14,15,3,gradey
2025-02-02,TOR,,LAC,"W, 115-108",32:36,9,2,2,2,2,0,3,3,1,18,22,19,21,4,gradey
2025-02-04,TOR,,NYK,"L, 115-121",30:50,8,2,4,4,4,2,1,3,1,14,18,15,17,4,gradey
2025-02-05,TOR,,MEM,"L, 107-138",31:40,17,1,7,2,2,3,4,7,0,13,20,13,20,7,gradey
2025-02-07,TOR,@,OKC,"L, 109-121",27:49,9,2,3,5,6,3,4,7,1,17,25,18,24,8,gradey
2025-02-09,TOR,@,HOU,"L, 87-94",14:23,4,0,2,0,0,0,1,1,0,0,1,0,1,1,gradey
2025-02-11,TOR,@,PHI,"W, 106-103",32:33,13,3,8,2,3,0,4,4,0,17,21,17,21,4,gradey
2025-02-12,TOR,,CLE,"L, 108-131",25:19,7,0,3,0,0,0,2,2,1,2,5,3,4,3,gradey
2025-02-21,TOR,,MIA,"L, 111-120 (OT)",34:26,7,2,5,3,4,4,6,10,1,9,20,10,19,11,gradey
2025-02-23,TOR,,PHO,"W, 127-109",26:28,6,3,4,0,2,0,2,2,3,9,14,12,11,5,gradey
2025-02-25,TOR,,BOS,"L, 101-111",32:03,10,2,7,2,2,0,5,5,1,12,18,13,17,6,gradey
2025-02-26,TOR,@,IND,"L, 91-111",27:41,12,2,7,0,0,1,4,5,4,10,19,14,15,9,gradey
2025-02-28,TOR,@,CHI,"L, 115-125 (OT)",34:47,11,3,6,2,4,2,7,9,1,13,23,14,22,10,gradey
2025-03-02,TOR,@,ORL,"W, 104-102",16:19,4,0,1,0,0,0,1,1,0,2,3,2,3,1,gradey
