Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,TOR,,CLE,"L, 106-136",14:14,9,2,4,3,4,0,2,2,4,13,19,17,15,6,immanuel
2024-11-09,TOR,@,LAC,"L, 103-105",26:07,18,3,8,2,2,1,2,3,4,21,28,25,24,7,immanuel
2024-11-10,TOR,@,LAL,"L, 103-123",27:12,15,1,4,3,3,0,1,1,4,12,17,16,13,5,immanuel
2025-01-01,TOR,,BRK,"W, 130-113",32:07,16,3,7,4,4,0,4,4,15,21,40,36,25,19,immanuel
2025-01-03,TOR,,ORL,"L, 97-106",33:21,17,1,9,2,2,0,4,4,11,11,26,22,15,15,immanuel
2025-01-06,TOR,,MIL,"L, 104-128",29:58,10,1,5,4,4,0,1,1,3,11,15,14,12,4,immanuel
2025-01-08,TOR,@,NYK,"L, 98-112",31:20,12,3,6,5,6,0,3,3,5,22,30,27,25,8,immanuel
2025-01-09,TOR,@,CLE,"L, 126-132",30:20,10,2,6,0,0,0,0,0,7,10,17,17,10,7,immanuel
2025-01-11,TOR,@,DET,"L, 114-123",31:43,20,4,9,7,7,0,2,2,2,25,29,27,27,4,immanuel
2025-01-31,TOR,,CHI,"L, 106-122",15:27,8,3,5,1,2,1,3,4,2,14,20,16,18,6,immanuel
2025-02-02,TOR,,LAC,"W, 115-108",17:18,5,1,2,4,4,0,0,0,6,11,17,17,11,6,immanuel
2025-02-04,TOR,,NYK,"L, 115-121",20:42,5,1,3,2,2,0,1,1,5,9,15,14,10,6,immanuel
2025-02-07,TOR,@,OKC,"L, 109-121",27:31,5,1,3,1,2,2,2,4,10,6,20,16,10,14,immanuel
2025-02-09,TOR,@,HOU,"L, 87-94",30:17,15,3,9,5,6,1,7,8,3,20,31,23,28,11,immanuel
2025-02-11,TOR,@,PHI,"W, 106-103",33:46,11,4,8,5,5,1,2,3,5,23,31,28,26,8,immanuel
2025-02-12,TOR,,CLE,"L, 108-131",29:54,11,2,6,3,3,0,2,2,3,15,20,18,17,5,immanuel
2025-02-21,TOR,,MIA,"L, 111-120 (OT)",37:37,21,5,11,2,3,0,7,7,3,23,33,26,30,10,immanuel
2025-02-23,TOR,,PHO,"W, 127-109",29:58,15,5,7,4,5,0,6,6,8,23,37,31,29,14,immanuel
2025-02-25,TOR,,BOS,"L, 101-111",32:51,13,0,6,2,3,0,6,6,7,10,23,17,16,13,immanuel
2025-02-26,TOR,@,IND,"L, 91-111",30:01,15,1,4,1,3,0,2,2,6,18,26,24,20,8,immanuel
2025-02-28,TOR,@,CHI,"L, 115-125 (OT)",32:29,16,4,11,7,8,0,5,5,5,23,33,28,28,10,immanuel
2025-03-02,TOR,@,ORL,"W, 104-102",33:05,19,2,7,6,6,1,1,2,4,24,30,28,26,6,immanuel
2025-03-04,TOR,@,ORL,"W, 114-113",26:12,9,2,4,5,7,0,4,4,4,15,23,19,19,8,immanuel
2025-03-07,TOR,,UTA,"W, 118-109",29:01,20,6,13,8,8,2,3,5,5,34,44,39,39,10,immanuel
2025-03-10,TOR,,WAS,"W, 119-104",28:13,12,3,9,2,4,1,5,6,6,15,27,21,21,12,immanuel
2025-03-14,TOR,@,UTA,"W, 126-118",25:08,13,2,8,6,6,1,4,5,5,20,30,25,25,10,immanuel
2025-03-17,TOR,@,PHO,"L, 89-129",30:06,14,2,7,3,4,0,7,7,7,15,29,22,22,14,immanuel
2025-03-20,TOR,@,GSW,"L, 114-117",30:51,17,3,7,2,3,1,3,4,8,21,33,29,25,12,immanuel
2025-03-24,TOR,@,WAS,"W, 112-104",25:41,16,3,9,8,8,2,2,4,7,21,32,28,25,11,immanuel
2025-03-28,TOR,,CHO,"W, 108-97",27:18,15,5,8,2,2,0,1,1,9,19,29,28,20,10,immanuel
2025-04-01,TOR,@,CHI,"L, 118-137",24:17,14,3,7,0,0,0,1,1,9,17,27,26,18,10,immanuel
2025-04-04,TOR,,DET,"L, 105-117",29:21,16,2,8,2,2,1,7,8,8,14,30,22,22,16,immanuel
2025-04-09,TOR,,CHO,"W, 126-96",14:19,6,2,5,0,0,1,1,2,1,8,11,9,10,3,immanuel
