Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,TOR,,CLE,"L, 106-136",26:09,6,0,0,2,4,3,6,9,2,6,17,8,15,11,jakob
2024-10-25,TOR,,PHI,"W, 115-107",27:24,8,0,0,9,11,1,8,9,3,19,31,22,28,12,jakob
2024-10-26,TOR,@,MIN,"L, 101-112",29:58,9,0,0,0,0,3,7,10,3,8,21,11,18,13,jakob
2024-10-28,TOR,,DEN,"L, 125-127 (OT)",40:11,13,0,0,2,2,8,11,19,2,16,37,18,35,21,jakob
2024-10-30,TOR,@,CHO,"L, 133-138",35:07,14,0,0,0,0,5,11,16,2,20,38,22,36,18,jakob
2024-11-01,TOR,,LAL,"L, 125-131",35:06,14,0,0,1,1,6,6,12,6,19,37,25,31,18,jakob
2024-11-02,TOR,,SAC,"W, 131-128 (OT)",33:49,8,0,0,3,4,3,6,9,2,13,24,15,22,11,jakob
2024-11-04,TOR,@,DEN,"L, 119-121",32:27,18,0,0,2,4,6,5,11,3,24,38,27,35,14,jakob
2024-11-06,TOR,@,SAC,"L, 107-122",34:37,8,0,0,0,0,1,7,8,4,10,22,14,18,12,jakob
2024-11-09,TOR,@,LAC,"L, 103-105",30:08,6,0,0,3,6,2,10,12,3,5,20,8,17,15,jakob
2024-11-10,TOR,@,LAL,"L, 103-123",31:08,12,0,0,0,0,4,6,10,4,14,28,18,24,14,jakob
2024-11-12,TOR,@,MIL,"L, 85-99",28:13,13,0,0,1,2,4,4,8,1,13,22,14,21,9,jakob
2024-11-15,TOR,,DET,"L, 95-99",35:01,20,0,0,1,4,10,8,18,3,25,46,28,43,21,jakob
2024-11-16,TOR,@,BOS,"L, 123-126 (OT)",37:14,19,0,0,3,4,6,6,12,0,35,47,35,47,12,jakob
2024-11-18,TOR,,IND,"W, 130-119",37:37,18,0,0,4,6,4,11,15,2,30,47,32,45,17,jakob
2024-11-21,TOR,,MIN,"W, 110-105",28:47,8,0,0,5,8,3,9,12,2,15,29,17,27,14,jakob
2024-11-24,TOR,@,CLE,"L, 108-122",33:01,12,0,1,2,3,8,11,19,2,12,33,14,31,21,jakob
2024-11-25,TOR,@,DET,"L, 100-102",27:42,11,0,0,0,0,4,7,11,2,8,21,10,19,13,jakob
2024-11-27,TOR,@,NOP,"W, 119-93",30:38,4,0,0,0,2,1,7,8,1,2,11,3,10,9,jakob
2024-11-29,TOR,@,MIA,"L, 111-121",32:24,11,0,0,4,5,4,6,10,1,24,35,25,34,11,jakob
2024-12-01,TOR,,MIA,"W, 119-116",36:41,12,0,0,5,8,4,7,11,3,17,31,20,28,14,jakob
2024-12-03,TOR,,IND,"W, 122-111",35:51,10,0,0,3,3,1,9,10,4,17,31,21,27,14,jakob
2024-12-07,TOR,,DAL,"L, 118-125",33:32,11,0,0,6,6,2,5,7,7,20,34,27,27,14,jakob
2024-12-09,TOR,,NYK,"L, 108-113",33:25,8,0,0,2,2,6,6,12,4,10,26,14,22,16,jakob
2024-12-12,TOR,@,MIA,"L, 104-114",27:06,12,0,1,2,3,2,2,4,2,16,22,18,20,6,jakob
2024-12-16,TOR,,CHI,"L, 121-122",21:45,7,0,0,0,0,1,4,5,3,6,14,9,11,8,jakob
2024-12-29,TOR,,ATL,"L, 107-136",26:43,8,0,0,3,4,3,3,6,1,13,20,14,19,7,jakob
2024-12-31,TOR,@,BOS,"L, 71-125",29:42,4,0,0,1,2,4,9,13,3,7,23,10,20,16,jakob
2025-01-01,TOR,,BRK,"W, 130-113",33:36,10,0,0,0,0,4,5,9,2,12,23,14,21,11,jakob
2025-01-03,TOR,,ORL,"L, 97-106",33:30,12,0,0,3,3,2,4,6,2,25,33,27,31,8,jakob
2025-01-06,TOR,,MIL,"L, 104-128",31:24,9,0,0,0,1,0,7,7,1,12,20,13,19,8,jakob
2025-01-08,TOR,@,NYK,"L, 98-112",30:10,6,0,0,0,0,2,8,10,3,8,21,11,18,13,jakob
2025-01-09,TOR,@,CLE,"L, 126-132",33:48,10,0,0,1,4,3,4,7,6,17,30,23,24,13,jakob
2025-01-11,TOR,@,DET,"L, 114-123",33:43,10,0,0,0,4,5,7,12,3,8,23,11,20,15,jakob
2025-01-13,TOR,,GSW,"W, 104-101",34:41,11,0,0,1,2,5,8,13,2,13,28,15,26,15,jakob
2025-01-15,TOR,,BOS,"W, 110-97",30:44,8,0,0,0,0,3,8,11,2,16,29,18,27,13,jakob
2025-01-17,TOR,@,MIL,"L, 112-130",22:29,11,0,0,0,0,4,6,10,2,12,24,14,22,12,jakob
2025-01-21,TOR,,ORL,"W, 109-93",19:17,6,0,0,0,0,1,2,3,0,8,11,8,11,3,jakob
2025-01-23,TOR,@,ATL,"W, 122-119",28:08,10,0,0,3,3,3,6,9,5,17,31,22,26,14,jakob
2025-01-25,TOR,@,ATL,"W, 117-94",27:24,6,0,0,1,1,2,7,9,3,9,21,12,18,12,jakob
2025-01-27,TOR,,NOP,"W, 113-104",31:55,14,0,0,1,2,5,9,14,5,21,40,26,35,19,jakob
2025-01-29,TOR,@,WAS,"W, 106-82",26:35,11,0,0,0,0,1,7,8,6,12,26,18,20,14,jakob
2025-01-31,TOR,,CHI,"L, 106-122",33:53,8,0,0,0,0,1,8,9,6,8,23,14,17,15,jakob
2025-02-02,TOR,,LAC,"W, 115-108",30:59,9,0,0,2,2,4,6,10,3,10,23,13,20,13,jakob
2025-02-04,TOR,,NYK,"L, 115-121",14:49,4,0,0,1,1,2,0,2,2,5,9,7,7,4,jakob
2025-02-26,TOR,@,IND,"L, 91-111",24:22,8,0,0,2,4,1,4,5,2,10,17,12,15,7,jakob
2025-02-28,TOR,@,CHI,"L, 115-125 (OT)",22:24,7,0,0,0,0,1,3,4,3,10,17,13,14,7,jakob
2025-03-02,TOR,@,ORL,"W, 104-102",26:09,10,0,0,4,5,6,5,11,3,16,30,19,27,14,jakob
2025-03-04,TOR,@,ORL,"W, 114-113",23:37,8,0,0,5,5,2,5,7,2,17,26,19,24,9,jakob
2025-03-08,TOR,,WAS,"L, 117-118",24:12,13,0,0,3,3,2,3,5,5,21,31,26,26,10,jakob
2025-03-12,TOR,,PHI,"W, 118-105",17:03,6,0,0,1,1,1,4,5,2,9,16,11,14,7,jakob
2025-03-16,TOR,@,POR,"L, 102-105",24:50,13,1,1,0,2,5,3,8,3,19,30,22,27,11,jakob
2025-03-20,TOR,@,GSW,"L, 114-117",27:38,9,0,0,2,2,1,7,8,2,18,28,20,26,10,jakob
2025-03-24,TOR,@,WAS,"W, 112-104",25:48,13,0,0,1,2,3,8,11,1,21,33,22,32,12,jakob
2025-03-28,TOR,,CHO,"W, 108-97",26:07,14,0,0,0,1,3,9,12,3,24,39,27,36,15,jakob
2025-04-01,TOR,@,CHI,"L, 118-137",24:17,8,0,0,2,2,2,3,5,2,12,19,14,17,7,jakob
2025-04-04,TOR,,DET,"L, 105-117",30:46,11,0,0,0,0,6,5,11,2,10,23,12,21,13,jakob
