Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-24,OKC,@,DEN,"W, 102-87",19:05,2,0,1,0,0,2,4,6,4,0,10,4,6,10,alex
2024-10-26,OKC,@,CHI,"W, 114-95",21:40,5,1,3,0,0,0,2,2,2,3,7,5,5,4,alex
2024-10-27,OKC,,ATL,"W, 128-104",21:21,3,0,2,0,1,1,1,2,1,2,5,3,4,3,alex
2024-10-30,OKC,,SAS,"W, 105-93",21:54,5,0,3,0,0,0,2,2,2,0,4,2,2,4,alex
2024-11-01,OKC,@,POR,"W, 137-114",17:23,5,0,2,0,0,1,2,3,2,6,11,8,9,5,alex
2024-11-02,OKC,@,LAC,"W, 105-92",15:40,6,1,5,0,0,0,2,2,0,5,7,5,7,2,alex
2024-11-04,OKC,,ORL,"W, 102-86",20:49,3,1,2,0,0,0,0,0,5,3,8,8,3,5,alex
2024-11-06,OKC,@,DEN,"L, 122-124",21:35,9,0,3,0,0,1,5,6,4,2,12,6,8,10,alex
2024-11-08,OKC,,HOU,"W, 126-107",13:46,5,2,3,2,2,1,3,4,1,10,15,11,14,5,alex
2024-11-10,OKC,,GSW,"L, 116-127",22:15,5,0,3,1,2,2,1,3,4,3,10,7,6,7,alex
2024-11-11,OKC,,LAC,"W, 134-128",19:34,7,2,5,2,2,1,1,2,0,12,14,12,14,2,alex
2024-11-19,OKC,@,SAS,"L, 104-110",25:45,7,0,5,0,0,0,5,5,1,2,8,3,7,6,alex
2024-11-20,OKC,,POR,"W, 109-99",15:20,11,1,2,0,0,0,1,1,2,17,20,19,18,3,alex
2024-12-05,OKC,@,TOR,"W, 129-92",17:26,7,2,3,0,0,0,4,4,2,8,14,10,12,6,alex
2024-12-07,OKC,@,NOP,"W, 119-109",24:07,7,2,3,0,0,0,2,2,3,14,19,17,16,5,alex
2024-12-10,OKC,,DAL,"W, 118-104",22:25,7,2,6,0,0,1,3,4,4,6,14,10,10,8,alex
2024-12-14,OKC,,HOU,"W, 111-96",19:41,3,0,3,0,0,0,2,2,2,0,4,2,2,4,alex
2024-12-19,OKC,@,ORL,"W, 105-99",18:00,7,3,7,2,2,0,3,3,1,11,15,12,14,4,alex
2024-12-20,OKC,@,MIA,"W, 104-97",25:29,5,0,2,0,0,1,2,3,5,4,12,9,7,8,alex
2024-12-23,OKC,,WAS,"W, 123-105",14:57,5,0,2,0,0,1,1,2,4,2,8,6,4,6,alex
2025-01-14,OKC,@,PHI,"W, 118-102",17:48,4,1,3,0,0,0,1,1,1,3,5,4,4,2,alex
2025-01-16,OKC,,CLE,"W, 134-114",13:34,3,2,2,2,2,0,1,1,2,10,13,12,11,3,alex
2025-01-17,OKC,@,DAL,"L, 98-106",19:42,9,2,4,0,0,2,1,3,2,6,11,8,9,5,alex
2025-01-19,OKC,,BRK,"W, 127-101",19:10,6,0,1,0,0,0,3,3,3,6,12,9,9,6,alex
2025-01-22,OKC,,UTA,"W, 123-114",20:24,7,1,4,0,0,1,2,3,5,7,15,12,10,8,alex
2025-01-23,OKC,,DAL,"L, 115-121",21:21,5,2,4,0,1,1,2,3,5,8,16,13,11,8,alex
2025-01-26,OKC,@,POR,"W, 118-108",22:44,6,1,6,0,0,2,2,4,2,3,9,5,7,6,alex
2025-01-29,OKC,@,GSW,"L, 109-116",00:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alex
2025-02-05,OKC,,PHO,"W, 140-109",17:12,6,1,5,0,0,1,0,1,2,5,8,7,6,3,alex
2025-02-07,OKC,,TOR,"W, 121-109",20:18,7,2,4,0,0,1,5,6,4,12,22,16,18,10,alex
2025-02-08,OKC,@,MEM,"W, 125-112",27:00,10,2,4,2,2,2,1,3,2,14,19,16,17,5,alex
2025-02-10,OKC,,NOP,"W, 137-101",17:46,7,4,7,0,0,1,1,2,5,12,19,17,14,7,alex
2025-02-12,OKC,,MIA,"W, 115-101",12:48,1,0,0,2,2,0,1,1,2,2,5,4,3,3,alex
2025-02-21,OKC,@,UTA,"W, 130-107",17:42,4,2,2,0,0,0,3,3,6,8,17,14,11,9,alex
2025-02-23,OKC,@,MIN,"W, 130-123",24:09,8,3,6,0,0,2,5,7,2,11,20,13,18,9,alex
2025-02-24,OKC,,MIN,"L, 128-131 (OT)",24:14,8,1,4,0,0,2,2,4,4,5,13,9,9,8,alex
2025-02-26,OKC,@,BRK,"W, 129-121",19:58,3,1,1,0,0,1,1,2,3,5,10,8,7,5,alex
2025-03-02,OKC,@,SAS,"W, 146-132",20:15,7,1,4,1,1,1,0,1,2,10,13,12,11,3,alex
2025-03-03,OKC,,HOU,"W, 137-128",04:47,1,0,1,0,0,0,3,3,1,0,4,1,3,4,alex
2025-03-07,OKC,,POR,"W, 107-89",24:17,8,2,2,3,4,0,1,1,1,17,19,18,18,2,alex
